Card number,Name,Rarity,Print,Region,Modification date,Release,Set type,Cover card,Version
DEM5-SP003,Dark Rabbit,"('Common',)",,SP,2023-08-13 16:58:58,,Demo Deck,,New
DEM5-SP004,Baby Dragon,"('Common',)",,SP,2023-08-13 16:58:58,,Demo Deck,,New
DEM5-SP005,Meteor Dragon,"('Common',)",,SP,2023-08-13 16:58:58,,Demo Deck,,New
DEM5-SP006,Copycat,"('Common',)",,SP,2023-08-13 16:58:58,,Demo Deck,,New
DEM5-SP007,Gravekeeper's Spear Soldier,"('Common',)",,SP,2023-08-13 16:58:58,,Demo Deck,,New
DEM5-SP008,Riryoku,"('Common',)",,SP,2023-08-13 16:58:58,,Demo Deck,,New
DEM5-SP009,Sword of Deep-Seated,"('Common',)",,SP,2023-08-13 16:58:58,,Demo Deck,,New
DEM5-SP010,Windstorm of Etaqua,"('Common',)",,SP,2023-08-13 16:58:58,,Demo Deck,,New
DEM5-SPS01,Power Up!,"('Common',)",,SP,2023-08-13 16:58:58,,Demo Deck,,New
DEM6-FR001,Meteor Dragon,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR002,Jack's Knight,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR003,Feral Imp,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR004,Battle Ox,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR005,Two-Headed King Rex,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR006,Toon Alligator,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR007,Dark Rabbit,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR008,Queen's Knight,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR009,Baby Dragon,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR010,Dragon Zombie,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR011,Basic Insect,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR012,Gravekeeper's Spear Soldier,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR013,Yomi Ship,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR014,Copycat,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR015,Shield & Sword,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR016,Sword of Deep-Seated,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR017,Block Attack,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR018,Riryoku,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR019,Reinforcements,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FR020,Windstorm of Etaqua,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-FRS01,Power Up!,"('Common',)",,FR,2023-08-13 16:59:42,2020-01-01,Demo Deck,,New
DEM6-IT001,Meteor Dragon,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT002,Jack's Knight,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT003,Feral Imp,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT004,Battle Ox,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT005,Two-Headed King Rex,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT006,Toon Alligator,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT007,Dark Rabbit,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT008,Queen's Knight,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT009,Baby Dragon,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT010,Dragon Zombie,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT011,Basic Insect,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT012,Gravekeeper's Spear Soldier,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT013,Yomi Ship,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT014,Copycat,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT015,Shield & Sword,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT016,Sword of Deep-Seated,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT017,Block Attack,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT018,Riryoku,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT019,Reinforcements,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-IT020,Windstorm of Etaqua,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-ITS01,Power Up!,"('Common',)",,IT,2023-08-13 17:00:00,2021-10-21,Demo Deck,,New
DEM6-PT001,Meteor Dragon,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT002,Jack's Knight,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT003,Feral Imp,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT004,Battle Ox,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT005,Two-Headed King Rex,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT006,Toon Alligator,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT007,Dark Rabbit,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT008,Queen's Knight,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT009,Baby Dragon,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT010,Dragon Zombie,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT011,Basic Insect,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT012,Gravekeeper's Spear Soldier,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT013,Yomi Ship,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT014,Copycat,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT015,Shield & Sword,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT016,Sword of Deep-Seated,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT017,Block Attack,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT018,Riryoku,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT019,Reinforcements,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PT020,Windstorm of Etaqua,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DEM6-PTS01,Power Up!,"('Common',)",,PT,2023-08-13 17:00:09,2021-12-09,Demo Deck,,New
DP05-JP001,Destiny HERO - Doom Lord,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP001,Destiny HERO - Doom Lord,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP002,Destiny HERO - Captain Tenacious,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP002,Destiny HERO - Captain Tenacious,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP003,Destiny HERO - Diamond Dude,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP003,Destiny HERO - Diamond Dude,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP004,Destiny HERO - Dreadmaster,"('Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP004,Destiny HERO - Dreadmaster,"('Rare',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP005,Destiny HERO - Double Dude,"('Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP005,Destiny HERO - Double Dude,"('Rare',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP006,Destiny HERO - Defender,"('Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP006,Destiny HERO - Defender,"('Rare',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP007,Destiny HERO - Dogma,"('Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP007,Destiny HERO - Dogma,"('Rare',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP008,Destiny HERO - Blade Master,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP008,Destiny HERO - Blade Master,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP009,Destiny HERO - Fear Monger,"('Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP009,Destiny HERO - Fear Monger,"('Rare',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP010,Destiny HERO - Dasher,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP010,Destiny HERO - Dasher,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP011,Destiny HERO - Malicious,"('Ultra Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP011,Destiny HERO - Malicious,"('Ultra Rare',)",New,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP012,Elemental HERO Phoenix Enforcer,"('Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP012,Elemental HERO Phoenix Enforcer,"('Rare',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP013,Elemental HERO Shining Phoenix Enforcer,"('Super Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP013,Elemental HERO Shining Phoenix Enforcer,"('Super Rare',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP014,Misfortune,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP014,Misfortune,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP015,Guard Penalty,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP015,Guard Penalty,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP016,Clock Tower Prison,"('Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP016,Clock Tower Prison,"('Rare',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP017,D - Spirit,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP017,D - Spirit,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP018,Cyclone Blade,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP018,Cyclone Blade,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP019,Dark City,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP019,Dark City,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP020,Destiny Draw,"('Ultra Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP020,Destiny Draw,"('Ultra Rare',)",New,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP021,Over Destiny,"('Super Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP021,Over Destiny,"('Super Rare',)",New,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP022,Elemental Recharge,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP022,Elemental Recharge,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP023,Destruction of Destiny,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP023,Destruction of Destiny,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP024,Destiny Signal,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP024,Destiny Signal,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP025,D - Time,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP025,D - Time,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP026,D - Shield,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP026,D - Shield,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP027,Destiny Mirage,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP027,Destiny Mirage,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP028,D - Chain,"('Common',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP028,D - Chain,"('Common',)",Reprint,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP029,D - Counter,"('Super Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP029,D - Counter,"('Super Rare',)",New,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
DP05-JP030,Eternal Dread,"('Super Rare',)",,JP,2023-03-22 16:58:25,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",Old
DP05-JP030,Eternal Dread,"('Super Rare',)",New,JP,2023-08-12 14:25:39,2006-10-26,Booster pack,"('Elemental HERO Shining Phoenix Enforcer',)",New
EP16-JP001,Kozmo Farmgirl,"('Ultra Rare', 'Secret Rare')",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP001,Kozmo Farmgirl,"('Ultra Rare', 'Secret Rare')",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP002,Kozmo Goodwitch,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP002,Kozmo Goodwitch,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP003,Kozmo Sliprider,"('Super Rare',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP003,Kozmo Sliprider,"('Super Rare',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP004,Kozmo Forerunner,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP004,Kozmo Forerunner,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP005,Kozmo Strawman,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP005,Kozmo Strawman,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP006,Kozmoll Wickedwitch,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP006,Kozmoll Wickedwitch,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP007,Kozmo DOG Fighter,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP007,Kozmo DOG Fighter,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP008,Kozmo Dark Destroyer,"('Super Rare',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP008,Kozmo Dark Destroyer,"('Super Rare',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP009,Kozmo Tincan,"('Super Rare',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP009,Kozmo Tincan,"('Super Rare',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP010,Kozmo Soartroopers,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP010,Kozmo Soartroopers,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP011,Kozmo Delta Shuttle,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP011,Kozmo Delta Shuttle,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP012,Kozmo Dark Eclipser,"('Ultra Rare', 'Secret Rare')",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP012,Kozmo Dark Eclipser,"('Ultra Rare', 'Secret Rare')",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP013,Kozmo Scaredy Lion,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP013,Kozmo Scaredy Lion,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP014,Kozmoll Dark Lady,"('Rare',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP014,Kozmoll Dark Lady,"('Rare',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP015,Kozmo Landwalker,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP015,Kozmo Landwalker,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP016,Kozmo Dark Planet,"('Rare',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP016,Kozmo Dark Planet,"('Rare',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP017,Kozmotown,"('Super Rare',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP017,Kozmotown,"('Super Rare',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP018,Kozmo Lightsword,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP018,Kozmo Lightsword,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP019,Kozmojo,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP019,Kozmojo,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP020,Kozmourning,"('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP020,Kozmourning,"('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP021,"Dogoran, the Mad Flame Kaiju","('Ultra Rare', 'Secret Rare')",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP021,"Dogoran, the Mad Flame Kaiju","('Ultra Rare', 'Secret Rare')",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP022,"Kumongous, the Sticky String Kaiju","('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP022,"Kumongous, the Sticky String Kaiju","('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP023,"Radian, the Multidimensional Kaiju","('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP023,"Radian, the Multidimensional Kaiju","('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP024,"Gameciel, the Sea Turtle Kaiju","('Rare',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP024,"Gameciel, the Sea Turtle Kaiju","('Rare',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP025,"Gadarla, the Mystery Dust Kaiju","('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP025,"Gadarla, the Mystery Dust Kaiju","('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP026,"Jizukiru, the Star Destroying Kaiju","('Common',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP026,"Jizukiru, the Star Destroying Kaiju","('Common',)",New,JP,2023-07-09 01:50:05,,,,New
EP16-JP027,"Thunder King, the Lightningstrike Kaiju","('Super Rare',)",New,JP,2023-07-09 01:50:05,2016-09-10,Booster pack,"('Dogoran, the Mad Flame Kaiju', 'Kozmo Farmgirl', 'Paleozoic Anomalocaris')",Old
EP16-JP027,"Thunder King, the Lightningstrike Kaiju","('Super Rare',)",New,JP,2023-07-09 01:50:05,,,,New
