Name,Card type,Property,Archseries,Legend,Maximum mode,Attribute,Primary type,Monster type,Effect type,DEF,ATK,MAXIMUM ATK,Level/Rank,Page name,Page URL,Artwork,Modification date,Errata
Doctor Red Robe,Monster Card,,"('Chemistry',)",False,False,FIRE,Normal Monster,Pyro,,0,1500,,4,Doctor Red Robe,https://yugipedia.com/wiki/Doctor_Red_Robe,,2022-12-21 09:45:50,
Dododo Second,Monster Card,,"('Baseball',)",False,False,FIRE,Effect Monster,Warrior,"('Effect',)",1400,0,,4,Dododo Second,https://yugipedia.com/wiki/Dododo_Second,,2023-01-05 22:53:00,
Dogulce Jomont Blanc,Monster Card,,,False,False,EARTH,Normal Monster,Pyro,,1500,1900,,6,Dogulce Jomont Blanc,https://yugipedia.com/wiki/Dogulce_Jomont_Blanc,,2022-12-10 20:39:13,
Dogulce Langue De Shakoki,Monster Card,,,False,False,EARTH,Effect Monster,Pyro,"('Effect',)",0,1700,,5,Dogulce Langue De Shakoki,https://yugipedia.com/wiki/Dogulce_Langue_De_Shakoki,,2022-12-21 09:45:01,
Doki Doki Hexenhaus,Monster Card,,,False,False,EARTH,Effect Monster,Pyro,"('Effect',)",2100,2300,,7,Doki Doki Hexenhaus,https://yugipedia.com/wiki/Doki_Doki_Hexenhaus,,2022-12-21 09:44:30,
Doll of Dread,Monster Card,,"('Ghost Story',)",False,False,DARK,Normal Monster,Zombie,,200,0,,1,Doll of Dread,https://yugipedia.com/wiki/Doll_of_Dread,,2022-12-23 09:02:36,
Dolphin Counterattack,Trap Card,Normal Trap Card,"('Dolphin',)",False,False,,,,"('Effect',)",,,,,Dolphin Counterattack,https://yugipedia.com/wiki/Dolphin_Counterattack,,2022-12-20 10:45:17,
Dolphin King Iruqua,Monster Card,,"('Dolphin',)",False,False,WATER,Normal Monster,Sea Serpent,,500,2000,,6,Dolphin King Iruqua,https://yugipedia.com/wiki/Dolphin_King_Iruqua,,2022-12-10 20:55:54,
Dolphin's Treasure Chest,Spell Card,Normal Spell Card,"('Dolphin',)",False,False,,,,"('Effect',)",,,,,Dolphin's Treasure Chest,https://yugipedia.com/wiki/Dolphin%27s_Treasure_Chest,,2022-11-17 12:07:35,
Donpen & Donko,Monster Card,,,False,False,WATER,Normal Monster,Aqua,,800,900,,2,Donpen & Donko,https://yugipedia.com/wiki/Donpen_%26_Donko,,2022-10-26 06:31:29,
Doomblaze Despair,Trap Card,Normal Trap Card,"('Blaze Fiend',)",False,True,,,,"('Effect',)",,,,,Doomblaze Despair,https://yugipedia.com/wiki/Doomblaze_Despair,,2023-02-23 09:58:34,
Doomblaze Fiend Overlord Despairacion,Monster Card,,"('Blaze Fiend',)",False,True,FIRE,Effect Monster,Fiend,"('Effect', 'Summoning condition')",0,2500,4000,10,Doomblaze Fiend Overlord Despairacion,https://yugipedia.com/wiki/Doomblaze_Fiend_Overlord_Despairacion,,2023-02-23 09:59:50,
Doomblaze Fiend Overlord Despairacion [L],Monster Card,,"('Blaze Fiend',)",False,True,FIRE,Effect Monster,Fiend,"('Continuous Effect',)",0,2300,,10,Doomblaze Fiend Overlord Despairacion (L),https://yugipedia.com/wiki/Doomblaze_Fiend_Overlord_Despairacion_(L),,2023-02-23 09:59:55,
Doomblaze Fiend Overlord Despairacion [R],Monster Card,,"('Blaze Fiend',)",False,True,FIRE,Effect Monster,Fiend,"('Continuous Effect',)",0,2200,,10,Doomblaze Fiend Overlord Despairacion (R),https://yugipedia.com/wiki/Doomblaze_Fiend_Overlord_Despairacion_(R),,2023-02-23 09:59:43,
Doriado,Monster Card,,,False,False,EARTH,Normal Monster,Spellcaster,,1400,1200,,4,Doriado (Rush Duel),https://yugipedia.com/wiki/Doriado_(Rush_Duel),,2022-09-21 04:59:35,
Dosodon,Monster Card,,,False,False,FIRE,Effect Monster,Dinosaur,"('Effect',)",0,1100,,4,Dosodon,https://yugipedia.com/wiki/Dosodon,,2022-09-21 05:34:18,
Double Block,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Double Block,https://yugipedia.com/wiki/Double_Block,,2023-01-10 18:58:24,
Double Ray Dragons,Monster Card,,,False,False,WATER,Fusion Monster,High Dragon,"('Multi-Choice Effect',)",1700,2800,,9,Double Ray Dragons,https://yugipedia.com/wiki/Double_Ray_Dragons,,2023-01-21 14:23:07,
Double Twin Dragon,Monster Card,,,False,False,LIGHT,Effect Monster,Dragon,"('Effect',)",600,1200,,4,Double Twin Dragon,https://yugipedia.com/wiki/Double_Twin_Dragon,,2023-02-23 09:53:52,
Double-Doom Dragon,Monster Card,,,False,False,DARK,Effect Monster,Dragon,"('Effect',)",200,200,,2,Double-Doom Dragon,https://yugipedia.com/wiki/Double-Doom_Dragon,,2023-01-21 13:59:19,
Douma the Talismanic Supreme Sage,Monster Card,,"('Talismanic',)",False,False,LIGHT,Fusion Monster,Warrior,"('Effect',)",1600,2500,,8,Douma the Talismanic Supreme Sage,https://yugipedia.com/wiki/Douma_the_Talismanic_Supreme_Sage,,2022-12-26 02:42:47,
Doushin Kaika the Shadow Flower Full Moon,Monster Card,,"('Shadow Flower',)",False,False,EARTH,Fusion Monster,Plant,"('Effect',)",2200,2500,,8,Doushin Kaika the Shadow Flower Full Moon,https://yugipedia.com/wiki/Doushin_Kaika_the_Shadow_Flower_Full_Moon,,2023-02-04 14:22:07,
Draco the Tiny,Monster Card,,,False,False,WIND,Normal Monster,Dragon,,1400,0,,1,Draco the Tiny,https://yugipedia.com/wiki/Draco_the_Tiny,,2021-12-04 14:58:46,
The Dragias,Monster Card,,"('The',)",False,False,LIGHT,Normal Monster,Dragon,,1500,2500,,7,The Dragias,https://yugipedia.com/wiki/The_Dragias,,2023-01-21 13:52:59,
The Dragiastar,Monster Card,,"('The',)",False,False,LIGHT,Fusion Monster,High Dragon,"('Multi-Choice Effect',)",2500,3300,,9,The Dragiastar,https://yugipedia.com/wiki/The_Dragiastar,,2023-01-21 14:24:40,
The Dragon,Monster Card,,"('The',)",False,False,LIGHT,Normal Monster,Dragon,,0,0,,1,The Dragon,https://yugipedia.com/wiki/The_Dragon,,2023-01-11 01:09:38,
Dragon Bat,Monster Card,,,False,False,DARK,Normal Monster,Dragon,,400,1000,,3,Dragon Bat,https://yugipedia.com/wiki/Dragon_Bat,,2023-01-07 04:44:49,
Dragon Double-Doom,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Dragon Double-Doom,https://yugipedia.com/wiki/Dragon_Double-Doom,,2023-01-21 14:50:21,
Dragon Encounter,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Dragon Encounter,https://yugipedia.com/wiki/Dragon_Encounter,,2022-12-21 09:40:35,
Dragon Knight of Darkness,Monster Card,,,False,False,DARK,Normal Monster,Dragon,,1100,1600,,5,Dragon Knight of Darkness,https://yugipedia.com/wiki/Dragon_Knight_of_Darkness,,2023-01-07 04:44:44,
Dragon Merchant,Monster Card,,,False,False,LIGHT,Effect Monster,Dragon,"('Effect',)",500,1000,,4,Dragon Merchant,https://yugipedia.com/wiki/Dragon_Merchant,,2022-09-21 04:37:06,
Dragon Roll the Sushi Fairy,Monster Card,,"('Sushi Fairy',)",False,False,WIND,Effect Monster,Fairy,"('Effect',)",500,1500,,6,Dragon Roll the Sushi Fairy,https://yugipedia.com/wiki/Dragon_Roll_the_Sushi_Fairy,,2022-10-30 07:47:05,
Dragon Tribe Fusion,Spell Card,Normal Spell Card,"('Fusion (archetype)',)",False,False,,,,"('Effect',)",,,,,Dragon Tribe Fusion,https://yugipedia.com/wiki/Dragon_Tribe_Fusion,,2023-01-18 16:21:25,
Dragon's Fortitude,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Dragon's Fortitude,https://yugipedia.com/wiki/Dragon%27s_Fortitude,,2022-09-21 05:40:23,
Dragon's Inferno,Spell Card,Normal Spell Card,,False,False,,,,"('Effect',)",,,,,Dragon's Inferno,https://yugipedia.com/wiki/Dragon%27s_Inferno,,2022-12-21 09:39:49,
Dragon's Peak,Spell Card,Normal Spell Card,,False,False,,,,"('Effect',)",,,,,Dragon's Peak,https://yugipedia.com/wiki/Dragon%27s_Peak,,2023-01-16 21:34:16,
Dragon's Return,Spell Card,Normal Spell Card,,False,False,,,,"('Effect',)",,,,,Dragon's Return,https://yugipedia.com/wiki/Dragon%27s_Return,,2022-12-21 09:40:07,
Dragon's Sage,Monster Card,,,False,False,WATER,Normal Monster,Dragon,,100,1100,,3,Dragon's Sage,https://yugipedia.com/wiki/Dragon%27s_Sage,,2022-04-20 16:51:00,
Dragonic Disorder,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Dragonic Disorder,https://yugipedia.com/wiki/Dragonic_Disorder,,2022-02-09 03:14:06,
Dragonic Pressure,Spell Card,Normal Spell Card,,False,False,,,,"('Effect',)",,,,,Dragonic Pressure,https://yugipedia.com/wiki/Dragonic_Pressure,,2022-12-21 09:40:01,"('Any',)"
Dragonic Slayer,Monster Card,,,False,False,EARTH,Effect Monster,Dragon,"('Effect',)",0,2300,,7,Dragonic Slayer,https://yugipedia.com/wiki/Dragonic_Slayer,,2022-09-21 03:06:40,
Dragonlion Pit Trap,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Dragonlion Pit Trap,https://yugipedia.com/wiki/Dragonlion_Pit_Trap,,2023-02-23 09:51:28,
Dragorite,Monster Card,,,False,False,EARTH,Normal Monster,Dragon,,0,1500,,4,Dragorite,https://yugipedia.com/wiki/Dragorite,,2022-12-21 09:38:01,
Dragosite,Monster Card,,"('High Tech Dragon',)",False,False,LIGHT,Normal Monster,Dragon,,1500,0,,2,Dragosite,https://yugipedia.com/wiki/Dragosite,,2022-12-21 09:39:17,
Dramoth Caterpillar,Monster Card,,,False,False,EARTH,Effect Monster,Insect,"('Effect',)",0,1000,,3,Dramoth Caterpillar,https://yugipedia.com/wiki/Dramoth_Caterpillar,,2022-09-21 05:30:34,
Dream Drummer,Monster Card,,"('Band Group',)",False,False,DARK,Effect Monster,Psychic,"('Effect',)",0,500,,2,Dream Drummer,https://yugipedia.com/wiki/Dream_Drummer,,2023-01-06 14:32:22,
Dream Ladybug Rainbow,Monster Card,,,False,False,LIGHT,Normal Monster,Insect,,700,700,,2,Dream Ladybug Rainbow,https://yugipedia.com/wiki/Dream_Ladybug_Rainbow,,2023-01-05 22:57:23,
Drilling Mandrill,Monster Card,,,False,False,EARTH,Effect Monster,Machine,"('Effect',)",2000,1700,,7,Drilling Mandrill,https://yugipedia.com/wiki/Drilling_Mandrill,,2022-09-21 05:36:51,
Drilling Tractiger,Monster Card,,,False,False,EARTH,Effect Monster,Machine,"('Effect',)",1000,2500,,7,Drilling Tractiger,https://yugipedia.com/wiki/Drilling_Tractiger,,2022-09-03 17:27:21,
Driving Snow,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Driving Snow (Rush Duel),https://yugipedia.com/wiki/Driving_Snow_(Rush_Duel),,2022-09-21 03:48:37,"('Any',)"
Drukmoor the Skysavior Phantom,Monster Card,,"('Skysavior',)",False,False,DARK,Fusion Monster,Celestial Warrior,"('Continuous Effect',)",2500,2900,,9,Drukmoor the Skysavior Phantom,https://yugipedia.com/wiki/Drukmoor_the_Skysavior_Phantom,,2023-01-21 14:31:27,
Dual Coretls,Monster Card,,"('High Tech Dragon',)",False,False,LIGHT,Effect Monster,Dragon,"('Effect',)",0,1700,,5,Dual Coretls,https://yugipedia.com/wiki/Dual_Coretls,,2022-12-21 09:37:22,
Dunkes the Skysavior Knight,Monster Card,,"('Skysavior',)",False,False,WATER,Effect Monster,Warrior,"('Effect',)",700,1300,,4,Dunkes the Skysavior Knight,https://yugipedia.com/wiki/Dunkes_the_Skysavior_Knight,,2023-01-21 14:13:23,
Durga the Shadow Flower Stealth Submarine,Monster Card,,"('Shadow Flower',)",False,False,EARTH,Fusion Monster,Plant,"('Effect',)",2000,2800,,9,Durga the Shadow Flower Stealth Submarine,https://yugipedia.com/wiki/Durga_the_Shadow_Flower_Stealth_Submarine,,2022-10-31 18:42:16,
Dynamic Dino Dynamix,Monster Card,,"('Nouveau Riche Dinosaur',)",False,True,EARTH,Effect Monster,Dinosaur,"('Effect', 'Summoning condition')",0,1900,3400,10,Dynamic Dino Dynamix,https://yugipedia.com/wiki/Dynamic_Dino_Dynamix,,2022-12-13 15:28:35,
Dynamic Dino Dynamix [L],Monster Card,,"('Nouveau Riche Dinosaur',)",False,True,EARTH,Effect Monster,Dinosaur,"('Continuous Effect',)",0,1300,,4,Dynamic Dino Dynamix (L),https://yugipedia.com/wiki/Dynamic_Dino_Dynamix_(L),,2022-12-13 15:28:28,
Dynamic Dino Dynamix [R],Monster Card,,"('Nouveau Riche Dinosaur',)",False,True,EARTH,Effect Monster,Dinosaur,"('Continuous Effect',)",0,1300,,4,Dynamic Dino Dynamix (R),https://yugipedia.com/wiki/Dynamic_Dino_Dynamix_(R),,2022-12-13 15:28:50,
Dynamo Might,Monster Card,,"('Chemistry',)",False,False,FIRE,Effect Monster,Pyro,"('Effect',)",1100,1100,,4,Dynamo Might,https://yugipedia.com/wiki/Dynamo_Might,,2022-12-21 09:45:21,
Earth Pressure Explosion,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Earth Pressure Explosion,https://yugipedia.com/wiki/Earth_Pressure_Explosion,,2022-10-20 07:17:58,
Ecdysis Caliguleon,Monster Card,,"('Chameleon',)",False,False,DARK,Effect Monster,Reptile,"('Continuous Effect',)",0,2000,,8,Ecdysis Caliguleon,https://yugipedia.com/wiki/Ecdysis_Caliguleon,,2022-10-30 06:14:40,
Echeclus the Star Knight,Monster Card,,"('Star Knight',)",False,False,LIGHT,Normal Monster,Fiend,,2000,1600,,6,Echeclus the Star Knight,https://yugipedia.com/wiki/Echeclus_the_Star_Knight,,2022-09-21 04:28:34,
Eclipse,Spell Card,Normal Spell Card,,False,False,,,,"('Effect',)",,,,,Eclipse,https://yugipedia.com/wiki/Eclipse,,2022-11-17 12:08:44,
Eldign Patrol Ship,Monster Card,,,False,False,WATER,Effect Monster,Machine,"('Effect',)",700,1700,,6,Eldign Patrol Ship,https://yugipedia.com/wiki/Eldign_Patrol_Ship,,2022-10-20 07:36:03,
Electrical Discharge,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Electrical Discharge,https://yugipedia.com/wiki/Electrical_Discharge,,2022-09-21 05:45:38,
Elegant Fire Bird Harpuia,Monster Card,,,False,False,FIRE,Effect Monster,Winged Beast,"('Effect',)",1500,2500,,7,Elegant Fire Bird Harpuia,https://yugipedia.com/wiki/Elegant_Fire_Bird_Harpuia,,2022-09-25 03:01:15,
Elephound,Monster Card,,,False,False,EARTH,Normal Monster,Machine,,500,1700,,5,Elephound,https://yugipedia.com/wiki/Elephound,,2022-12-21 09:22:11,
Elepsychic Amp Up,Spell Card,Normal Spell Card,"('Psychic Musician',)",False,False,,,,"('Effect',)",,,,,Elepsychic Amp Up,https://yugipedia.com/wiki/Elepsychic_Amp_Up,,2023-01-09 08:42:22,
Embryonic Dark Ruler,Monster Card,,,False,False,DARK,Effect Monster,Fiend,"('Effect',)",700,500,,2,Embryonic Dark Ruler,https://yugipedia.com/wiki/Embryonic_Dark_Ruler,,2023-02-01 11:46:29,
Emergency Return,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Emergency Return,https://yugipedia.com/wiki/Emergency_Return,,2022-10-30 07:51:21,"('Any',)"
Emitter Stag,Monster Card,,,False,False,LIGHT,Effect Monster,Thunder,"('Effect',)",0,1100,,3,Emitter Stag,https://yugipedia.com/wiki/Emitter_Stag,,2022-09-21 05:33:40,
Emperor of the Land and Sea,Monster Card,,,False,False,WATER,Normal Monster,Reptile,,1500,1800,,5,Emperor of the Land and Sea (Rush Duel),https://yugipedia.com/wiki/Emperor_of_the_Land_and_Sea_(Rush_Duel),,2022-04-10 23:34:10,
Enchanting Mermaid,Monster Card,,,False,False,WATER,Normal Monster,Fish,,900,1200,,3,Enchanting Mermaid (Rush Duel),https://yugipedia.com/wiki/Enchanting_Mermaid_(Rush_Duel),,2022-10-20 07:23:23,"('Name',)"
Endless Romance Blitz,Monster Card,,"('Psychic Musician',)",False,False,FIRE,Fusion Monster,Omega Psychic,"('Multi-Choice Effect',)",2500,2800,,9,Endless Romance Blitz,https://yugipedia.com/wiki/Endless_Romance_Blitz,,2022-10-30 06:38:00,
Endoll,Monster Card,,"('Psychic Musician',)",False,False,DARK,Effect Monster,Psychic,"('Effect',)",100,200,,1,Endoll,https://yugipedia.com/wiki/Endoll,,2022-12-10 21:25:24,
Engage and Strike!,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Engage and Strike!,https://yugipedia.com/wiki/Engage_and_Strike!,"('Edited',)",2023-01-31 21:10:30,
Engine Reviver,Monster Card,,,False,False,FIRE,Effect Monster,Warrior,"('Effect',)",700,300,,4,Engine Reviver,https://yugipedia.com/wiki/Engine_Reviver,,2023-01-21 14:14:58,
Enraged Scale Liberation,Spell Card,Normal Spell Card,"('Chameleon',)",False,False,,,,"('Effect',)",,,,,Enraged Scale Liberation,https://yugipedia.com/wiki/Enraged_Scale_Liberation,,2022-09-21 05:45:41,
Ensembullfighter the Music Fiend,Monster Card,,"('Music Princess',)",False,False,WIND,Effect Monster,Warrior,"('Effect',)",2200,2200,,7,Ensembullfighter the Music Fiend,https://yugipedia.com/wiki/Ensembullfighter_the_Music_Fiend,,2022-10-20 07:21:29,
Esperade the Smashing Superstar,Monster Card,,"('Psychic Musician',)",False,False,DARK,Effect Monster,Psychic,"('Effect',)",0,2500,,7,Esperade the Smashing Superstar,https://yugipedia.com/wiki/Esperade_the_Smashing_Superstar,,2022-09-21 04:01:49,
Eternal Freeze,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Eternal Freeze,https://yugipedia.com/wiki/Eternal_Freeze,,2022-11-28 22:40:22,
Ether Escape,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Ether Escape,https://yugipedia.com/wiki/Ether_Escape,,2023-01-21 14:51:48,
Ether Fast Striker,Monster Card,,,False,False,DARK,Fusion Monster,Warrior,"('Effect',)",2000,2400,,8,Ether Fast Striker,https://yugipedia.com/wiki/Ether_Fast_Striker,,2022-10-31 18:41:55,
Ether Finder,Monster Card,,,False,False,EARTH,Effect Monster,Machine,"('Effect',)",1200,1000,,4,Ether Finder,https://yugipedia.com/wiki/Ether_Finder,,2022-09-25 03:01:37,
Ether Seeker,Monster Card,,,False,False,EARTH,Effect Monster,Warrior,"('Effect',)",1200,1000,,4,Ether Seeker,https://yugipedia.com/wiki/Ether_Seeker,,2022-02-11 17:11:20,
Ethyl the Flame Jinn of the Lamp,Monster Card,,"('Chemistry',)",False,False,FIRE,Effect Monster,Pyro,"('Effect',)",1000,500,,3,Ethyl the Flame Jinn of the Lamp,https://yugipedia.com/wiki/Ethyl_the_Flame_Jinn_of_the_Lamp,,2023-01-04 11:45:39,
Etraynze the Shadow Flower Ninja,Monster Card,,"('Shadow Flower',)",False,False,EARTH,Effect Monster,Plant,"('Effect',)",1000,2300,,7,Etraynze the Shadow Flower Ninja,https://yugipedia.com/wiki/Etraynze_the_Shadow_Flower_Ninja,,2022-09-21 05:34:15,
Eve of the Big March,Spell Card,Normal Spell Card,,False,False,,,,"('Effect',)",,,,,Eve of the Big March,https://yugipedia.com/wiki/Eve_of_the_Big_March,,2023-02-15 13:54:17,
Evil Star Beacon,Spell Card,Normal Spell Card,"('Star Knight',)",False,False,,,,"('Effect',)",,,,,Evil Star Beacon,https://yugipedia.com/wiki/Evil_Star_Beacon,,2022-09-21 05:28:22,
Evolution Rush Burst,Spell Card,Normal Spell Card,,False,False,,,,"('Effect',)",,,,,Evolution Rush Burst,https://yugipedia.com/wiki/Evolution_Rush_Burst,,2023-02-23 09:57:14,
Ewekai - Grudges from the Grave,Trap Card,Normal Trap Card,"('Ewekai',)",False,False,,,,"('Effect',)",,,,,Ewekai - Grudges from the Grave,https://yugipedia.com/wiki/Ewekai_-_Grudges_from_the_Grave,,2022-09-21 05:45:29,
Ewekai Airaries,Monster Card,,"('Ewekai',)",False,False,WIND,Normal Monster,Beast,,200,1300,,3,Ewekai Airaries,https://yugipedia.com/wiki/Ewekai_Airaries,,2022-11-17 12:14:17,
Ewekai Aquasheep,Monster Card,,"('Ewekai',)",False,False,WATER,Normal Monster,Beast,,500,1000,,2,Ewekai Aquasheep,https://yugipedia.com/wiki/Ewekai_Aquasheep,,2022-11-17 12:14:29,
Ewekai Grounmouton,Monster Card,,"('Ewekai',)",False,False,EARTH,Normal Monster,Beast,,1500,0,,1,Ewekai Grounmouton,https://yugipedia.com/wiki/Ewekai_Grounmouton,,2022-09-21 05:39:23,
Ewekai Nightmutton,Monster Card,,"('Ewekai',)",False,False,DARK,Normal Monster,Beast,,100,1500,,4,Ewekai Nightmutton,https://yugipedia.com/wiki/Ewekai_Nightmutton,,2022-09-21 05:24:08,
Ewekai Planeau,Monster Card,,"('Ewekai',)",False,False,EARTH,Effect Monster,Beast,"('Effect',)",200,1100,,3,Ewekai Planeau,https://yugipedia.com/wiki/Ewekai_Planeau,,2023-01-30 10:35:21,
Ewekai Pyrowool,Monster Card,,"('Ewekai',)",False,False,FIRE,Normal Monster,Beast,,800,1400,,4,Ewekai Pyrowool,https://yugipedia.com/wiki/Ewekai_Pyrowool,,2022-09-21 05:28:43,
Ewekai Thunderlambda,Monster Card,,"('Ewekai',)",False,False,LIGHT,Normal Monster,Beast,,400,1200,,3,Ewekai Thunderlambda,https://yugipedia.com/wiki/Ewekai_Thunderlambda,,2022-11-17 12:14:23,
Ewekai Waveschaf,Monster Card,,"('Ewekai',)",False,False,WATER,Effect Monster,Beast,"('Effect',)",300,800,,3,Ewekai Waveschaf,https://yugipedia.com/wiki/Ewekai_Waveschaf,,2022-11-17 12:11:02,
ExPress Train,Monster Card,,"('Newspaper',)",False,False,EARTH,Normal Monster,Machine,,200,1300,,4,ExPress Train,https://yugipedia.com/wiki/ExPress_Train,,2023-01-16 01:00:49,
Excutie Break!,Trap Card,Normal Trap Card,"('Excutie',)",False,False,,,,"('Effect',)",,,,,Excutie Break!,https://yugipedia.com/wiki/Excutie_Break!,,2023-02-23 09:55:07,
Excutie Catch!,Trap Card,Normal Trap Card,"('Excutie',)",False,False,,,,"('Effect',)",,,,,Excutie Catch!,https://yugipedia.com/wiki/Excutie_Catch!,,2023-02-23 09:55:09,
Excutie Emergency!,Trap Card,Normal Trap Card,"('Excutie',)",False,False,,,,"('Effect',)",,,,,Excutie Emergency!,https://yugipedia.com/wiki/Excutie_Emergency!,,2023-02-23 09:55:14,
Excutie Feena,Monster Card,,"('Excutie',)",False,False,FIRE,Effect Monster,Psychic,"('Effect',)",500,1700,,6,Excutie Feena,https://yugipedia.com/wiki/Excutie_Feena,,2022-11-21 07:30:58,
Excutie Fermi,Monster Card,,"('Excutie',)",False,False,LIGHT,Effect Monster,Galaxy (Type),"('Effect',)",500,1800,,6,Excutie Fermi,https://yugipedia.com/wiki/Excutie_Fermi,,2022-12-21 09:13:55,
Excutie Flame,Monster Card,,"('Excutie',)",False,False,FIRE,Effect Monster,Pyro,"('Effect',)",500,1700,,6,Excutie Flame,https://yugipedia.com/wiki/Excutie_Flame,,2023-01-21 14:06:15,
Excutie Floa,Monster Card,,"('Excutie',)",False,False,WATER,Effect Monster,Spellcaster,"('Effect',)",500,1700,,6,Excutie Floa,https://yugipedia.com/wiki/Excutie_Floa,,2023-02-23 09:56:13,
Excutie Leir,Monster Card,,"('Excutie',)",False,False,WIND,Effect Monster,Warrior,"('Continuous Effect',)",500,1800,,6,Excutie Leir,https://yugipedia.com/wiki/Excutie_Leir,,2023-02-23 09:56:19,
Excutie Lilius,Monster Card,,"('Excutie',)",False,False,DARK,Effect Monster,Fiend,"('Continuous Effect',)",500,2500,,6,Excutie Lilius,https://yugipedia.com/wiki/Excutie_Lilius,,2023-02-23 09:56:06,
Excutie Lucy,Monster Card,,"('Excutie',)",False,False,EARTH,Effect Monster,Machine,"('Effect',)",500,1700,,6,Excutie Lucy,https://yugipedia.com/wiki/Excutie_Lucy,,2023-02-23 09:55:57,
Excutie Lumiere,Monster Card,,"('Excutie',)",False,False,LIGHT,Effect Monster,Fairy,"('Effect',)",500,1800,,6,Excutie Lumiere,https://yugipedia.com/wiki/Excutie_Lumiere,"('Alternate',)",2023-02-23 09:56:39,
Excutie Prouty,Monster Card,,"('Excutie',)",False,False,EARTH,Effect Monster,Plant,"('Effect',)",500,1500,,6,Excutie Prouty,https://yugipedia.com/wiki/Excutie_Prouty,,2023-02-23 09:55:45,
Excutie Ram,Monster Card,,"('Excutie',)",False,False,FIRE,Effect Monster,Cyberse,"('Effect',)",500,1600,,6,Excutie Ram,https://yugipedia.com/wiki/Excutie_Ram,,2023-02-23 09:55:52,
Excutie Scout!,Spell Card,Normal Spell Card,"('Excutie',)",False,False,,,,"('Effect',)",,,,,Excutie Scout!,https://yugipedia.com/wiki/Excutie_Scout!,,2023-02-23 09:55:39,
Excutie Scramble!,Spell Card,Normal Spell Card,"('Excutie',)",False,False,,,,"('Effect',)",,,,,Excutie Scramble!,https://yugipedia.com/wiki/Excutie_Scramble!,,2023-02-23 09:55:21,
Excutie Up!,Spell Card,Normal Spell Card,"('Excutie',)",False,False,,,,"('Effect',)",,,,,Excutie Up!,https://yugipedia.com/wiki/Excutie_Up!,,2022-11-21 07:48:43,
Explosive Rage,Spell Card,Normal Spell Card,"('Chameleon',)",False,False,,,,"('Effect',)",,,,,Explosive Rage,https://yugipedia.com/wiki/Explosive_Rage,,2022-09-21 05:28:11,
Extra Spice the Elite Noodle Ninja,Monster Card,,"('Noodle Ninja',)",False,False,FIRE,Effect Monster,Pyro,"('Effect',)",0,2400,,8,Extra Spice the Elite Noodle Ninja,https://yugipedia.com/wiki/Extra_Spice_the_Elite_Noodle_Ninja,,2022-12-21 09:44:25,
Fairy Dragon,Monster Card,,,False,False,WIND,Normal Monster,Dragon,,1200,1100,,4,Fairy Dragon (Rush Duel),https://yugipedia.com/wiki/Fairy_Dragon_(Rush_Duel),,2023-01-29 19:42:20,
Faith Bird,Monster Card,,,False,False,WIND,Normal Monster,Winged Beast,,1100,1500,,4,Faith Bird (Rush Duel),https://yugipedia.com/wiki/Faith_Bird_(Rush_Duel),,2022-09-21 03:19:54,
Fancy Ladybug Pastel,Monster Card,,,False,False,LIGHT,Normal Monster,Insect,,100,700,,1,Fancy Ladybug Pastel,https://yugipedia.com/wiki/Fancy_Ladybug_Pastel,,2023-01-05 22:56:59,
Fantasia Strike Dragon Miragiastar F,Monster Card,,"('Strike Dragon',)",False,False,DARK,Fusion Monster,High Dragon,"('Multi-Choice Effect',)",2000,3000,,9,Fantasia Strike Dragon Miragiastar F,https://yugipedia.com/wiki/Fantasia_Strike_Dragon_Miragiastar_F,,2023-01-23 16:49:40,
Faulty Fire,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Faulty Fire,https://yugipedia.com/wiki/Faulty_Fire,,2022-10-20 07:33:35,
Fearstute Followl,Monster Card,,,False,False,LIGHT,Fusion Monster,Fiend,"('Effect',)",1300,2700,,7,Fearstute Followl,https://yugipedia.com/wiki/Fearstute_Followl,,2022-10-31 18:41:40,
Featuring Omega,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Featuring Omega,https://yugipedia.com/wiki/Featuring_Omega,,2022-10-20 07:03:00,
Femtron,Monster Card,,"('Tron (series)',)",False,False,LIGHT,Normal Monster,Cyberse,,100,1400,,4,Femtron,https://yugipedia.com/wiki/Femtron,,2022-04-24 01:47:42,
