Name,Password,Card type,Property,Effect type,Archseries,TCG status,OCG status,Artwork,Page URL,Modification date,Errata,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows
Crystal Beast Sapphire Pegasus,07093411,Monster Card,,"('Trigger Effect', 'Unclassified effect')","('Crystal', 'Crystal Beast')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Beast_Sapphire_Pegasus,2022-12-01 15:19:22,,Effect Monster,,WIND,Beast,4,1800,1200,,,
Crystal Beast Topaz Tiger,95600067,Monster Card,,"('Continuous Effect', 'Unclassified effect')","('Crystal', 'Crystal Beast')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Beast_Topaz_Tiger,2022-12-01 15:19:36,,Effect Monster,,EARTH,Beast,4,1600,1000,,,
Crystal Blessing,35486099,Spell Card,Normal Spell Card,"('Effect',)","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Blessing,2022-12-01 14:57:26,,,,,,,,,,,
Crystal Bond,09334391,Spell Card,Normal Spell Card,"('Condition', 'Effect')","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Bond,2022-12-01 15:21:19,,,,,,,,,,,
Crystal Boon,85766789,Trap Card,Normal Trap Card,"('Condition', 'Effect', 'Trigger Effect')","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Boon,2022-12-01 14:56:07,,,,,,,,,,,
Crystal Brilliance,47149093,Trap Card,Continuous Trap Card,"('Continuous-like Effect', 'Trigger Effect', 'Unclassified effect')","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Brilliance,2022-12-01 14:55:55,,,,,,,,,,,
Crystal Clear Wing Synchro Dragon,59765225,Monster Card,,"('Quick Effect', 'Trigger Effect')","('Clear Wing', 'Synchro (series)', 'Synchro Dragon')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Clear_Wing_Synchro_Dragon,2022-07-31 05:15:15,,Synchro Monster,,WIND,Dragon,10,3000,2500,,,
Crystal Conclave,87259933,Trap Card,Continuous Trap Card,"('Condition', 'Quick-like Effect', 'Trigger Effect')","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Conclave,2022-12-01 14:55:43,,,,,,,,,,,
Crystal Girl,93169863,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Girl,2022-04-20 02:48:04,,Effect Monster,,WATER,Spellcaster,1,200,100,,,
Crystal Keeper,14469229,Monster Card,,"('Continuous-like Effect', 'Quick Effect')","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Keeper,2022-12-01 14:59:11,,Effect Monster,,FIRE,Warrior,4,1500,1800,2,,
Crystal Master,87475570,Monster Card,,"('Continuous-like Effect', 'Ignition Effect')","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Master,2022-12-01 14:59:20,,Effect Monster,,DARK,Spellcaster,3,1300,1000,5,,
Crystal Miracle,11155484,Trap Card,Counter Trap Card,"('Condition', 'Effect', 'Trigger Effect')","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Miracle,2022-12-01 14:56:02,,,,,,,,,,,
Crystal Pair,47121070,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Pair,2022-12-01 14:55:48,,,,,,,,,,,
Crystal Promise,08275702,Spell Card,Normal Spell Card,"('Effect',)","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Promise,2022-12-01 14:57:14,,,,,,,,,,,
Crystal Raigeki,96331676,Trap Card,Normal Trap Card,"('Cost', 'Effect')","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Raigeki,2022-03-21 19:21:48,,,,,,,,,,,
Crystal Release,10004783,Spell Card,Equip Spell Card,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Release,2022-12-01 14:57:06,,,,,,,,,,,
Crystal Rose,79531196,Monster Card,,"('Condition', 'Ignition Effect')","('Rose',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Rose,2020-03-13 18:00:54,,Effect Monster,,LIGHT,Rock,2,500,500,,,
Crystal Seer,82099401,Monster Card,,"('Flip effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Seer,2022-03-21 19:21:55,"('Type',)",Effect Monster,Flip monster,WATER,Spellcaster,1,100,100,,,
Crystal Shark,98881700,Monster Card,,"('Condition', 'Ignition Effect', 'Unclassified effect')","('Shark (series)',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Shark,2022-06-16 17:42:50,,Effect Monster,,WATER,Fish,5,1100,800,,,
Crystal Skull,07903368,Monster Card,,"('Condition', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Skull,2022-11-18 12:13:25,,Effect Monster,,WATER,Rock,1,0,0,,,
Crystal Tree,47408488,Spell Card,Continuous Spell Card,"('Continuous-like Effect', 'Ignition-like Effect')","('Crystal',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Tree,2022-12-01 14:57:09,,,,,,,,,,,
Crystal Wing Synchro Dragon,50954680,Monster Card,,"('Quick Effect', 'Trigger Effect')","('Synchro (series)', 'Synchro Dragon')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystal_Wing_Synchro_Dragon,2022-07-31 05:14:12,,Synchro Monster,,WIND,Dragon,8,3000,2500,,,
Crystolic Potential,03576031,Spell Card,Field Spell Card,"('Continuous-like Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystolic_Potential,2019-11-28 15:45:20,,,,,,,,,,,
Crystron Ametrix,76359406,Monster Card,,"('Trigger Effect',)","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Ametrix,2022-04-20 12:29:28,,Synchro Monster,,WATER,Machine,5,2500,1500,,,
Crystron Citree,20050865,Monster Card,,"('Condition', 'Quick Effect')","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Citree,2023-01-26 17:38:14,,Effect Monster,Tuner monster,WATER,Machine,2,500,500,,,
Crystron Entry,52176579,Trap Card,Normal Trap Card,"('Condition', 'Effect', 'Quick-like Effect')","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Entry,2022-07-24 06:36:17,,,,,,,,,,,
Crystron Halqifibrax,50588353,Monster Card,,"('Condition', 'Quick Effect', 'Trigger Effect')","('Crystron',)",Forbidden,Forbidden,,https://yugipedia.com/wiki/Crystron_Halqifibrax,2022-05-05 13:19:59,,Link Monster,,WATER,Machine,,1500,,,2,"('↙', '↘')"
Crystron Impact,99274184,Trap Card,Normal Trap Card,"('Effect', 'Quick-like Effect')","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Impact,2021-09-15 16:56:21,,,,,,,,,,,
Crystron Phoenix,02743001,Monster Card,,"('Trigger Effect',)","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Phoenix,2020-03-14 15:28:20,,Synchro Monster,,WATER,Machine,9,2800,2000,,,
Crystron Prasiortle,56049970,Monster Card,,"('Condition', 'Ignition Effect')","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Prasiortle,2020-03-14 15:28:29,,Effect Monster,,WATER,Machine,2,500,2000,,,
Crystron Quan,93665266,Monster Card,,"('Condition', 'Quick Effect')","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Quan,2023-01-26 17:38:08,,Effect Monster,Tuner monster,WATER,Machine,1,500,500,,,
Crystron Quandax,39964797,Monster Card,,"('Quick Effect', 'Trigger Effect')","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Quandax,2020-03-14 15:28:47,,Synchro Monster,Tuner monster,WATER,Machine,4,1800,2000,,,
Crystron Quariongandrax,13455674,Monster Card,,"('Trigger Effect',)","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Quariongandrax,2022-07-24 08:40:31,,Synchro Monster,,WATER,Machine,9,3000,3000,,,
Crystron Rion,66938505,Monster Card,,"('Condition', 'Quick Effect')","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Rion,2023-01-26 17:38:24,,Effect Monster,Tuner monster,WATER,Machine,3,500,500,,,
Crystron Rosenix,55326322,Monster Card,,"('Condition', 'Ignition Effect')","('Crystron', 'Rose')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Rosenix,2020-03-14 15:29:09,,Effect Monster,,WATER,Machine,4,1800,1000,,,
Crystron Smiger,83443619,Monster Card,,"('Condition', 'Ignition Effect')","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Smiger,2020-03-14 15:29:24,,Effect Monster,,WATER,Machine,3,1000,1800,,,
Crystron Sulfefnir,03422200,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Sulfefnir,2020-03-13 18:01:52,,Effect Monster,,WATER,Machine,5,2000,1500,,,
Crystron Thystvern,29838323,Monster Card,,"('Condition', 'Ignition Effect')","('Crystron',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Crystron_Thystvern,2020-03-14 15:29:39,,Effect Monster,,WATER,Machine,3,1500,1500,,,
Crystron Token,,Monster Card,,,"('Crystron',)",,Legal,,https://yugipedia.com/wiki/Crystron_Token,2022-09-30 19:15:11,"('Type',)",Normal Monster,,WATER,Machine,1,0,0,,,
Cuben,17530001,Monster Card,,"('Ignition Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Cuben,2020-11-16 05:15:11,,Effect Monster,,LIGHT,Thunder,4,600,1900,,,
Cubic Ascension,02434862,Trap Card,Normal Trap Card,"('Activation condition', 'Condition', 'Effect', 'Quick-like Effect')","('Cubic',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cubic_Ascension,2022-08-13 13:22:08,,,,,,,,,,,
Cubic Causality,38606913,Trap Card,Normal Trap Card,"('Condition', 'Effect', 'Quick-like Effect')","('Cubic',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cubic_Causality,2021-02-28 09:33:58,,,,,,,,,,,
Cubic Dharma,01218214,Spell Card,Continuous Spell Card,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')","('Cubic',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cubic_Dharma,2021-02-28 09:34:26,,,,,,,,,,,
Cubic Karma,09659580,Spell Card,Continuous Spell Card,"('Effect', 'Ignition-like Effect', 'Trigger Effect')","('Cubic',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cubic_Karma,2021-02-28 09:28:55,,,,,,,,,,,
Cubic Mandala,08837932,Trap Card,Continuous Trap Card,"('Activation condition', 'Continuous-like Effect', 'Effect')","('Cubic',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cubic_Mandala,2021-02-28 09:28:59,,,,,,,,,,,
Cubic Rebirth,71442223,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')","('Cubic',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cubic_Rebirth,2021-06-09 14:53:49,,,,,,,,,,,
Cubic Wave,35058588,Spell Card,Normal Spell Card,"('Effect', 'Ignition-like Effect')","('Cubic',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cubic_Wave,2021-02-28 09:28:47,,,,,,,,,,,
Cucumber Horse,89552119,Monster Card,,"('Condition', 'Continuous Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Cucumber_Horse,2022-10-23 20:17:55,,Effect Monster,,DARK,Plant,8,100,2000,,,
Cunning of the Six Samurai,27178262,Spell Card,Quick-Play Spell Card,"('Cost', 'Effect')","('Six Samurai',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cunning_of_the_Six_Samurai,2022-07-29 08:37:12,,,,,,,,,,,
Cup of Ace,37812118,Spell Card,Normal Spell Card,"('Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Cup_of_Ace,2022-10-01 13:09:03,,,,,,,,,,,
Cupid Dunk,69526976,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Cupid',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cupid_Dunk,2023-01-03 19:03:37,,Effect Monster,,LIGHT,Fairy,4,1800,600,,,
Cupid Fore,35960413,Monster Card,,"('Condition', 'Ignition Effect', 'Quick Effect')","('Cupid',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cupid_Fore,2022-04-20 02:35:21,,Effect Monster,,LIGHT,Fairy,6,2200,600,,,
Cupid Pitch,21915012,Monster Card,,"('Condition', 'Continuous Effect', 'Trigger Effect')","('Cupid',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cupid_Pitch,2022-05-05 13:33:54,,Synchro Monster,Tuner monster,LIGHT,Fairy,4,0,600,,,
Cupid Serve,01566817,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Cupid',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cupid_Serve,2022-05-05 16:43:55,,Effect Monster,,LIGHT,Fairy,2,1000,600,,,
Cupid Volley,11851647,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Cupid',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cupid_Volley,2022-04-20 03:13:05,,Effect Monster,,LIGHT,Fairy,1,600,600,,,
Cure Mermaid,85802526,Monster Card,,"('Trigger Effect',)",,Unlimited,Unlimited,"('Edited',)",https://yugipedia.com/wiki/Cure_Mermaid,2022-07-12 18:40:23,,Effect Monster,,WATER,Fish,4,1500,800,,,
"Curious, the Lightsworn Dominion",98095162,Monster Card,,"('Condition', 'Trigger Effect')","('Lightsworn',)",Forbidden,Unlimited,,"https://yugipedia.com/wiki/Curious,_the_Lightsworn_Dominion",2021-06-23 04:24:24,,Link Monster,,LIGHT,Warrior,,2400,,,3,"('↙', '↘', '↑')"
Curse Necrofear,14509651,Monster Card,,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_Necrofear,2022-07-22 00:26:46,,Effect Monster,,DARK,Fiend,8,2800,2200,,,
Curse Reflection Doll,33391067,Spell Card,Quick-Play Spell Card,"('Condition', 'Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_Reflection_Doll,2022-11-18 12:13:32,,,,,,,,,,,
Curse of Aging,41398771,Trap Card,Normal Trap Card,"('Cost', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_of_Aging,2021-11-07 10:17:18,,,,,,,,,,,
Curse of Anubis,66742250,Trap Card,Normal Trap Card,"('Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_of_Anubis,2022-04-29 12:10:25,"('Name',)",,,,,,,,,,
Curse of Aramatir,34690953,Spell Card,Continuous Spell Card,"('Condition', 'Ignition-like Effect', 'Trigger Effect')","('Adventurer Token (series)',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_of_Aramatir,2022-10-23 19:44:18,,,,,,,,,,,
Curse of Darkness,84970821,Trap Card,Continuous Trap Card,"('Continuous-like Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_of_Darkness,2020-03-20 11:55:06,,,,,,,,,,,
Curse of Dragon,28279543,Monster Card,,,"('Curse of Dragon (series)',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_of_Dragon,2022-05-28 23:10:29,"('Name', 'Type')",Normal Monster,,DARK,Dragon,5,2000,1500,,,
"Curse of Dragon, the Cursed Dragon",61525276,Monster Card,,"('Condition', 'Trigger Effect')","('Curse of Dragon (series)',)",Unlimited,Unlimited,,"https://yugipedia.com/wiki/Curse_of_Dragon,_the_Cursed_Dragon",2022-10-29 12:41:05,,Effect Monster,,DARK,Dragon,5,2000,1500,,,
"Curse of Dragon, the Magical Knight Dragon",72064891,Monster Card,,"('Condition', 'Continuous Effect', 'Trigger Effect')","('Curse of Dragon (series)',)",Unlimited,Unlimited,,"https://yugipedia.com/wiki/Curse_of_Dragon,_the_Magical_Knight_Dragon",2022-08-01 13:02:02,,Fusion Monster,,DARK,Dragon,5,2000,1500,,,
Curse of Dragonfire,07241272,Monster Card,,"('Ignition Effect', 'Trigger Effect')","('Curse of Dragon (series)',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_of_Dragonfire,2022-09-23 06:05:19,,Effect Monster,,DARK,Dragon,5,2000,1500,,,
Curse of Fiend,12470447,Spell Card,Normal Spell Card,"('Activation condition', 'Condition', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_of_Fiend,2021-11-07 10:17:47,"('Type',)",,,,,,,,,,
Curse of Royal,02926176,Trap Card,Counter Trap Card,"('Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_of_Royal,2021-11-07 10:17:59,,,,,,,,,,,
Curse of the Circle,12863633,Trap Card,Normal Trap Card,"('Effect',)",,Unlimited,Unlimited,"('Edited',)",https://yugipedia.com/wiki/Curse_of_the_Circle,2022-09-07 16:07:53,,,,,,,,,,,
Curse of the Masked Beast,94377247,Spell Card,Ritual Spell Card,"('Effect',)","('Mask',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_of_the_Masked_Beast,2022-09-08 19:44:53,"('Type',)",,,,,,,,,,
Curse of the Shadow Prison,81788994,Spell Card,Field Spell Card,"('Continuous-like Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Curse_of_the_Shadow_Prison,2022-07-05 13:56:29,,,,,,,,,,,
Cursed Armaments,98867329,Spell Card,Equip Spell Card,"('Continuous-like Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Cursed_Armaments,2020-11-16 05:17:24,,,,,,,,,,,
Cursed Bamboo Sword,42199039,Spell Card,Equip Spell Card,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')","('Bamboo Sword',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cursed_Bamboo_Sword,2020-05-31 04:41:23,,,,,,,,,,,
Cursed Bill,46967601,Spell Card,Equip Spell Card,"('Trigger Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Cursed_Bill,2022-02-05 08:00:07,,,,,,,,,,,
Cursed Eldland,31434645,Spell Card,Continuous Spell Card,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",,Unlimited,Semi-Limited,,https://yugipedia.com/wiki/Cursed_Eldland,2021-11-20 08:26:26,,,,,,,,,,,
Cursed Fig,18489208,Monster Card,,"('Trigger Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Cursed_Fig,2021-01-14 13:24:38,,Effect Monster,,WATER,Plant,1,200,200,,,
Cursed Seal of the Forbidden Spell,58851034,Trap Card,Counter Trap Card,"('Activation condition', 'Cost', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Cursed_Seal_of_the_Forbidden_Spell,2023-01-09 00:49:16,,,,,,,,,,,
Curtain of the Dark Ones,22026707,Monster Card,,,,Unlimited,Unlimited,,https://yugipedia.com/wiki/Curtain_of_the_Dark_Ones,2022-03-05 09:07:14,,Normal Monster,,DARK,Spellcaster,2,600,500,,,
Cyber Angel Benten,77235086,Monster Card,,"('Summoning condition', 'Trigger Effect')","('Cyber', 'Cyber Angel', 'Cyber Girl')",Unlimited,Unlimited,"('Edited',)",https://yugipedia.com/wiki/Cyber_Angel_Benten,2023-01-10 13:49:52,,Ritual Monster,,LIGHT,Fairy,6,1800,1500,,,
Cyber Angel Dakini,39618799,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Cyber', 'Cyber Angel', 'Cyber Girl')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Angel_Dakini,2022-09-19 19:45:24,,Ritual Monster,,LIGHT,Fairy,8,2700,2400,,,
Cyber Angel Idaten,03629090,Monster Card,,"('Summoning condition', 'Trigger Effect')","('Cyber', 'Cyber Angel', 'Cyber Girl')",Unlimited,Unlimited,"('Edited',)",https://yugipedia.com/wiki/Cyber_Angel_Idaten,2022-09-06 04:48:18,,Ritual Monster,,LIGHT,Fairy,6,1600,2000,,,
Cyber Angel Izana,91668401,Monster Card,,"('Quick Effect', 'Summoning condition', 'Trigger Effect')","('Cyber', 'Cyber Angel', 'Cyber Girl')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Angel_Izana,2022-09-19 19:37:19,,Ritual Monster,,LIGHT,Fairy,8,2500,2600,,,
Cyber Angel Natasha,99427357,Monster Card,,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')","('Cyber', 'Cyber Angel', 'Cyber Girl')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Angel_Natasha,2022-09-19 19:42:38,,Ritual Monster,,LIGHT,Fairy,5,1000,1000,,,
Cyber Angel Vrash,78316184,Monster Card,,"('Quick Effect', 'Summoning condition', 'Trigger Effect')","('Cyber', 'Cyber Angel', 'Cyber Girl')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Angel_Vrash,2022-09-19 19:46:41,,Ritual Monster,,LIGHT,Fairy,10,3000,2000,,,
Cyber Archfiend,59907935,Monster Card,,"('Trigger Effect',)","('Archfiend', 'Cyber')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Archfiend,2022-04-20 19:53:31,,Effect Monster,,DARK,Fiend,4,1000,2000,,,
Cyber Barrier Dragon,68774379,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Cyber',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Barrier_Dragon,2022-11-24 17:56:03,"('Name',)",Effect Monster,,LIGHT,Machine,6,800,2800,,,
Cyber Blader,10248389,Monster Card,,"('Condition', 'Continuous Effect', 'Summoning condition')","('Cyber', 'Cyber Girl')",Unlimited,Unlimited,"('Edited',)",https://yugipedia.com/wiki/Cyber_Blader,2022-12-24 14:02:01,"('Type',)",Fusion Monster,,EARTH,Warrior,7,2100,800,,,
Cyber Commander,06400512,Monster Card,,,,,Unlimited,,https://yugipedia.com/wiki/Cyber_Commander,2021-06-22 08:13:27,,Normal Monster,,DARK,Machine,2,750,700,,,
Cyber Dinosaur,39439590,Monster Card,,"('Trigger Effect',)","('Cyber',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Dinosaur,2021-04-09 17:09:37,,Effect Monster,,LIGHT,Machine,7,2500,1900,,,
Cyber Dragon,70095154,Monster Card,,"('Unclassified effect',)","('Cyber', 'Cyber Dragon (archetype)')",Unlimited,Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Cyber_Dragon,2023-01-03 18:50:15,"('Type',)",Effect Monster,,LIGHT,Machine,5,2100,1600,,,
Cyber Dragon Core,23893227,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')","('Cyber', 'Cyber Dragon (archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Dragon_Core,2021-10-26 16:16:08,,Effect Monster,,LIGHT,Machine,2,400,1500,,,
Cyber Dragon Drei,59281922,Monster Card,,"('Condition', 'Trigger Effect', 'Unclassified effect')","('Cyber', 'Cyber Dragon (archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Dragon_Drei,2022-11-04 01:19:28,,Effect Monster,,LIGHT,Machine,4,1800,800,,,
Cyber Dragon Herz,56364287,Monster Card,,"('Condition', 'Trigger Effect', 'Unclassified effect')","('Cyber', 'Cyber Dragon (archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Dragon_Herz,2022-06-22 01:36:37,,Effect Monster,,LIGHT,Machine,1,100,100,,,
Cyber Dragon Infinity,10443957,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Quick Effect', 'Summoning condition')","('Cyber', 'Cyber Dragon (archetype)')",Unlimited,Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Cyber_Dragon_Infinity,2022-10-29 14:35:16,,Xyz Monster,,LIGHT,Machine,6,2100,1600,,,
Cyber Dragon Nachster,01142880,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')","('Cyber', 'Cyber Dragon (archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Dragon_Nachster,2021-10-26 16:17:43,,Effect Monster,,LIGHT,Machine,1,200,200,,,
Cyber Dragon Nova,58069384,Monster Card,,"('Ignition Effect', 'Quick Effect', 'Trigger Effect')","('Cyber', 'Cyber Dragon (archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Dragon_Nova,2021-11-03 09:56:47,,Xyz Monster,,LIGHT,Machine,5,2100,1600,,,
Cyber Dragon Sieger,46724542,Monster Card,,"('Condition', 'Quick Effect', 'Unclassified effect')","('Cyber', 'Cyber Dragon (archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Dragon_Sieger,2021-08-09 11:21:18,,Link Monster,,LIGHT,Machine,,2100,,,2,"('↓', '←')"
Cyber Dragon Vier,29975188,Monster Card,,"('Condition', 'Continuous Effect', 'Trigger Effect', 'Unclassified effect')","('Cyber', 'Cyber Dragon (archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Dragon_Vier,2021-12-10 17:16:35,,Effect Monster,,LIGHT,Machine,4,1100,1600,,,
Cyber Dragon Zwei,05373478,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Unclassified effect')","('Cyber', 'Cyber Dragon (archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Dragon_Zwei,2021-10-15 12:53:09,,Effect Monster,,LIGHT,Machine,4,1500,1000,,,
Cyber Egg Angel,28053106,Monster Card,,"('Condition', 'Trigger Effect')","('Cyber', 'Field Searcher')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Egg_Angel,2022-09-19 19:38:54,,Effect Monster,,LIGHT,Fairy,2,200,300,,,
Cyber Eltanin,33093439,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Cyber',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Eltanin,2021-07-10 13:43:51,,Effect Monster,,LIGHT,Machine,10,?,?,,,
Cyber Emergency,60600126,Spell Card,Normal Spell Card,"('Condition', 'Effect', 'Trigger Effect')","('Cyber',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Emergency,2021-10-13 23:59:21,,,,,,,,,,,
Cyber End Dragon,01546123,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Cyber',)",Unlimited,Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Cyber_End_Dragon,2022-10-29 14:22:12,"('Name', 'Type')",Fusion Monster,,LIGHT,Machine,10,4000,2800,,,
Cyber Energy Shock,38265153,Spell Card,Quick-Play Spell Card,"('Condition', 'Effect')","('Cyber', 'Signature move')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Energy_Shock,2020-09-26 16:26:54,,,,,,,,,,,
Cyber Esper,91663373,Monster Card,,"('Trigger Effect',)","('Cyber',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Cyber_Esper,2022-04-20 19:53:49,,Effect Monster,,FIRE,Machine,4,1200,1800,,,
