Card number,Set,Name,Rarity,Page URL,Modification date,Release,Series,Set type,Version
G4-01,Yu-Gi-Oh! Duel Monsters 4: Battle of Great Duelist: Yugi Deck pre-order promotional card,Slifer the Sky Dragon,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Duel_Monsters_4:_Battle_of_Great_Duelist:_Yugi_Deck_pre-order_promotional_card_(OCG-JP),2023-07-02 09:56:10,2000-12-07,,Video games promotional card,New
G4-02,Yu-Gi-Oh! Duel Monsters 4: Battle of Great Duelist: Kaiba Deck promotional cards,Obelisk the Tormentor,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Duel_Monsters_4:_Battle_of_Great_Duelist:_Kaiba_Deck_promotional_cards_(OCG-JP),2023-04-28 12:24:40,2000-12-07,,Video game promotional card,Old
G4-02,Yu-Gi-Oh! Duel Monsters 4: Battle of Great Duelist: Kaiba Deck pre-order promotional card,Obelisk the Tormentor,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Duel_Monsters_4:_Battle_of_Great_Duelist:_Kaiba_Deck_pre-order_promotional_card_(OCG-JP),2023-07-02 09:52:44,2000-12-07,,Video games promotional card,New
G4-03,Yu-Gi-Oh! Duel Monsters 4: Battle of Great Duelist: Jonouchi Deck pre-order promotional card,The Winged Dragon of Ra,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Duel_Monsters_4:_Battle_of_Great_Duelist:_Jonouchi_Deck_pre-order_promotional_card_(OCG-JP),2023-03-16 09:50:18,,,,Old
G4-03,Yu-Gi-Oh! Duel Monsters 4: Battle of Great Duelist: Jonouchi Deck promotional cards,The Winged Dragon of Ra,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Duel_Monsters_4:_Battle_of_Great_Duelist:_Jonouchi_Deck_promotional_cards_(OCG-JP),2023-04-28 12:26:40,2000-12-07,,Video game promotional card,Old
G4-03,Yu-Gi-Oh! Duel Monsters 4: Battle of Great Duelist: Jonouchi Deck pre-order promotional card,The Winged Dragon of Ra,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Duel_Monsters_4:_Battle_of_Great_Duelist:_Jonouchi_Deck_pre-order_promotional_card_(OCG-JP),2023-03-16 09:50:18,2000-12-07,,Video games promotional card,New
GB8-001,Yu-Gi-Oh! Duel Monsters 8: Reshef of Destruction pre-order promotional card,Dark Magician Knight,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Duel_Monsters_8:_Reshef_of_Destruction_pre-order_promotional_card_(OCG-JP),2023-07-03 03:14:10,2003-03-20,,Video games promotional card,New
LART-EN033,The Lost Art Promotion 2021 C,Vampire Vamp,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:The_Lost_Art_Promotion_2021_C_(TCG-EN),2023-03-23 12:04:42,,,,Old
LART-EN033,The Lost Art Promotion 2021 C,Vampire Vamp,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:The_Lost_Art_Promotion_2021_C_(TCG-EN),2023-03-23 12:04:42,2021-03-15,The Lost Art Promotion 2021,Promotional card,New
MG06-JP001,Master Guide 6 promotional cards,Gussari @Ignister,,https://yugipedia.com/wiki/Set_Card_Lists:Master_Guide_6_promotional_cards_(OCG-JP),2023-04-28 11:56:19,2020-02-07,Master Guide promotional cards (series),Book promotional cards,Old
MG06-JP001,Master Guide 6 promotional cards,Gussari @Ignister,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Master_Guide_6_promotional_cards_(OCG-JP),2023-06-26 21:46:52,2020-02-07,Master Guide promotional cards (series),Book promotional cards,New
MG06-JP002,Master Guide 6 promotional cards,Gatchiri @Ignister,,https://yugipedia.com/wiki/Set_Card_Lists:Master_Guide_6_promotional_cards_(OCG-JP),2023-04-28 11:56:19,2020-02-07,Master Guide promotional cards (series),Book promotional cards,Old
MG06-JP002,Master Guide 6 promotional cards,Gatchiri @Ignister,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Master_Guide_6_promotional_cards_(OCG-JP),2023-06-26 21:46:52,2020-02-07,Master Guide promotional cards (series),Book promotional cards,New
RD/GC23-JP001,Galaxy Cup 2023 Finals prize card,Majestic Masterburst,"('Over Rush Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Galaxy_Cup_2023_Finals_prize_card_(OCG-JP),2023-03-28 11:57:35,2023-08-01,,Promotional card,Old
RD/GC23-JP001,Galaxy Cup 2023 Finals prize card,Majestic Masterburst,"('Over Rush Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Galaxy_Cup_2023_Finals_prize_card_(OCG-JP),2023-03-28 11:57:35,2023-08-06,,Promotional card,New
RD/KP14-JP008,Phoenix of the Roaring Flame,,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP008,Phoenix of the Roaring Flame,Jointech Hero,"('Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP027,Phoenix of the Roaring Flame,,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP027,Phoenix of the Roaring Flame,Constructor Driver Soldier Trailon,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP036,Phoenix of the Roaring Flame,,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP036,Phoenix of the Roaring Flame,Steel Soldier Gale Vinary,"('Super Rare', 'Secret Rare')",https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP043,Phoenix of the Roaring Flame,,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP043,Phoenix of the Roaring Flame,Jointech Fighter,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP057,Phoenix of the Roaring Flame,,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP057,Phoenix of the Roaring Flame,Legend Strike,"('Ultra Rare', 'Secret Rare', 'Over Rush Rare')",https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP058,Phoenix of the Roaring Flame,,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP058,Phoenix of the Roaring Flame,Jointech Ignition,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP0??,Phoenix of the Roaring Flame,Excutie Riding!,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP0??,Phoenix of the Roaring Flame,Veteran Curse of Dragon,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP0??,Phoenix of the Roaring Flame,Amusi Annoyance,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP0??,Phoenix of the Roaring Flame,Veteran Gaia the Fierce Knight,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP0??,Phoenix of the Roaring Flame,Gaia the Battle Ruler,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP0??,Phoenix of the Roaring Flame,Steel Soldier Gale Vinary,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP0??,Phoenix of the Roaring Flame,Rising Light Angel Esser,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP0??,Phoenix of the Roaring Flame,Cat-trois Choice,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP0??,Phoenix of the Roaring Flame,Launcher Catapult Turtle,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP0??,Phoenix of the Roaring Flame,Snake Princess of Purity,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-06-24 23:13:37,2023-08-11,,Booster pack,Old
RD/KP14-JP0??,Phoenix of the Roaring Flame,Snake Princess of Purity,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP0??,Phoenix of the Roaring Flame,Amusi Annoyance,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP0??,Phoenix of the Roaring Flame,Cat-trois Choice,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP0??,Phoenix of the Roaring Flame,Rising Light Angel Esser,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP0??,Phoenix of the Roaring Flame,Launcher Catapult Turtle,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP0??,Phoenix of the Roaring Flame,Veteran Gaia the Fierce Knight,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP0??,Phoenix of the Roaring Flame,Veteran Curse of Dragon,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP0??,Phoenix of the Roaring Flame,Gaia the Battle Ruler,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
RD/KP14-JP0??,Phoenix of the Roaring Flame,Excutie Riding!,,https://yugipedia.com/wiki/Set_Card_Lists:Phoenix_of_the_Roaring_Flame_(OCG-JP),2023-07-01 23:16:29,2023-08-11,,Booster pack,New
VP15-JP001,V Jump Edition (series),Red-Eyes Retro Dragon,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_Edition_(series)_(OCG-JP),2023-07-02 08:01:17,,,,New
VP15-JP001,20th Legendary Collection,Red-Eyes Retro Dragon,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:20th_Legendary_Collection_(OCG-JP),2023-07-02 08:07:08,2015-05-28,V Jump Edition (series),Booster pack,New
VP15-JP002,V Jump Edition (series),Masked HERO Blast,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_Edition_(series)_(OCG-JP),2023-07-02 08:01:17,,,,New
VP15-JP002,20th Legendary Collection,Masked HERO Blast,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:20th_Legendary_Collection_(OCG-JP),2023-07-02 08:07:08,2015-05-28,V Jump Edition (series),Booster pack,New
VP15-JP003,20th Legendary Collection,Stardust Sifr Divine Dragon,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:20th_Legendary_Collection_(OCG-JP),2023-07-02 08:07:08,2015-05-28,V Jump Edition (series),Booster pack,New
VP15-JP003,V Jump Edition (series),Stardust Sifr Divine Dragon,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_Edition_(series)_(OCG-JP),2023-07-02 08:01:17,,,,New
VP15-JP004,V Jump Edition (series),Number S0: Utopic ZEXAL,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_Edition_(series)_(OCG-JP),2023-07-02 08:01:17,,,,New
VP15-JP004,20th Legendary Collection,Number S0: Utopic ZEXAL,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:20th_Legendary_Collection_(OCG-JP),2023-07-02 08:07:08,2015-05-28,V Jump Edition (series),Booster pack,New
VP15-JP005,20th Legendary Collection,Dharma-Eye Magician,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:20th_Legendary_Collection_(OCG-JP),2023-07-02 08:07:08,2015-05-28,V Jump Edition (series),Booster pack,New
VP15-JP005,V Jump Edition (series),Dharma-Eye Magician,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_Edition_(series)_(OCG-JP),2023-07-02 08:01:17,,,,New
VP15-JPA01,V Jump Edition (series),Red-Eyes Retro Dragon,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_Edition_(series)_(OCG-JP),2023-04-22 18:32:53,,,,Old
VP15-JPA01,20th Legendary Collection,Red-Eyes Retro Dragon,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:20th_Legendary_Collection_(OCG-JP),2023-04-22 18:44:01,2015-05-28,V Jump Edition (series),Booster pack,Old
VP15-JPA02,V Jump Edition (series),Masked HERO Blast,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_Edition_(series)_(OCG-JP),2023-04-22 18:32:53,,,,Old
VP15-JPA02,20th Legendary Collection,Masked HERO Blast,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:20th_Legendary_Collection_(OCG-JP),2023-04-22 18:44:01,2015-05-28,V Jump Edition (series),Booster pack,Old
VP15-JPA03,V Jump Edition (series),Stardust Sifr Divine Dragon,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_Edition_(series)_(OCG-JP),2023-04-22 18:32:53,,,,Old
VP15-JPA03,20th Legendary Collection,Stardust Sifr Divine Dragon,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:20th_Legendary_Collection_(OCG-JP),2023-04-22 18:44:01,2015-05-28,V Jump Edition (series),Booster pack,Old
VP15-JPA04,V Jump Edition (series),Number S0: Utopic ZEXAL,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_Edition_(series)_(OCG-JP),2023-04-22 18:32:53,,,,Old
VP15-JPA04,20th Legendary Collection,Number S0: Utopic ZEXAL,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:20th_Legendary_Collection_(OCG-JP),2023-04-22 18:44:01,2015-05-28,V Jump Edition (series),Booster pack,Old
VP15-JPA05,20th Legendary Collection,Dharma-Eye Magician,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:20th_Legendary_Collection_(OCG-JP),2023-04-22 18:44:01,2015-05-28,V Jump Edition (series),Booster pack,Old
VP15-JPA05,V Jump Edition (series),Dharma-Eye Magician,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_Edition_(series)_(OCG-JP),2023-04-22 18:32:53,,,,Old
