Card number,Name,Rarity,Print,Region,Modification date,Release,Series,Set type,Version
DP23-KR005,Magicians' Combination,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR006,Magician of Dark Illusion,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR007,Apprentice Illusion Magician,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR008,Magician's Rod,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR009,Dark Magical Circle,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR010,Illusion Magic,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR011,Magician Navigation,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR012,Elemental HERO Sunrise,"('Ultra Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR013,Elemental HERO Liquid Soldier,"('Super Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR014,Generation Next,"('Super Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR015,Favorite Hero,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR016,Magistery Alchemist,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR017,Winged Kuriboh,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR018,Neo-Spacian Aqua Dolphin,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR019,Elemental HERO Honest Neos,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR020,Miracle Fusion,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR021,Skyscraper,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR022,A Hero Lives,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR023,Satellite Warrior,"('Ultra Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR024,Junk Converter,"('Super Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR025,Satellite Synchron,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR026,Synchro Chase,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR027,Scrap-Iron Signal,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR028,Accel Synchron,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR029,Cosmic Blazar Dragon,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR030,Jet Synchron,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR031,Doppelwarrior,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR032,Quickdraw Synchron,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR033,Tuning,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR034,Gagagaga Magician,"('Ultra Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR035,Zubababancho Gagagacoat,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR036,Dodododwarf Gogogoglove,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR037,Onomatopickup,"('Super Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR038,Future Drive,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR039,Number F0: Utopic Future,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR040,Gagaga Samurai,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR041,Gogogo Giant,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR042,Dododo Buster,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR043,Onomatopaira,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR044,Halfway to Forever,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR045,Performapal Celestial Magician,"('Ultra Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR046,Odd-Eyes Wizard Dragon,"('Super Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR047,Performapal Popperup,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR048,Smile Action,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR049,Pendulum Dimension,"('Rare',)",New,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR050,Performapal Skullcrobat Joker,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR051,Performapal Pendulum Sorcerer,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR052,Astrograph Sorcerer,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR053,Harmonizing Magician,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR054,Supreme King Dragon Starving Venom,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP23-KR055,Spiral Flame Strike,"('Common',)",Reprint,KR,2023-07-30 13:12:31,2020-02-05,Legend Duelist (series),Booster pack,New
DP24-KR000,The Winged Dragon of Ra,"('Extra Secret Rare',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR001,Egyptian God Slime,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR002,Reactor Slime,"('Rare',)",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR003,Guardian Slime,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR004,Ancient Chant,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR005,Blaze Cannon,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR006,Millennium Revelation,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR007,Sun God Unification,"('Rare',)",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR008,Makyura the Destructor,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR009,Juragedo,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR010,Holding Arms,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR011,Holding Legs,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR012,Monster Reborn,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR013,Left Arm Offering,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR014,The True Name,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR015,Metal Reflect Slime,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR016,Meklord Astro Dragon Triskelion,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR017,Meklord Emperor Wisel - Synchro Absorption,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR018,Meklord Nucleus Infinity Core,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR019,Meklord Army Deployer Obbligato,"('Rare',)",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR020,Meklord Assembly,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR021,Meklord Deflection,"('Rare',)",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR022,Meklord Astro the Eradicator,"('Rare',)",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR023,Meklord Emperor Wisel,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR024,Meklord Emperor Granel,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR025,Meklord Emperor Skiel,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR026,Meklord Astro Mekanikle,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR027,Meklord Astro Dragon Asterisk,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR028,Meklord Army of Wisel,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR029,Meklord Fortress,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR030,Chaos Infinity,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR031,Jinzo the Machine Menace,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR032,Psychic Bounder,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR033,Psychic Megacyber,"('Rare',)",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR034,Cyber Energy Shock,"('Rare',)",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR035,Law of the Cosmos,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR036,Cosmos Channelling,"('Rare',)",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR037,Everlasting Alloy,"('Rare',)",New,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR038,Jinzo,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR039,Jinzo - Returner,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR040,Jinzo - Lord,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR041,Jinzo - Jector,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR042,Brain Control,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR043,Amplifier,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR044,Mind Control,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP24-KR045,Psychic Shockwave,"('Common',)",Reprint,KR,2023-07-30 13:14:10,2020-08-21,Attribute Duelist Pack,Booster pack,New
DP25-KR000,Clear Wing Synchro Dragon,"('Extra Secret Rare',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR001,Speedroid Fuki-Modoshi Piper,"('Rare',)",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR002,Speedroid Ultra Hound,"('Rare',)",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR003,Hi-Speedroid Cork Shooter,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR004,Crystal Clear Wing Synchro Dragon,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR005,Hi-Speedroid Clear Wing Rider,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR006,Speedroid Wheel,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR007,Speedroid Dupligate,"('Rare',)",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR008,Speedroid Terrortop,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR009,Speedroid Double Yoyo,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR010,Speedroid Taketomborg,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR011,Speedroid Red-Eyed Dice,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR012,Speedroid Den-Den Daiko Duke,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR013,Speedroid Horse Stilts,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR014,Speedroid Marble Machine,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR015,Speedroid CarTurbo,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR016,Hi-Speedroid Chanbara,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR017,Hi-Speedroid Kitedrake,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR018,Speed Recovery,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR019,Speedlift,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR020,Sauge de Fleur,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR021,White Steed of the Floral Knights,"('Rare',)",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR022,Necro Synchron,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR023,Baronne de Fleur,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR024,Fleuret de Fleur,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR025,Synchro Dilemma,"('Rare',)",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR026,Pennant of Revolution,"('Rare',)",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR027,Sorciere de Fleur,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR028,Necro Fleur,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR029,Noble Knight Joan,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR030,Fleur Synchron,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR031,Chevalier de Fleur,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR032,Z-ONE,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR033,Liberty at Last!,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR034,Lyrilusc - Beryl Canary,"('Rare',)",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR035,Lyrilusc - Celestine Wagtail,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR036,Lyrilusc - Ensemblue Robin,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR037,Lyrilusc - Promenade Thrush,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR038,Lyrilusc - Bird Call,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR039,Lyrilusc - Bird Sanctuary,"('Rare',)",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR040,Lyrilusc - Phantom Feathers,"('Rare',)",New,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR041,Lyrilusc - Cobalt Sparrow,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR042,Lyrilusc - Sapphire Swallow,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR043,Lyrilusc - Turquoise Warbler,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR044,Lyrilusc - Assembled Nightingale,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP25-KR045,Lyrilusc - Recital Starling,"('Common',)",Reprint,KR,2023-07-30 13:15:26,2021-08-25,Attribute Duelist Pack,Booster pack,New
DP26-KR000,Number 101: Silent Honor ARK,"('Extra Secret Rare',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR001,Abyss Shark,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR002,Crystal Shark,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR003,N.As.H. Knight,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR004,CXyz N.As.Ch. Knight,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR005,Barian's Chaos Draw,"('Rare',)",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR006,Seventh Ascension,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR007,Seventh Eternity,"('Rare',)",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR008,Silent Angler,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR009,Xyz Remora,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR010,Number C101: Silent Honor DARK,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR011,Bahamut Shark,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR012,Full Armored Black Ray Lancer,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR013,Number 71: Rebarian Shark,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR014,Rank-Up-Magic - The Seventh One,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR015,Rank-Up-Magic Quick Chaos,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR016,Mega Fortress Whale,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR017,Ocean Dragon Lord - Kairyu-Shin,"('Rare',)",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR018,Doom Kraken,"('Rare',)",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR019,Electric Jellyfish,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR020,Fish Sonar,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR021,Sea Stealth II,"('Rare',)",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR022,Kairyu-Shin's Dark Reef,"('Rare',)",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR023,The Legendary Fisherman,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR024,The Legendary Fisherman II,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR025,The Legendary Fisherman III,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR026,Citadel Whale,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR027,Rage of Kairyu-Shin,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR028,Fury of Kairyu-Shin,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR029,Torrential Tribute,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR030,Sea Stealth Attack,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR031,Marincess Springirl,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR032,Marincess Sleepy Maiden,"('Rare',)",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR033,Marincess Coral Triangle,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR034,Marincess Aqua Argonaut,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR035,Marincess Dive,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR036,Marincess Circulation,"('Rare',)",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR037,Marincess Bubble Ring,"('Rare',)",New,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR038,Marincess Sea Horse,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR039,Marincess Pascalus,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR040,Marincess Sea Angel,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
DP26-KR041,Marincess Coral Anemone,"('Common',)",Reprint,KR,2023-07-30 13:16:30,2022-02-16,Attribute Duelist Pack,Booster pack,New
