Name,Password,Archseries,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Attribute,Primary type,DEF,ATK,Level/Rank,Version
Despian Luluwalilith,53971455,"('Despia',)","('Condition', 'Trigger Effect')",,Unlimited,Despian Luluwalilith,https://yugipedia.com/wiki/Despian_Luluwalilith,,2023-01-14 07:40:10,,LIGHT,Synchro Monster,2500,2500,12,Old
Despian Luluwalilith,53971455,"('Despia',)","('Condition', 'Trigger Effect')",Not yet released,Unlimited,Despian Luluwalilith,https://yugipedia.com/wiki/Despian_Luluwalilith,,2023-04-21 15:35:17,,LIGHT,Synchro Monster,2500,2500,12,New
Destruction Punch,05616412,,"('Activation condition', 'Effect')",Unlimited,Unlimited,Destruction Punch,https://yugipedia.com/wiki/Destruction_Punch,,2022-12-27 13:10:14,"('Any',)",,,,,,Old
Destruction Punch,05616412,"('Counter (archetype)',)","('Activation condition', 'Effect')",Unlimited,Unlimited,Destruction Punch,https://yugipedia.com/wiki/Destruction_Punch,,2023-04-06 12:17:34,"('Any',)",,,,,,New
Dewdark of the Ice Barrier,90311614,"('Ice Barrier',)","('Continuous Effect',)",Unlimited,Unlimited,Dewdark of the Ice Barrier,https://yugipedia.com/wiki/Dewdark_of_the_Ice_Barrier,,2022-03-11 20:54:24,"('Type',)",WATER,Effect Monster,800,1200,2,Old
Dewdark of the Ice Barrier,90311614,"('Ice Barrier',)","('Continuous Effect',)",Unlimited,Unlimited,Dewdark of the Ice Barrier,https://yugipedia.com/wiki/Dewdark_of_the_Ice_Barrier,,2023-03-18 13:04:13,,WATER,Effect Monster,800,1200,2,New
Dinomorphia Intact,07336745,"('Dinomorphia',)","('Condition', 'Effect', 'Quick-like Effect')",,Unlimited,Dinomorphia Intact,https://yugipedia.com/wiki/Dinomorphia_Intact,,2023-01-14 02:54:57,,,,,,,Old
Dinomorphia Intact,07336745,"('Dinomorphia',)","('Condition', 'Effect', 'Quick-like Effect')",Not yet released,Unlimited,Dinomorphia Intact,https://yugipedia.com/wiki/Dinomorphia_Intact,,2023-04-22 12:27:43,,,,,,,New
Dogmatika Encounter,29354228,"('Dogmatika',)","('Condition', 'Effect')",Unlimited,Unlimited,Dogmatika Encounter,https://yugipedia.com/wiki/Dogmatika_Encounter,,2022-04-20 03:02:07,"('Any',)",,,,,,Old
Dogmatika Encounter,29354228,"('Counter (archetype)', 'Dogmatika')","('Condition', 'Effect')",Unlimited,Unlimited,Dogmatika Encounter,https://yugipedia.com/wiki/Dogmatika_Encounter,,2023-04-06 12:20:14,,,,,,,New
Dogmatikatrix,35569555,"('Dogmatika',)","('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,Dogmatikatrix,https://yugipedia.com/wiki/Dogmatikatrix,,2023-01-11 16:47:00,,,,,,,Old
Doron,00756652,"('Fan-Made Cards',)",,,Unlimited,Doron,https://yugipedia.com/wiki/Doron,,2022-05-02 13:55:22,"('Any',)",EARTH,Normal Monster,500,900,2,Old
Doron,00756652,"('Fan-Made Cards',)",,,Unlimited,Doron,https://yugipedia.com/wiki/Doron,,2023-03-18 14:09:45,,EARTH,Normal Monster,500,900,2,New
Double Attack! Wind and Thunder!!,60176682,"('Signature move',)","('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,,Double Attack! Wind and Thunder!!,https://yugipedia.com/wiki/Double_Attack!_Wind_and_Thunder!!,,2023-03-03 16:45:33,,,,,,,Old
Double Attack! Wind and Thunder!!,60176682,"('Signature move',)","('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,,Double Attack! Wind and Thunder!!,https://yugipedia.com/wiki/Double_Attack!_Wind_and_Thunder!!,,2023-03-28 10:21:05,,,,,,,New
Double Fin Shark,64319467,"('Shark (series)',)","('Condition', 'Trigger Effect')",Unlimited,Unlimited,Double Fin Shark,https://yugipedia.com/wiki/Double_Fin_Shark,,2022-06-16 17:20:14,"('Any',)",WATER,Effect Monster,1200,1000,4,Old
Double Fin Shark,64319467,"('Shark (series)',)","('Condition', 'Trigger Effect')",Unlimited,Unlimited,Double Fin Shark,https://yugipedia.com/wiki/Double_Fin_Shark,,2023-03-18 14:15:33,,WATER,Effect Monster,1200,1000,4,New
Double Hooking,06214163,,"('Condition', 'Continuous-like Effect', 'Effect')",,Unlimited,Double Hooking,https://yugipedia.com/wiki/Double_Hooking,,2023-01-14 02:58:33,,,,,,,Old
Double Hooking,06214163,,"('Condition', 'Continuous-like Effect', 'Effect')",Not yet released,Unlimited,Double Hooking,https://yugipedia.com/wiki/Double_Hooking,,2023-04-22 12:24:26,,,,,,,New
Dragonmaid Send-Off,15754711,"('Dragonmaid',)","('Condition', 'Effect')",Unlimited,Unlimited,Dragonmaid Send-Off,https://yugipedia.com/wiki/Dragonmaid_Send-Off,"('Edited',)",2022-11-05 15:23:14,"('Any',)",,,,,,Old
Dragonmaid Send-Off,15754711,"('Dragonmaid',)","('Condition', 'Effect')",Unlimited,Unlimited,Dragonmaid Send-Off,https://yugipedia.com/wiki/Dragonmaid_Send-Off,"('Edited',)",2023-04-15 16:14:23,,,,,,,New
Dragunity Javelin,80549379,"('Dragunity',)","('Unclassified effect',)",Unlimited,Unlimited,Dragunity Javelin,https://yugipedia.com/wiki/Dragunity_Javelin,,2022-03-11 18:55:17,"('Type',)",WIND,Effect Monster,800,1200,2,Old
Dragunity Javelin,80549379,"('Dragunity',)","('Unclassified effect',)",Unlimited,Unlimited,Dragunity Javelin,https://yugipedia.com/wiki/Dragunity_Javelin,,2023-03-18 14:49:47,,WIND,Effect Monster,800,1200,2,New
Dragunity Militum,81661951,"('Dragunity',)","('Ignition Effect',)",Unlimited,Unlimited,Dragunity Militum,https://yugipedia.com/wiki/Dragunity_Militum,,2022-07-24 09:32:27,"('Any',)",WIND,Effect Monster,1200,1700,4,Old
Dragunity Militum,81661951,"('Dragunity',)","('Ignition Effect',)",Unlimited,Unlimited,Dragunity Militum,https://yugipedia.com/wiki/Dragunity_Militum,,2023-03-18 14:53:19,,WIND,Effect Monster,1200,1700,4,New
Dragunity Primus Pilus,18060565,"('Dragunity',)","('Trigger Effect',)",Unlimited,Unlimited,Dragunity Primus Pilus,https://yugipedia.com/wiki/Dragunity_Primus_Pilus,,2022-03-11 21:10:56,"('Any',)",WIND,Effect Monster,1600,2200,5,Old
Dragunity Primus Pilus,18060565,"('Dragunity',)","('Trigger Effect',)",Unlimited,Unlimited,Dragunity Primus Pilus,https://yugipedia.com/wiki/Dragunity_Primus_Pilus,,2023-03-18 14:54:42,,WIND,Effect Monster,1600,2200,5,New
Dramatic Rescue,80193355,,"('Activation condition', 'Effect')",Unlimited,Unlimited,Dramatic Rescue,https://yugipedia.com/wiki/Dramatic_Rescue,"('Edited',)",2022-11-11 18:52:53,"('Any',)",,,,,,Old
Dramatic Rescue,80193355,,"('Effect',)",Unlimited,Unlimited,Dramatic Rescue,https://yugipedia.com/wiki/Dramatic_Rescue,"('Edited',)",2023-04-10 17:19:06,"('Any',)",,,,,,New
Drastic Draw,,,"('Condition', 'Effect')",,Not yet released,Drastic Draw,https://yugipedia.com/wiki/Drastic_Draw,,2023-04-15 02:41:22,,,,,,,New
Dream Tower of Princess Nemleria,18458255,"('Nemleria',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Not yet released,Unlimited,Dream Tower of Princess Nemleria,https://yugipedia.com/wiki/Dream_Tower_of_Princess_Nemleria,,2023-04-22 17:06:59,,,,,,,New
Dreaming Nemleria,70155677,"('Nemleria',)","('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,Dreaming Nemleria,https://yugipedia.com/wiki/Dreaming_Nemleria,,2023-04-23 18:37:21,,LIGHT,Effect Monster,1500,0,1,New
Dreaming Nemurelia,70155677,"('Nemurelia',)","('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Dreaming Nemurelia,https://yugipedia.com/wiki/Dreaming_Nemurelia,,2023-02-16 00:39:36,,LIGHT,Effect Monster,1500,0,1,Old
Drill Synchron,56286179,"('Fan-Made Cards', 'Synchron')","('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Drill Synchron,https://yugipedia.com/wiki/Drill_Synchron,,2021-09-30 13:04:44,"('Type',)",EARTH,Effect Monster,300,800,3,Old
Drill Synchron,56286179,"('Fan-Made Cards', 'Synchro (archetype)', 'Synchron')","('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Drill Synchron,https://yugipedia.com/wiki/Drill_Synchron,,2023-04-19 12:50:13,"('Type',)",EARTH,Effect Monster,300,800,3,New
Dual Avatar - Manifested A-Un,28798938,"('Dual Avatar',)","('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Not yet released,Unlimited,Dual Avatar - Manifested A-Un,https://yugipedia.com/wiki/Dual_Avatar_-_Manifested_A-Un,,2023-04-22 17:28:22,,LIGHT,Fusion Monster,0,0,4,New
Dual Avatar Lion Envoys - Ah-Un,28798938,"('Dual Avatar',)","('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",,Unlimited,Dual Avatar Lion Envoys - Ah-Un,https://yugipedia.com/wiki/Dual_Avatar_Lion_Envoys_-_Ah-Un,,2023-01-14 01:51:42,,LIGHT,Fusion Monster,0,0,4,Old
Duel Academy,05833312,,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,Duel Academy (card),https://yugipedia.com/wiki/Duel_Academy_(card),,2023-03-03 16:45:31,,,,,,,Old
Duel Academy,05833312,,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,Duel Academy (card),https://yugipedia.com/wiki/Duel_Academy_(card),,2023-03-28 10:20:06,,,,,,,New
Duelist Genesis,97474300,,"('Condition', 'Effect')",,Unlimited,Duelist Genesis,https://yugipedia.com/wiki/Duelist_Genesis,,2023-04-22 12:32:46,,,,,,,New
EMERGENCY!,61292243,"('Rescue-ACE',)","('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,EMERGENCY!,https://yugipedia.com/wiki/EMERGENCY!,,2023-04-27 01:46:48,,,,,,,New
Earthbound Servant Geo Grasha,,,,,Not yet released,Earthbound Servant Geo Grasha,https://yugipedia.com/wiki/Earthbound_Servant_Geo_Grasha,,2023-04-15 12:11:54,,DARK,Fusion Monster,1800,3000,10,New
Earthbound Spirit,67105242,,,Unlimited,Unlimited,Earthbound Spirit,https://yugipedia.com/wiki/Earthbound_Spirit,,2021-07-27 14:54:57,"('Name', 'Type')",EARTH,Normal Monster,2000,500,4,Old
Earthbound Spirit,67105242,,,Unlimited,Unlimited,Earthbound Spirit,https://yugipedia.com/wiki/Earthbound_Spirit,,2023-03-18 15:27:34,,EARTH,Normal Monster,2000,500,4,New
Ecclesia the Exiled,,,,Legal,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2022-04-16 11:51:54,,,,,,,Old
Ecclesia the Exiled,,,,Legal,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2022-04-16 11:51:54,,,Monster Token,,,,Old
Ecclesia the Exiled,,,,Legal,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2023-03-23 10:20:22,,,Monster Token,,,,New
Ecclesia the Exiled,,,,Legal,Legal,Ecclesia the Exiled,https://yugipedia.com/wiki/Ecclesia_the_Exiled,,2023-03-23 10:20:22,,,,,,,New
Egomorph,96352712,,"('Condition', 'Effect')",,Unlimited,Egomorph,https://yugipedia.com/wiki/Egomorph,,2023-04-22 12:40:16,,,,,,,New
Eidos the Underworld Squire,59463312,"('Monarch',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Eidos the Underworld Squire,https://yugipedia.com/wiki/Eidos_the_Underworld_Squire,,2021-12-03 00:29:49,"('Any',)",DARK,Effect Monster,1000,800,2,Old
Eidos the Underworld Squire,59463312,"('Monarch',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Eidos the Underworld Squire,https://yugipedia.com/wiki/Eidos_the_Underworld_Squire,,2023-03-18 15:36:26,,DARK,Effect Monster,1000,800,2,New
Elemental HERO Flame Wingman - Infernal Rage,,"('Elemental HERO', 'HERO', 'Signature move', 'Wingman')","('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,Elemental HERO Flame Wingman - Infernal Rage,https://yugipedia.com/wiki/Elemental_HERO_Flame_Wingman_-_Infernal_Rage,,2023-02-11 23:58:34,,WIND,Fusion Monster,1200,2100,8,Old
Elemental HERO Flame Wingman - Infernal Rage,93347961,"('Elemental HERO', 'HERO', 'Signature move', 'Wingman')","('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Elemental HERO Flame Wingman - Infernal Rage,https://yugipedia.com/wiki/Elemental_HERO_Flame_Wingman_-_Infernal_Rage,,2023-03-28 15:13:04,,WIND,Fusion Monster,1200,2100,8,New
Emperor's Key,,,,,Legal,Emperor's Key (card),https://yugipedia.com/wiki/Emperor%27s_Key_(card),,2023-02-13 00:23:57,,,Monster Token,,,,Old
Emperor's Key,,,,,Legal,Emperor's Key (card),https://yugipedia.com/wiki/Emperor%27s_Key_(card),,2023-02-13 00:23:57,,,,,,,Old
Emperor's Key,,,,,Legal,Emperor's Key (card),https://yugipedia.com/wiki/Emperor%27s_Key_(card),,2023-04-02 14:39:53,,,Monster Token,,,,New
Emperor's Key,,,,,Legal,Emperor's Key (card),https://yugipedia.com/wiki/Emperor%27s_Key_(card),,2023-04-02 14:39:53,,,,,,,New
Engraver of the Mark,50078320,,"('Quick Effect',)",Unlimited,Unlimited,Engraver of the Mark,https://yugipedia.com/wiki/Engraver_of_the_Mark,,2020-12-03 15:08:34,"('Any',)",DARK,Effect Monster,1200,1800,4,Old
Engraver of the Mark,50078320,,"('Quick Effect',)",Unlimited,Unlimited,Engraver of the Mark,https://yugipedia.com/wiki/Engraver_of_the_Mark,,2023-03-18 16:19:42,,DARK,Effect Monster,1200,1800,4,New
Epurrely Noir,62592805,"('Purrely',)","('Ignition Effect', 'Quick Effect')",,Unlimited,Epurrely Noir,https://yugipedia.com/wiki/Epurrely_Noir,,2023-04-22 01:35:23,,DARK,Xyz Monster,2000,1000,2,New
Eternal Ice Grave,23746827,,"('Condition', 'Effect')",,Unlimited,Eternal Ice Grave,https://yugipedia.com/wiki/Eternal_Ice_Grave,,2023-04-27 02:29:10,,,,,,,New
Etude of the Branded,45675980,"('Branded',)","('Condition', 'Continuous-like Effect', 'Quick-like Effect')",Not yet released,Unlimited,Etude of the Branded,https://yugipedia.com/wiki/Etude_of_the_Branded,,2023-04-21 19:52:48,,,,,,,New
Evil Dragon Ananta,08400623,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Evil Dragon Ananta,https://yugipedia.com/wiki/Evil_Dragon_Ananta,,2022-01-01 13:16:46,"('Any',)",DARK,Effect Monster,?,?,8,Old
Evil Dragon Ananta,08400623,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Evil Dragon Ananta,https://yugipedia.com/wiki/Evil_Dragon_Ananta,,2023-03-18 16:28:50,,DARK,Effect Monster,?,?,8,New
Evolsaur Rios,15171722,"('Evol', 'Evolsaur')","('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,Evolsaur Rios,https://yugipedia.com/wiki/Evolsaur_Rios,,2023-04-22 00:39:09,,FIRE,Effect Monster,400,1600,4,New
Evoltile Phoris,89776023,"('Evol', 'Evoltile')","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,Unlimited,Evoltile Phoris,https://yugipedia.com/wiki/Evoltile_Phoris,,2023-04-22 00:37:31,,FIRE,Effect Monster,300,900,2,New
Evolution End Burst,78217065,"('Signature move',)","('Condition', 'Effect', 'Lingering effect')",Not yet released,Unlimited,Evolution End Burst,https://yugipedia.com/wiki/Evolution_End_Burst,,2023-03-03 16:45:29,,,,,,,Old
Evolution End Burst,78217065,"('Signature move',)","('Condition', 'Effect', 'Lingering effect')",Unlimited,Unlimited,Evolution End Burst,https://yugipedia.com/wiki/Evolution_End_Burst,,2023-03-28 10:19:55,,,,,,,New
Evolutionary Bridge,93504463,"('Evo-', 'Evol')","('Effect',)",Unlimited,Unlimited,Evolutionary Bridge,https://yugipedia.com/wiki/Evolutionary_Bridge,,2023-02-20 21:57:26,"('Name',)",,,,,,Old
Evolutionary Bridge,93504463,"('Evo-', 'Evol')","('Effect',)",Unlimited,Unlimited,Evolutionary Bridge,https://yugipedia.com/wiki/Evolutionary_Bridge,,2023-03-18 17:12:10,,,,,,,New
Evolzar Razh,35103106,"('Evol', 'Evolzar')","('Continuous Effect', 'Quick Effect')",,Unlimited,Evolzar Razh,https://yugipedia.com/wiki/Evolzar_Razh,,2023-04-22 01:33:53,,FIRE,Xyz Monster,1500,2500,6,New
Fabled Dianaira,53199020,"('Fabled',)","('Continuous Effect', 'Summoning condition')",Unlimited,Unlimited,Fabled Dianaira,https://yugipedia.com/wiki/Fabled_Dianaira,,2022-03-11 19:10:14,"('Any',)",LIGHT,Effect Monster,100,2800,8,Old
Fabled Dianaira,53199020,"('Fabled',)","('Continuous Effect', 'Summoning condition')",Unlimited,Unlimited,Fabled Dianaira,https://yugipedia.com/wiki/Fabled_Dianaira,,2023-03-18 17:25:45,,LIGHT,Effect Monster,100,2800,8,New
Fabled Krus,19439119,"('Fabled',)","('Trigger Effect',)",Unlimited,Unlimited,Fabled Krus,https://yugipedia.com/wiki/Fabled_Krus,,2022-12-25 09:08:57,"('Any',)",LIGHT,Effect Monster,800,1000,2,Old
Fabled Krus,19439119,"('Fabled',)","('Trigger Effect',)",Unlimited,Unlimited,Fabled Krus,https://yugipedia.com/wiki/Fabled_Krus,,2023-03-18 17:26:36,,LIGHT,Effect Monster,800,1000,2,New
Fabled Lurrie,97651498,"('Fabled',)","('Trigger Effect',)",Unlimited,Unlimited,Fabled Lurrie,https://yugipedia.com/wiki/Fabled_Lurrie,,2022-07-09 01:31:01,"('Any',)",LIGHT,Effect Monster,400,200,1,Old
Fabled Lurrie,97651498,"('Fabled',)","('Trigger Effect',)",Unlimited,Unlimited,Fabled Lurrie,https://yugipedia.com/wiki/Fabled_Lurrie,,2023-03-18 17:27:12,,LIGHT,Effect Monster,400,200,1,New
Fabled Miztoji,08316661,"('Fabled',)","('Ignition Effect',)",Unlimited,Unlimited,Fabled Miztoji,https://yugipedia.com/wiki/Fabled_Miztoji,,2022-04-20 03:14:11,"('Type',)",LIGHT,Effect Monster,200,400,2,Old
Fabled Miztoji,08316661,"('Fabled',)","('Ignition Effect',)",Unlimited,Unlimited,Fabled Miztoji,https://yugipedia.com/wiki/Fabled_Miztoji,,2023-03-18 17:27:37,,LIGHT,Effect Monster,200,400,2,New
Fallen of Argyros,82090807,,"('Condition', 'Continuous Effect', 'Quick Effect', 'Unclassified effect')",,Unlimited,Fallen of Argyros,https://yugipedia.com/wiki/Fallen_of_Argyros,,2023-01-14 00:35:33,,DARK,Effect Monster,700,700,2,Old
Fallen of Argyros,82090807,,"('Condition', 'Continuous Effect', 'Quick Effect', 'Unclassified effect')",Not yet released,Unlimited,Fallen of Argyros,https://yugipedia.com/wiki/Fallen_of_Argyros,,2023-04-22 16:35:17,,DARK,Effect Monster,700,700,2,New
Faustian Bargain,68396778,,"('Effect',)",Unlimited,Unlimited,Faustian Bargain,https://yugipedia.com/wiki/Faustian_Bargain,,2020-11-23 05:29:12,"('Any',)",,,,,,Old
Faustian Bargain,68396778,,"('Effect',)",Unlimited,Unlimited,Faustian Bargain,https://yugipedia.com/wiki/Faustian_Bargain,,2023-03-18 17:42:53,,,,,,,New
Ferret Flames,31044787,,"('Activation condition', 'Effect')",Unlimited,Unlimited,Ferret Flames,https://yugipedia.com/wiki/Ferret_Flames,"('Edited',)",2022-12-23 05:00:37,"('Any',)",,,,,,Old
Ferret Flames,31044787,,"('Activation condition', 'Effect')",Unlimited,Unlimited,Ferret Flames,https://yugipedia.com/wiki/Ferret_Flames,"('Edited',)",2023-03-18 17:47:55,,,,,,,New
Fiend's Mirror,31890399,,,Unlimited,Unlimited,Fiend's Mirror,https://yugipedia.com/wiki/Fiend%27s_Mirror,,2020-11-23 05:31:34,,DARK,Ritual Monster,1800,2100,6,Old
Fiend's Mirror,,,,,Unlimited,Fiend's Mirror (Normal),https://yugipedia.com/wiki/Fiend%27s_Mirror_(Normal),,2023-01-26 08:54:51,,DARK,Normal Monster,1800,2100,6,Old
Fiend's Mirror,31890399,,,Unlimited,Unlimited,Fiend's Mirror,https://yugipedia.com/wiki/Fiend%27s_Mirror,,2023-03-18 17:50:26,,DARK,Ritual Monster,1800,2100,6,New
Fiend's Mirror,,,,,Unlimited,Fiend's Mirror (Normal),https://yugipedia.com/wiki/Fiend%27s_Mirror_(Normal),,2023-03-18 17:50:33,,DARK,Normal Monster,1800,2100,6,New
Fire Ejection,,,"('Condition', 'Effect')",,Not yet released,Fire Ejection,https://yugipedia.com/wiki/Fire_Ejection,,2023-04-14 17:42:48,,,,,,,New
Firewall Defenser,20455229,"('Firewall (archetype)',)","('Condition', 'Trigger Effect', 'Unclassified effect')",,Unlimited,Firewall Defenser,https://yugipedia.com/wiki/Firewall_Defenser,,2023-01-14 00:25:21,,DARK,Effect Monster,1500,1200,4,Old
Firewall Defenser,20455229,"('Firewall (archetype)',)","('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,Unlimited,Firewall Defenser,https://yugipedia.com/wiki/Firewall_Defenser,,2023-04-24 15:20:20,,DARK,Effect Monster,1500,1200,4,New
Firewall Dragon Darkfluid - Neo Tempest Terahertz,64211118,"('Firewall (archetype)', 'Signature move')","('Condition', 'Continuous Effect', 'Quick Effect')",Not yet released,Unlimited,Firewall Dragon Darkfluid - Neo Tempest Terahertz,https://yugipedia.com/wiki/Firewall_Dragon_Darkfluid_-_Neo_Tempest_Terahertz,,2023-03-03 16:45:18,,DARK,Link Monster,,3000,,Old
Firewall Dragon Darkfluid - Neo Tempest Terahertz,64211118,"('Firewall (archetype)', 'Signature move')","('Condition', 'Continuous Effect', 'Quick Effect')",Unlimited,Unlimited,Firewall Dragon Darkfluid - Neo Tempest Terahertz,https://yugipedia.com/wiki/Firewall_Dragon_Darkfluid_-_Neo_Tempest_Terahertz,,2023-03-28 10:18:31,,DARK,Link Monster,,3000,,New
Firewall Dragon Singularity,21637210,"('Firewall (archetype)',)","('Condition', 'Quick Effect', 'Trigger Effect')",,Unlimited,Firewall Dragon Singularity,https://yugipedia.com/wiki/Firewall_Dragon_Singularity,,2023-01-14 02:05:55,,DARK,Link Monster,,3500,,Old
Firewall Dragon Singularity,21637210,"('Firewall (archetype)',)","('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,Unlimited,Firewall Dragon Singularity,https://yugipedia.com/wiki/Firewall_Dragon_Singularity,,2023-04-23 18:18:42,,DARK,Link Monster,,3500,,New
Firewall Phantom,57940938,"('Firewall (archetype)', 'Phantom Knights')","('Condition', 'Ignition Effect', 'Trigger Effect')",,Unlimited,Firewall Phantom,https://yugipedia.com/wiki/Firewall_Phantom,,2023-01-14 00:26:21,,DARK,Effect Monster,1300,2000,5,Old
Firewall Phantom,57940938,"('Firewall (archetype)', 'Phantom Knights')","('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,Firewall Phantom,https://yugipedia.com/wiki/Firewall_Phantom,,2023-04-22 16:33:26,,DARK,Effect Monster,1300,2000,5,New
First Purchase of the Year,43618262,,"('Effect',)",,Unlimited,First Purchase of the Year,https://yugipedia.com/wiki/First_Purchase_of_the_Year,,2023-01-14 02:59:27,,,,,,,Old
Flamvell Counter,60718396,"('Flamvell',)","('Activation condition', 'Cost', 'Effect')",Unlimited,Unlimited,Flamvell Counter,https://yugipedia.com/wiki/Flamvell_Counter,,2022-04-21 04:30:54,"('Any',)",,,,,,Old
Flamvell Counter,60718396,"('Counter (archetype)', 'Flamvell')","('Activation condition', 'Cost', 'Effect')",Unlimited,Unlimited,Flamvell Counter,https://yugipedia.com/wiki/Flamvell_Counter,,2023-04-06 12:13:56,"('Any',)",,,,,,New
Flash of the Forbidden Spell,39956951,,"('Activation condition', 'Effect')",Unlimited,Unlimited,Flash of the Forbidden Spell,https://yugipedia.com/wiki/Flash_of_the_Forbidden_Spell,,2020-03-20 12:50:27,,,,,,,Old
Flash of the Forbidden Spell,39956951,,"('Effect',)",Unlimited,Unlimited,Flash of the Forbidden Spell,https://yugipedia.com/wiki/Flash_of_the_Forbidden_Spell,,2023-04-06 19:41:27,,,,,,,New
Fleur Synchron,19642774,"('Fleur', 'Synchron')","('Trigger Effect',)",Unlimited,Unlimited,Fleur Synchron,https://yugipedia.com/wiki/Fleur_Synchron,,2022-05-04 01:38:28,"('Name', 'Type')",LIGHT,Effect Monster,200,400,2,Old
Fleur Synchron,19642774,"('Fleur', 'Synchro (archetype)', 'Synchron')","('Trigger Effect',)",Unlimited,Unlimited,Fleur Synchron,https://yugipedia.com/wiki/Fleur_Synchron,,2023-04-19 12:50:23,"('Name', 'Type')",LIGHT,Effect Monster,200,400,2,New
Flower Cardian Willow with Calligrapher,89818984,"('Flower Cardian',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Flower Cardian Willow with Calligrapher,https://yugipedia.com/wiki/Flower_Cardian_Willow_with_Calligrapher,,2022-04-18 12:18:42,"('Any',)",DARK,Effect Monster,2000,2000,11,Old
Flower Cardian Willow with Calligrapher,89818984,"('Flower Cardian',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Flower Cardian Willow with Calligrapher,https://yugipedia.com/wiki/Flower_Cardian_Willow_with_Calligrapher,,2023-03-18 18:32:14,,DARK,Effect Monster,2000,2000,11,New
Fog Control,63741331,,"('Cost', 'Effect')",Unlimited,Unlimited,Fog Control,https://yugipedia.com/wiki/Fog_Control,,2021-01-06 03:56:16,,,,,,,Old
Fog Control,63741331,,"('Effect',)",Unlimited,Unlimited,Fog Control,https://yugipedia.com/wiki/Fog_Control,,2023-04-07 20:06:59,,,,,,,New
Foie Glasya de Nouvellez,,"('Nouvellez',)","('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Not yet released,Foie Glasya de Nouvellez,https://yugipedia.com/wiki/Foie_Glasya_de_Nouvellez,,2023-02-10 02:04:13,,DARK,Ritual Monster,1850,1600,4,Old
Foie Glasya de Nouvellez,15001940,"('Nouvellez',)","('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,Foie Glasya de Nouvellez,https://yugipedia.com/wiki/Foie_Glasya_de_Nouvellez,,2023-04-03 20:54:26,,DARK,Ritual Monster,1850,1600,4,New
Forge a New Future,27104921,,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,Forge a New Future,https://yugipedia.com/wiki/Forge_a_New_Future,,2023-03-03 16:45:15,,,,,,,Old
Forge a New Future,27104921,,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,Forge a New Future,https://yugipedia.com/wiki/Forge_a_New_Future,,2023-03-28 10:18:21,,,,,,,New
Formula Synchron,50091196,"('Synchron',)","('Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,Formula Synchron,https://yugipedia.com/wiki/Formula_Synchron,,2022-06-04 11:35:12,"('Type',)",LIGHT,Synchro Monster,1500,200,2,Old
Formula Synchron,50091196,"('Synchro (archetype)', 'Synchron')","('Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,Formula Synchron,https://yugipedia.com/wiki/Formula_Synchron,,2023-04-19 12:50:37,"('Type',)",LIGHT,Synchro Monster,1500,200,2,New
