Name,Password,Card type,Property,Archseries,Effect type,TCG status,OCG status,Page URL,Artwork,Modification date,Errata,Attribute,Primary type,Secondary type,Monster type,Level/Rank,DEF,Pendulum Scale,Link,Link Arrows,ATK
Cuben,17530001,Monster Card,,,"('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cuben,,2020-11-16 05:15:11,,LIGHT,Effect Monster,,Thunder,4,1900,,,,600
Cubic Ascension,02434862,Trap Card,Normal Trap Card,"('Cubic',)","('Activation condition', 'Condition', 'Effect', 'Quick-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cubic_Ascension,,2022-08-13 13:22:08,,,,,,,,,,,
Cubic Causality,38606913,Trap Card,Normal Trap Card,"('Cubic',)","('Condition', 'Effect', 'Quick-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cubic_Causality,,2021-02-28 09:33:58,,,,,,,,,,,
Cubic Dharma,01218214,Spell Card,Continuous Spell Card,"('Cubic',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cubic_Dharma,,2021-02-28 09:34:26,,,,,,,,,,,
Cubic Karma,09659580,Spell Card,Continuous Spell Card,"('Cubic',)","('Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cubic_Karma,,2021-02-28 09:28:55,,,,,,,,,,,
Cubic Mandala,08837932,Trap Card,Continuous Trap Card,"('Cubic',)","('Activation condition', 'Continuous-like Effect', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cubic_Mandala,,2021-02-28 09:28:59,,,,,,,,,,,
Cubic Rebirth,71442223,Trap Card,Normal Trap Card,"('Cubic',)","('Activation condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cubic_Rebirth,,2021-06-09 14:53:49,,,,,,,,,,,
Cubic Wave,35058588,Spell Card,Normal Spell Card,"('Cubic',)","('Effect', 'Ignition-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cubic_Wave,,2021-02-28 09:28:47,,,,,,,,,,,
Cucumber Horse,89552119,Monster Card,,,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cucumber_Horse,,2022-10-23 20:17:55,,DARK,Effect Monster,,Plant,8,2000,,,,100
Cunning of the Six Samurai,27178262,Spell Card,Quick-Play Spell Card,"('Six Samurai',)","('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cunning_of_the_Six_Samurai,,2022-07-29 08:37:12,,,,,,,,,,,
Cup of Ace,37812118,Spell Card,Normal Spell Card,,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cup_of_Ace,,2022-10-01 13:09:03,,,,,,,,,,,
Cupid Dunk,69526976,Monster Card,,"('Cupid',)","('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cupid_Dunk,,2023-01-03 19:03:37,,LIGHT,Effect Monster,,Fairy,4,600,,,,1800
Cupid Fore,35960413,Monster Card,,"('Cupid',)","('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cupid_Fore,,2022-04-20 02:35:21,,LIGHT,Effect Monster,,Fairy,6,600,,,,2200
Cupid Pitch,21915012,Monster Card,,"('Cupid',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cupid_Pitch,,2022-05-05 13:33:54,,LIGHT,Synchro Monster,"('Tuner monster',)",Fairy,4,600,,,,0
Cupid Serve,01566817,Monster Card,,"('Cupid',)","('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cupid_Serve,,2022-05-05 16:43:55,,LIGHT,Effect Monster,,Fairy,2,600,,,,1000
Cupid Volley,11851647,Monster Card,,"('Cupid',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cupid_Volley,,2022-04-20 03:13:05,,LIGHT,Effect Monster,,Fairy,1,600,,,,600
Cure Mermaid,85802526,Monster Card,,,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cure_Mermaid,"('Edited',)",2022-07-12 18:40:23,,WATER,Effect Monster,,Fish,4,800,,,,1500
"Curious, the Lightsworn Dominion",98095162,Monster Card,,"('Lightsworn',)","('Condition', 'Trigger Effect')",Forbidden,Unlimited,"https://yugipedia.com/wiki/Curious,_the_Lightsworn_Dominion",,2021-06-23 04:24:24,,LIGHT,Link Monster,,Warrior,,,,3,"('↙', '↘', '↑')",2400
Curse Necrofear,14509651,Monster Card,,,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_Necrofear,,2022-07-22 00:26:46,,DARK,Effect Monster,,Fiend,8,2200,,,,2800
Curse Reflection Doll,33391067,Spell Card,Quick-Play Spell Card,,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_Reflection_Doll,,2022-11-18 12:13:32,,,,,,,,,,,
Curse of Aging,41398771,Trap Card,Normal Trap Card,,"('Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_of_Aging,,2021-11-07 10:17:18,,,,,,,,,,,
Curse of Anubis,66742250,Trap Card,Normal Trap Card,,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_of_Anubis,,2022-04-29 12:10:25,"('Name',)",,,,,,,,,,
Curse of Aramatir,34690953,Spell Card,Continuous Spell Card,"('Adventurer Token (series)',)","('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_of_Aramatir,,2022-10-23 19:44:18,,,,,,,,,,,
Curse of Darkness,84970821,Trap Card,Continuous Trap Card,,"('Continuous-like Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_of_Darkness,,2020-03-20 11:55:06,,,,,,,,,,,
Curse of Dragon,28279543,Monster Card,,"('Curse of Dragon (series)',)",,Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_of_Dragon,,2022-05-28 23:10:29,"('Name', 'Type')",DARK,Normal Monster,,Dragon,5,1500,,,,2000
"Curse of Dragon, the Cursed Dragon",61525276,Monster Card,,"('Curse of Dragon (series)',)","('Condition', 'Trigger Effect')",Unlimited,Unlimited,"https://yugipedia.com/wiki/Curse_of_Dragon,_the_Cursed_Dragon",,2022-10-29 12:41:05,,DARK,Effect Monster,,Dragon,5,1500,,,,2000
"Curse of Dragon, the Magical Knight Dragon",72064891,Monster Card,,"('Curse of Dragon (series)',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,"https://yugipedia.com/wiki/Curse_of_Dragon,_the_Magical_Knight_Dragon",,2022-08-01 13:02:02,,DARK,Fusion Monster,,Dragon,5,1500,,,,2000
Curse of Dragonfire,07241272,Monster Card,,"('Curse of Dragon (series)',)","('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_of_Dragonfire,,2022-09-23 06:05:19,,DARK,Effect Monster,,Dragon,5,1500,,,,2000
Curse of Fiend,12470447,Spell Card,Normal Spell Card,,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_of_Fiend,,2021-11-07 10:17:47,"('Type',)",,,,,,,,,,
Curse of Royal,02926176,Trap Card,Counter Trap Card,,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_of_Royal,,2021-11-07 10:17:59,,,,,,,,,,,
Curse of the Circle,12863633,Trap Card,Normal Trap Card,,"('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_of_the_Circle,"('Edited',)",2022-09-07 16:07:53,,,,,,,,,,,
Curse of the Masked Beast,94377247,Spell Card,Ritual Spell Card,"('Mask',)","('Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_of_the_Masked_Beast,,2022-09-08 19:44:53,"('Type',)",,,,,,,,,,
Curse of the Shadow Prison,81788994,Spell Card,Field Spell Card,,"('Continuous-like Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Curse_of_the_Shadow_Prison,,2022-07-05 13:56:29,,,,,,,,,,,
Cursed Armaments,98867329,Spell Card,Equip Spell Card,,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cursed_Armaments,,2020-11-16 05:17:24,,,,,,,,,,,
Cursed Bamboo Sword,42199039,Spell Card,Equip Spell Card,"('Bamboo Sword',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cursed_Bamboo_Sword,,2020-05-31 04:41:23,,,,,,,,,,,
Cursed Bill,46967601,Spell Card,Equip Spell Card,,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cursed_Bill,,2022-02-05 08:00:07,,,,,,,,,,,
Cursed Eldland,31434645,Spell Card,Continuous Spell Card,,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Semi-Limited,https://yugipedia.com/wiki/Cursed_Eldland,,2023-02-09 18:14:04,,,,,,,,,,,
Cursed Fig,18489208,Monster Card,,,"('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cursed_Fig,,2021-01-14 13:24:38,,WATER,Effect Monster,,Plant,1,200,,,,200
Cursed Seal of the Forbidden Spell,58851034,Trap Card,Counter Trap Card,,"('Activation condition', 'Cost', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cursed_Seal_of_the_Forbidden_Spell,,2023-01-09 00:49:16,,,,,,,,,,,
Curtain of the Dark Ones,22026707,Monster Card,,,,Unlimited,Unlimited,https://yugipedia.com/wiki/Curtain_of_the_Dark_Ones,,2022-03-05 09:07:14,,DARK,Normal Monster,,Spellcaster,2,500,,,,600
Cyber Angel Benten,77235086,Monster Card,,"('Cyber', 'Cyber Angel', 'Cyber Girl')","('Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Angel_Benten,"('Edited',)",2023-02-18 13:58:13,,LIGHT,Ritual Monster,,Fairy,6,1500,,,,1800
Cyber Angel Dakini,39618799,Monster Card,,"('Cyber', 'Cyber Angel', 'Cyber Girl')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Angel_Dakini,,2022-09-19 19:45:24,,LIGHT,Ritual Monster,,Fairy,8,2400,,,,2700
Cyber Angel Idaten,03629090,Monster Card,,"('Cyber', 'Cyber Angel', 'Cyber Girl')","('Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Angel_Idaten,"('Edited',)",2022-09-06 04:48:18,,LIGHT,Ritual Monster,,Fairy,6,2000,,,,1600
Cyber Angel Izana,91668401,Monster Card,,"('Cyber', 'Cyber Angel', 'Cyber Girl')","('Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Angel_Izana,,2022-09-19 19:37:19,,LIGHT,Ritual Monster,,Fairy,8,2600,,,,2500
Cyber Angel Natasha,99427357,Monster Card,,"('Cyber', 'Cyber Angel', 'Cyber Girl')","('Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Angel_Natasha,,2022-09-19 19:42:38,,LIGHT,Ritual Monster,,Fairy,5,1000,,,,1000
Cyber Angel Vrash,78316184,Monster Card,,"('Cyber', 'Cyber Angel', 'Cyber Girl')","('Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Angel_Vrash,,2022-09-19 19:46:41,,LIGHT,Ritual Monster,,Fairy,10,2000,,,,3000
Cyber Archfiend,59907935,Monster Card,,"('Archfiend', 'Cyber')","('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Archfiend,,2022-04-20 19:53:31,,DARK,Effect Monster,,Fiend,4,2000,,,,1000
Cyber Barrier Dragon,68774379,Monster Card,,"('Cyber',)","('Continuous Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Barrier_Dragon,,2022-11-24 17:56:03,"('Name',)",LIGHT,Effect Monster,,Machine,6,2800,,,,800
Cyber Blader,10248389,Monster Card,,"('Cyber', 'Cyber Girl')","('Condition', 'Continuous Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Blader,"('Edited',)",2022-12-24 14:02:01,"('Type',)",EARTH,Fusion Monster,,Warrior,7,800,,,,2100
Cyber Commander,06400512,Monster Card,,,,,Unlimited,https://yugipedia.com/wiki/Cyber_Commander,,2021-06-22 08:13:27,,DARK,Normal Monster,,Machine,2,700,,,,750
Cyber Dinosaur,39439590,Monster Card,,"('Cyber',)","('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Dinosaur,,2021-04-09 17:09:37,,LIGHT,Effect Monster,,Machine,7,1900,,,,2500
Cyber Dragon,70095154,Monster Card,,"('Cyber', 'Cyber Dragon (archetype)')","('Unclassified effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Dragon,"('Alternate',)",2023-01-03 18:50:15,"('Type',)",LIGHT,Effect Monster,,Machine,5,1600,,,,2100
Cyber Dragon Core,23893227,Monster Card,,"('Cyber', 'Cyber Dragon (archetype)')","('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Dragon_Core,,2023-02-14 17:24:48,,LIGHT,Effect Monster,,Machine,2,1500,,,,400
Cyber Dragon Drei,59281922,Monster Card,,"('Cyber', 'Cyber Dragon (archetype)')","('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Dragon_Drei,,2023-02-14 17:25:46,,LIGHT,Effect Monster,,Machine,4,800,,,,1800
Cyber Dragon Herz,56364287,Monster Card,,"('Cyber', 'Cyber Dragon (archetype)')","('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Dragon_Herz,,2022-06-22 01:36:37,,LIGHT,Effect Monster,,Machine,1,100,,,,100
Cyber Dragon Infinity,10443957,Monster Card,,"('Cyber', 'Cyber Dragon (archetype)')","('Continuous Effect', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Dragon_Infinity,"('Alternate',)",2022-10-29 14:35:16,,LIGHT,Xyz Monster,,Machine,6,1600,,,,2100
Cyber Dragon Nachster,01142880,Monster Card,,"('Cyber', 'Cyber Dragon (archetype)')","('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Dragon_Nachster,,2023-02-14 18:07:12,,LIGHT,Effect Monster,,Machine,1,200,,,,200
Cyber Dragon Nova,58069384,Monster Card,,"('Cyber', 'Cyber Dragon (archetype)')","('Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Dragon_Nova,,2023-02-17 14:51:51,,LIGHT,Xyz Monster,,Machine,5,1600,,,,2100
Cyber Dragon Sieger,46724542,Monster Card,,"('Cyber', 'Cyber Dragon (archetype)')","('Condition', 'Quick Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Dragon_Sieger,,2021-08-09 11:21:18,,LIGHT,Link Monster,,Machine,,,,2,"('↓', '←')",2100
Cyber Dragon Vier,29975188,Monster Card,,"('Cyber', 'Cyber Dragon (archetype)')","('Condition', 'Continuous Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Dragon_Vier,,2021-12-10 17:16:35,,LIGHT,Effect Monster,,Machine,4,1600,,,,1100
Cyber Dragon Zwei,05373478,Monster Card,,"('Cyber', 'Cyber Dragon (archetype)')","('Continuous Effect', 'Ignition Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Dragon_Zwei,,2023-02-14 17:26:30,,LIGHT,Effect Monster,,Machine,4,1000,,,,1500
Cyber Egg Angel,28053106,Monster Card,,"('Cyber', 'Field Searcher')","('Condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Egg_Angel,,2022-09-19 19:38:54,,LIGHT,Effect Monster,,Fairy,2,300,,,,200
Cyber Eltanin,33093439,Monster Card,,"('Cyber',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Eltanin,,2021-07-10 13:43:51,,LIGHT,Effect Monster,,Machine,10,?,,,,?
Cyber Emergency,60600126,Spell Card,Normal Spell Card,"('Cyber',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Emergency,,2021-10-13 23:59:21,,,,,,,,,,,
Cyber End Dragon,01546123,Monster Card,,"('Cyber',)","('Continuous Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_End_Dragon,"('Alternate',)",2022-10-29 14:22:12,"('Name', 'Type')",LIGHT,Fusion Monster,,Machine,10,2800,,,,4000
Cyber Energy Shock,38265153,Spell Card,Quick-Play Spell Card,"('Cyber', 'Signature move')","('Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Energy_Shock,,2020-09-26 16:26:54,,,,,,,,,,,
Cyber Esper,91663373,Monster Card,,"('Cyber',)","('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Esper,,2022-04-20 19:53:49,,FIRE,Effect Monster,,Machine,4,1800,,,,1200
Cyber Eternal,32768230,Spell Card,Quick-Play Spell Card,"('Cyber',)","('Condition', 'Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Eternal,,2021-10-13 23:59:55,,,,,,,,,,,
Cyber Eternity Dragon,82315403,Monster Card,,"('Cyber',)","('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Eternity_Dragon,,2022-08-14 10:21:52,,LIGHT,Fusion Monster,,Machine,10,4000,,,,2800
Cyber Falcon,30655537,Monster Card,,,,Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Falcon,,2021-11-07 10:19:43,,WIND,Normal Monster,,Machine,4,1200,,,,1400
Cyber Gymnast,76763417,Monster Card,,"('Cyber', 'Cyber Girl')","('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Gymnast,,2022-04-20 02:31:21,,EARTH,Effect Monster,,Warrior,4,1800,,,,800
Cyber Harpie Lady,80316585,Monster Card,,"('Cyber', 'Harpie')","('Condition',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Harpie_Lady,"('Edited',)",2023-02-15 23:38:17,,WIND,Effect Monster,,Winged Beast,4,1300,,,,1800
Cyber Jar,34124316,Monster Card,,"('Cyber', 'Jar')","('Flip effect',)",Limited,Forbidden,https://yugipedia.com/wiki/Cyber_Jar,,2022-06-26 17:28:05,,DARK,Effect Monster,"('Flip monster',)",Rock,3,900,,,,900
Cyber Kirin,76986005,Monster Card,,"('Cyber',)","('Ignition Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Kirin,,2020-11-16 05:30:05,,LIGHT,Effect Monster,,Machine,3,800,,,,300
Cyber Larva,35050257,Monster Card,,"('Cyber',)","('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Larva,,2023-02-14 17:31:33,,LIGHT,Effect Monster,,Machine,1,600,,,,400
Cyber Laser Dragon,04162088,Monster Card,,"('Cyber',)","('Ignition Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Laser_Dragon,,2022-08-25 12:33:51,"('Name',)",LIGHT,Effect Monster,,Machine,7,1800,,,,2400
Cyber Network,12670770,Trap Card,Continuous Trap Card,"('Cyber',)","('Condition', 'Quick-like Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Network,,2023-02-14 17:54:58,,,,,,,,,,,
Cyber Ogre,64268668,Monster Card,,"('Cyber',)","('Quick Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Ogre,,2022-02-05 08:03:46,,EARTH,Effect Monster,,Machine,5,1200,,,,1900
Cyber Ogre 2,37057012,Monster Card,,"('Cyber',)","('Continuous Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Ogre_2,,2020-03-13 18:12:27,,EARTH,Fusion Monster,,Machine,7,1900,,,,2600
Cyber Ouroboros,30042158,Monster Card,,"('Cyber',)","('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Ouroboros,,2021-11-07 10:20:30,,DARK,Effect Monster,,Machine,2,600,,,,100
Cyber Petit Angel,76103404,Monster Card,,"('Cyber',)","('Condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Petit_Angel,,2022-08-30 12:38:48,"('Name',)",LIGHT,Effect Monster,,Fairy,2,200,,,,300
Cyber Pharos,29719112,Monster Card,,"('Cyber',)","('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Pharos,,2022-04-18 12:55:45,,LIGHT,Effect Monster,,Machine,1,2100,,,,0
Cyber Phoenix,03370104,Monster Card,,"('Cyber',)","('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Phoenix,,2023-02-14 17:32:23,,FIRE,Effect Monster,,Machine,4,1600,,,,1200
Cyber Prima,02158562,Monster Card,,"('Cyber', 'Cyber Girl')","('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Prima,,2022-04-20 11:23:57,,LIGHT,Effect Monster,,Warrior,6,1600,,,,2300
Cyber Raider,39978267,Monster Card,,"('Cyber',)","('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Raider,,2022-04-20 19:54:11,"('Name',)",DARK,Effect Monster,,Machine,4,1000,,,,1400
Cyber Repair Plant,86686671,Spell Card,Normal Spell Card,"('Cyber',)","('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Repair_Plant,,2023-02-14 17:46:37,,,,,,,,,,,
Cyber Revsystem,33041277,Spell Card,Normal Spell Card,"('Cyber',)","('Effect', 'Lingering effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Revsystem,,2022-11-02 12:45:46,,,,,,,,,,,
Cyber Saurus,89112729,Monster Card,,,,Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Saurus,"('Edited',)",2022-10-22 10:56:39,,EARTH,Fusion Monster,,Machine,5,1400,,,,1800
Cyber Shadow Gardna,90440725,Trap Card,Continuous Trap Card,"('Cyber', 'Trap Monster')","('Activation condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Shadow_Gardna,,2022-07-24 09:37:22,,,,,,,,,,,
Cyber Shark,32393580,Monster Card,,"('Cyber',)","('Unclassified effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Shark,,2022-06-16 17:20:31,,WATER,Effect Monster,,Fish,5,2000,,,,2100
Cyber Shield,63224564,Spell Card,Equip Spell Card,"('Cyber',)","('Condition', 'Continuous-like Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Shield,,2022-04-20 02:29:21,"('Type',)",,,,,,,,,,
Cyber Slash Harpie Lady,63261835,Monster Card,,"('Harpie', 'Signature move')","('Condition', 'Quick Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Slash_Harpie_Lady,"('Edited',)",2023-02-16 00:05:51,,WIND,Synchro Monster,,Winged Beast,8,1400,,,,2600
Cyber Soldier,44865098,Monster Card,,,,,Unlimited,https://yugipedia.com/wiki/Cyber_Soldier,,2022-01-15 16:19:18,,DARK,Normal Monster,,Machine,5,1700,,,,1500
Cyber Soldier of Darkworld,75559356,Monster Card,,,,Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Soldier_of_Darkworld,,2021-11-07 10:21:04,"('Name',)",DARK,Normal Monster,,Machine,4,1200,,,,1400
Cyber Summon Blaster,63477921,Trap Card,Continuous Trap Card,"('Cyber',)","('Trigger Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Summon_Blaster,,2020-06-11 13:45:20,,,,,,,,,,,
Cyber Tutu,49375719,Monster Card,,"('Cyber', 'Cyber Girl')","('Continuous Effect',)",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Tutu,,2022-04-20 12:43:17,,EARTH,Effect Monster,,Warrior,3,800,,,,1000
Cyber Tutubon,42600274,Monster Card,,"('Cyber', 'Cyber Girl')","('Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Tutubon,,2022-09-27 16:45:45,,EARTH,Effect Monster,,Warrior,5,1600,,,,1800
Cyber Twin Dragon,74157028,Monster Card,,"('Cyber',)","('Continuous Effect', 'Summoning condition')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Twin_Dragon,,2023-02-14 18:03:21,"('Name', 'Type')",LIGHT,Fusion Monster,,Machine,8,2100,,,,2800
Cyber Valley,03657444,Monster Card,,"('Cyber',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber_Valley,,2023-02-14 17:30:19,,LIGHT,Effect Monster,,Machine,1,0,,,,0
Cyber-Stein,69015963,Monster Card,,,"('Condition', 'Ignition Effect')",Limited,Limited,https://yugipedia.com/wiki/Cyber-Stein,,2022-12-21 02:20:37,"('Type',)",DARK,Effect Monster,,Machine,2,500,,,,700
Cyber-Tech Alligator,48766543,Monster Card,,,,Unlimited,Unlimited,https://yugipedia.com/wiki/Cyber-Tech_Alligator,,2022-05-20 20:46:10,"('Name',)",WIND,Normal Monster,,Machine,5,1600,,,,2500
Cyberdark Cannon,45078193,Monster Card,,"('Cyber', 'Cyberdark')","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyberdark_Cannon,,2021-10-14 00:05:14,,DARK,Effect Monster,,Dragon,3,800,,,,1600
Cyberdark Chimera,05370235,Monster Card,,"('Cyber', 'Cyberdark')","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyberdark_Chimera,,2022-07-05 14:00:41,,DARK,Effect Monster,,Machine,4,2100,,,,800
Cyberdark Claw,82562802,Monster Card,,"('Cyber', 'Cyberdark')","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyberdark_Claw,,2022-03-19 20:44:40,,DARK,Effect Monster,,Dragon,3,800,,,,1600
Cyberdark Dragon,40418351,Monster Card,,"('Cyber', 'Cyberdark')","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,https://yugipedia.com/wiki/Cyberdark_Dragon,,2022-04-24 04:16:46,,DARK,Fusion Monster,,Machine,8,1000,,,,1000
