Card number,Set,Rarity,Region,Release,Series,Set type,Cover card,Page URL,Modification date,Version
BE01-JP021,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP021,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP022,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP022,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP023,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP023,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP024,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP024,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP025,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP025,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP026,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP026,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP027,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP027,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP028,Beginner's Edition 1,"('Ultra Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP028,Beginner's Edition 1 (2011),"('Ultra Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP029,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP029,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP030,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP030,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP031,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP031,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP032,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP032,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP033,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP033,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP034,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP034,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP035,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP035,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP036,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP036,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP037,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP037,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP038,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP038,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP039,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP039,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP040,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP040,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP041,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP041,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP042,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP042,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP043,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP043,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP044,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP044,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP045,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP045,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP046,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP046,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP047,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP047,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP048,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP048,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP049,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP049,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP050,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP050,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP051,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP051,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP052,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP052,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP053,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP053,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP054,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP054,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP055,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP055,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP056,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP056,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP057,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP057,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP058,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP058,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP059,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP059,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP060,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP060,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP061,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP061,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP062,Beginner's Edition 1,"('Ultra Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP062,Beginner's Edition 1 (2011),"('Ultra Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP063,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP063,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP064,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP064,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP065,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP065,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP066,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP066,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP067,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP067,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP068,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP068,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP069,Beginner's Edition 1,"('Ultra Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP069,Beginner's Edition 1 (2011),"('Ultra Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP070,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP070,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP071,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP071,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP072,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP072,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP073,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP073,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP074,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP074,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP075,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP075,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP076,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP076,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP077,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP077,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP078,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP078,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP079,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP079,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP080,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
