Name,Password,Archseries,Effect type,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Version
Snake-Eyes Flamberge Dragon,48452496,"('-Eyes Dragon', 'Snake-Eye')","('Condition', 'Ignition Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,Snake-Eyes Flamberge Dragon,https://yugipedia.com/wiki/Snake-Eyes_Flamberge_Dragon,,2023-07-23 08:29:15,,New
Soul of the Supreme Celestial King,,"('Supreme King',)","('Condition', 'Effect')",Not yet released,Soul of the Supreme Celestial King,https://yugipedia.com/wiki/Soul_of_the_Supreme_Celestial_King,,2023-06-17 19:07:43,,Old
Soul of the Supreme Celestial King,76840111,"('Supreme King',)","('Condition', 'Effect')",Unlimited,Soul of the Supreme Celestial King,https://yugipedia.com/wiki/Soul_of_the_Supreme_Celestial_King,,2023-07-22 15:58:14,,New
Stellar Nemesis T-PHON - Doomsday Star,93039339,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,Stellar Nemesis T-PHON - Doomsday Star,https://yugipedia.com/wiki/Stellar_Nemesis_T-PHON_-_Doomsday_Star,,2023-07-22 01:47:28,,New
Supreme Celestial King Odd-Eyes Arc-Ray Dragon,,"('-Eyes Dragon', 'Odd-Eyes', 'Supreme King')","('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Supreme Celestial King Odd-Eyes Arc-Ray Dragon,https://yugipedia.com/wiki/Supreme_Celestial_King_Odd-Eyes_Arc-Ray_Dragon,,2023-06-27 20:02:41,,Old
Supreme Celestial King Odd-Eyes Arc-Ray Dragon,06218704,"('-Eyes Dragon', 'Supreme King')","('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Supreme Celestial King Odd-Eyes Arc-Ray Dragon,https://yugipedia.com/wiki/Supreme_Celestial_King_Odd-Eyes_Arc-Ray_Dragon,,2023-07-22 16:22:58,,New
Supreme King Dragon Lightwurm,,"('Supreme King', 'Supreme King Dragon')","('Condition', 'Trigger Effect')",Not yet released,Supreme King Dragon Lightwurm,https://yugipedia.com/wiki/Supreme_King_Dragon_Lightwurm,,2023-06-17 19:08:10,,Old
Supreme King Dragon Lightwurm,41908872,"('Supreme King', 'Supreme King Dragon')","('Condition', 'Trigger Effect')",Unlimited,Supreme King Dragon Lightwurm,https://yugipedia.com/wiki/Supreme_King_Dragon_Lightwurm,,2023-07-22 06:53:52,,New
Supreme King Gate Magician,,"('Magician', 'Supreme King', 'Supreme King Gate')","('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,Supreme King Gate Magician,https://yugipedia.com/wiki/Supreme_King_Gate_Magician,,2023-06-25 20:43:28,,Old
Supreme King Gate Magician,14513273,"('Magician', 'Supreme King', 'Supreme King Gate')","('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Supreme King Gate Magician,https://yugipedia.com/wiki/Supreme_King_Gate_Magician,,2023-07-22 00:30:36,,New
Synch Blast Wave,35537860,,"('Activation condition', 'Effect')",Unlimited,Synch Blast Wave,https://yugipedia.com/wiki/Synch_Blast_Wave,,2023-07-19 08:19:32,"('Name',)",New
Synch Realm,61032879,,"('Trigger Effect',)",Unlimited,Synch Realm,https://yugipedia.com/wiki/Synch_Realm,,2023-07-19 08:15:28,"('Name',)",New
Synchro Blast Wave,35537860,,"('Activation condition', 'Effect')",Unlimited,Synchro Blast Wave,https://yugipedia.com/wiki/Synchro_Blast_Wave,,2023-04-19 12:55:26,"('Any',)",Old
Synchro Rumble,,"('Synchro (archetype)',)","('Condition', 'Effect', 'Unclassified effect')",Not yet released,Synchro Rumble,https://yugipedia.com/wiki/Synchro_Rumble,,2023-07-14 14:22:03,,Old
Synchro Rumble,88901994,"('Synchro (archetype)',)","('Condition', 'Effect', 'Unclassified effect')",Unlimited,Synchro Rumble,https://yugipedia.com/wiki/Synchro_Rumble,,2023-07-22 15:43:45,,New
Synchronized Realm,61032879,,"('Trigger Effect',)",Unlimited,Synchronized Realm,https://yugipedia.com/wiki/Synchronized_Realm,,2023-04-19 12:32:09,,Old
T.G. - All Clear,,"('T.G.',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Not yet released,T.G. - All Clear,https://yugipedia.com/wiki/T.G._-_All_Clear,,2023-07-14 15:02:31,,Old
T.G. - All Clear,54573517,"('T.G.',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,T.G. - All Clear,https://yugipedia.com/wiki/T.G._-_All_Clear,,2023-07-22 16:02:06,,New
T.G. - Break Limiter,,"('T.G.',)","('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,T.G. - Break Limiter,https://yugipedia.com/wiki/T.G._-_Break_Limiter,,2023-07-14 14:58:27,,Old
T.G. - Break Limiter,28189908,"('T.G.',)","('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,T.G. - Break Limiter,https://yugipedia.com/wiki/T.G._-_Break_Limiter,,2023-07-22 15:25:57,,New
T.G. - Close,,"('T.G.',)","('Condition', 'Effect', 'Trigger Effect')",Not yet released,T.G. - Close,https://yugipedia.com/wiki/T.G._-_Close,,2023-07-14 15:06:20,,Old
T.G. - Close,02339825,"('T.G.',)","('Condition', 'Effect', 'Trigger Effect')",Unlimited,T.G. - Close,https://yugipedia.com/wiki/T.G._-_Close,,2023-07-22 16:01:10,,New
T.G. Glaive Blaster,,"('T.G.',)","('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,T.G. Glaive Blaster,https://yugipedia.com/wiki/T.G._Glaive_Blaster,,2023-07-14 14:52:43,,Old
T.G. Glaive Blaster,95973569,"('T.G.',)","('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,T.G. Glaive Blaster,https://yugipedia.com/wiki/T.G._Glaive_Blaster,,2023-07-22 06:54:49,,New
T.G. Mighty Striker,,"('T.G.',)","('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,T.G. Mighty Striker,https://yugipedia.com/wiki/T.G._Mighty_Striker,,2023-07-14 14:38:25,,Old
T.G. Mighty Striker,32480825,"('T.G.',)","('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,T.G. Mighty Striker,https://yugipedia.com/wiki/T.G._Mighty_Striker,,2023-07-22 01:30:10,,New
T.G. Over Dragner,,"('T.G.',)","('Condition', 'Trigger Effect')",Not yet released,T.G. Over Dragner,https://yugipedia.com/wiki/T.G._Over_Dragner,,2023-07-14 14:46:17,,Old
T.G. Over Dragner,68989420,"('T.G.',)","('Condition', 'Trigger Effect')",Unlimited,T.G. Over Dragner,https://yugipedia.com/wiki/T.G._Over_Dragner,,2023-07-22 01:32:09,,New
T.G. Rocket Salamander,,"('T.G.',)","('Condition', 'Ignition Effect')",Not yet released,T.G. Rocket Salamander,https://yugipedia.com/wiki/T.G._Rocket_Salamander,,2023-07-14 14:29:05,,Old
T.G. Rocket Salamander,77392987,"('T.G.',)","('Condition', 'Ignition Effect')",Unlimited,T.G. Rocket Salamander,https://yugipedia.com/wiki/T.G._Rocket_Salamander,,2023-07-22 00:34:55,,New
Tao the Great Chanter,34541543,,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Tao the Great Chanter,https://yugipedia.com/wiki/Tao_the_Great_Chanter,,2023-07-22 01:10:28,,New
Tarai,08152834,,"('Condition', 'Ignition Effect')",Unlimited,Tarai,https://yugipedia.com/wiki/Tarai,,2023-07-22 01:09:21,,New
The Glaring Ruler Snake-Eyes,,"('Snake-Eye',)","('Condition', 'Effect')",Not yet released,The Glaring Ruler Snake-Eyes,https://yugipedia.com/wiki/The_Glaring_Ruler_Snake-Eyes,,2023-07-06 14:11:05,,Old
The Glaring Ruler Snake-Eyes,74906081,"('Snake-Eye',)","('Condition', 'Effect')",Unlimited,The Glaring Ruler Snake-Eyes,https://yugipedia.com/wiki/The_Glaring_Ruler_Snake-Eyes,,2023-07-22 16:08:48,,New
The Himorogi where Stars Align,,,"('Ignition-like Effect', 'Trigger Effect')",Not yet released,The Himorogi where Stars Align,https://yugipedia.com/wiki/The_Himorogi_where_Stars_Align,,2023-07-07 18:03:11,,Old
The Himorogi where Stars Align,15306543,,"('Ignition-like Effect', 'Trigger Effect')",Unlimited,The Himorogi where Stars Align,https://yugipedia.com/wiki/The_Himorogi_where_Stars_Align,,2023-07-22 15:45:15,,New
The Light-Winged Dragon,,,"('Condition', 'Effect')",Not yet released,The Light-Winged Dragon,https://yugipedia.com/wiki/The_Light-Winged_Dragon,,2023-06-17 19:06:35,,Old
The Light-Winged Dragon,82190203,,"('Condition', 'Effect')",Unlimited,The Light-Winged Dragon,https://yugipedia.com/wiki/The_Light-Winged_Dragon,,2023-07-22 15:22:31,,New
The Original Sinful Spoils - Snake-Eye,,"('Sinful Spoils', 'Snake-Eye')","('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,The Original Sinful Spoils - Snake-Eye,https://yugipedia.com/wiki/The_Original_Sinful_Spoils_-_Snake-Eye,,2023-07-14 13:35:13,,Old
The Original Sinful Spoils - Snake-Eye,89023486,"('Sinful Spoils', 'Snake-Eye')","('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,The Original Sinful Spoils - Snake-Eye,https://yugipedia.com/wiki/The_Original_Sinful_Spoils_-_Snake-Eye,,2023-07-22 15:39:49,,New
The Shrine of Serpentine Sight - Snake-Eye,,"('Snake-Eye',)","('Condition', 'Continuous-like Effect', 'Effect', 'Trigger Effect')",Not yet released,The Shrine of Serpentine Sight - Snake-Eye,https://yugipedia.com/wiki/The_Shrine_of_Serpentine_Sight_-_Snake-Eye,,2023-07-06 13:56:51,,Old
The Shrine of Serpentine Sight - Snake-Eye,53639887,"('Snake-Eye',)","('Condition', 'Continuous-like Effect', 'Effect', 'Trigger Effect')",Unlimited,The Shrine of Serpentine Sight - Snake-Eye,https://yugipedia.com/wiki/The_Shrine_of_Serpentine_Sight_-_Snake-Eye,,2023-07-22 15:37:34,,New
Transcendosaurus Exaraptor,,"('Transcendosaurus',)","('Condition', 'Trigger Effect')",Not yet released,Transcendosaurus Exaraptor,https://yugipedia.com/wiki/Transcendosaurus_Exaraptor,,2023-07-15 11:17:49,,Old
Transcendosaurus Exaraptor,56818742,"('Transcendosaurus',)","('Condition', 'Trigger Effect')",Unlimited,Transcendosaurus Exaraptor,https://yugipedia.com/wiki/Transcendosaurus_Exaraptor,,2023-07-22 01:50:11,,New
UFOLight,09275482,,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,UFOLight,https://yugipedia.com/wiki/UFOLight,,2023-07-22 07:25:02,,New
Unchained Abomination,29479265,"('Unchained',)","('Condition', 'Trigger Effect')",Unlimited,Unchained Abomination,https://yugipedia.com/wiki/Unchained_Abomination,,2023-04-15 16:10:46,,Old
Unchained Abomination,29479265,"('Unchained',)","('Condition', 'Trigger Effect')",Unlimited,Unchained Abomination,https://yugipedia.com/wiki/Unchained_Abomination,,2023-07-19 10:39:40,"('Any',)",New
Vanquish Soul Jiaolong,,"('Vanquish Soul',)","('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,Vanquish Soul Jiaolong,https://yugipedia.com/wiki/Vanquish_Soul_Jiaolong,,2023-06-14 01:26:40,,Old
Vanquish Soul Jiaolong,09091064,"('Vanquish Soul',)","('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Vanquish Soul Jiaolong,https://yugipedia.com/wiki/Vanquish_Soul_Jiaolong,,2023-07-22 06:56:38,,New
Vanquish Soul Snow Devil,,"('Vanquish Soul',)","('Condition', 'Effect')",Not yet released,Vanquish Soul Snow Devil,https://yugipedia.com/wiki/Vanquish_Soul_Snow_Devil,,2023-06-14 01:30:45,,Old
Vanquish Soul Snow Devil,60883493,"('Vanquish Soul',)","('Condition', 'Effect')",Unlimited,Vanquish Soul Snow Devil,https://yugipedia.com/wiki/Vanquish_Soul_Snow_Devil,,2023-07-22 16:13:37,,New
Veda Upanishad,,"('Veda',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Veda Upanishad,https://yugipedia.com/wiki/Veda_Upanishad,,2023-06-14 14:16:04,,Old
Veda Upanishad,40785230,"('Veda',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Veda Upanishad,https://yugipedia.com/wiki/Veda_Upanishad,,2023-07-22 06:57:25,,New
Visas Samsara,,"('Visas',)","('Condition', 'Ignition Effect', 'Unclassified effect')",Not yet released,Visas Samsara,https://yugipedia.com/wiki/Visas_Samsara,,2023-06-22 05:38:06,,Old
Visas Samsara,14391625,"('Visas',)","('Condition', 'Ignition Effect', 'Unclassified effect')",Unlimited,Visas Samsara,https://yugipedia.com/wiki/Visas_Samsara,,2023-07-22 00:36:25,,New
Wattaurus,,"('Watt',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,Wattaurus,https://yugipedia.com/wiki/Wattaurus,,2023-06-16 13:22:44,,Old
Wattaurus,67752972,"('Watt',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Wattaurus,https://yugipedia.com/wiki/Wattaurus,,2023-07-22 01:38:16,,New
Wattkingdom,,"('Watt',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Not yet released,Wattkingdom,https://yugipedia.com/wiki/Wattkingdom,,2023-06-16 13:24:56,,Old
Wattkingdom,41790641,"('Watt',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Unlimited,Wattkingdom,https://yugipedia.com/wiki/Wattkingdom,,2023-07-22 15:47:06,,New
Wattuna,,"('Watt',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Not yet released,Wattuna,https://yugipedia.com/wiki/Wattuna,,2023-06-16 13:13:27,,Old
Wattuna,10113611,"('Watt',)","('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Wattuna,https://yugipedia.com/wiki/Wattuna,,2023-07-22 00:54:12,,New
XYZ Hyper Cannon,21723081,"('Signature move',)","('Activation condition', 'Condition', 'Effect')",Unlimited,XYZ Hyper Cannon,https://yugipedia.com/wiki/XYZ_Hyper_Cannon,"('Edited',)",2023-06-21 01:39:35,,Old
XYZ Hyper Cannon,21723081,"('Signature move',)","('Condition', 'Quick-like Effect')",Unlimited,XYZ Hyper Cannon,https://yugipedia.com/wiki/XYZ_Hyper_Cannon,"('Edited',)",2023-07-20 13:09:18,,New
Xyz Armor Fortress,,"('Xyz (archetype)',)","('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Summoning condition')",Not yet released,Xyz Armor Fortress,https://yugipedia.com/wiki/Xyz_Armor_Fortress,,2023-07-13 16:10:02,,Old
Xyz Armor Fortress,20145685,"('Xyz (archetype)',)","('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,Xyz Armor Fortress,https://yugipedia.com/wiki/Xyz_Armor_Fortress,,2023-07-22 01:43:45,,New
Xyz Armor Torpedo,,"('Xyz (archetype)',)","('Condition', 'Continuous Effect', 'Continuous-like Effect', 'Ignition Effect')",Not yet released,Xyz Armor Torpedo,https://yugipedia.com/wiki/Xyz_Armor_Torpedo,,2023-07-13 16:05:37,,Old
Xyz Armor Torpedo,94151981,"('Xyz (archetype)',)","('Condition', 'Continuous Effect', 'Continuous-like Effect', 'Ignition Effect')",Unlimited,Xyz Armor Torpedo,https://yugipedia.com/wiki/Xyz_Armor_Torpedo,,2023-07-22 01:41:17,,New
Xyz Entrust,,"('Xyz (archetype)',)","('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,Xyz Entrust,https://yugipedia.com/wiki/Xyz_Entrust,,2023-07-13 16:39:31,,Old
Xyz Entrust,81978611,"('Xyz (archetype)',)","('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Xyz Entrust,https://yugipedia.com/wiki/Xyz_Entrust,,2023-07-22 15:29:25,,New
