Card number,Name,Rarity,Print,Modification date,Release,Cover card,Version
CL03-SC129,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC130,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC130,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC131,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC131,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC132,Babycerasaurus,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC132,Babycerasaurus,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC133,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC133,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC134,Miscellaneousaurus,"('Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC134,Miscellaneousaurus,"('Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC135,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC135,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC136,Ultimate Conductor Tyranno,"('Prismatic Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC136,Ultimate Conductor Tyranno,"('Prismatic Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC137,Souleating Oviraptor,"('Prismatic Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC137,Souleating Oviraptor,"('Prismatic Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC138,Overtex Qoatlus,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC138,Overtex Qoatlus,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC139,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC139,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC140,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC140,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC141,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC141,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC142,Fossil Dig,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC142,Fossil Dig,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC143,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC143,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC144,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC144,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC145,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC145,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC146,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC146,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC147,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC147,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC148,Evolzar Laggia,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC148,Evolzar Laggia,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC149,Evolzar Dolkka,"('Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC149,Evolzar Dolkka,"('Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC150,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC150,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC151,Scrap Chimera,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC151,Scrap Chimera,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC152,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC152,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC153,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC153,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC154,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC154,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC155,Scrap Golem,"('Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC155,Scrap Golem,"('Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC156,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC156,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC157,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC157,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC158,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC158,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC159,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC159,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC160,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC160,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC161,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC161,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC162,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC162,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC163,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC163,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC164,Scrap Dragon,"('Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC164,Scrap Dragon,"('Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC165,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC165,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC166,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC166,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC167,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC167,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC168,Scrap Wyvern,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC168,Scrap Wyvern,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC169,Scrapyard,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC169,Scrapyard,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC170,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC170,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC171,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC171,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC172,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC172,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC173,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC173,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC174,Scrap Factory,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC174,Scrap Factory,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC175,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC175,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC176,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC176,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC177,Aleister the Invoker,"('Prismatic Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC177,Aleister the Invoker,"('Prismatic Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC178,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC178,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC179,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC179,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC180,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC180,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC181,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC181,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC182,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC182,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC183,Invoked Mechaba,"('Prismatic Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC183,Invoked Mechaba,"('Prismatic Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC184,Invoked Elysium,"('Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC184,Invoked Elysium,"('Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC185,Invoked Augoeides,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC185,Invoked Augoeides,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC186,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC186,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC187,Magical Meltdown,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC187,Magical Meltdown,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC188,Invocation,"('Super Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC188,Invocation,"('Super Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC189,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC189,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC190,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC190,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
DBWS-JP045,,,Reprint,2023-02-16 14:06:21,2023-03-18,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul - Kaiser Varius')",Old
DBWS-JP045,Preparation of Rites,,Reprint,2023-02-22 12:40:55,2023-03-18,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul - Kaiser Varius')",New
LART-EN055,Traptrix Allomerus,"('Ultra Rare',)",,2023-02-15 09:23:43,2023-02-15,,Old
LART-EN055,Traptrix Allomerus,"('Ultra Rare',)",,2023-02-15 09:23:43,2023-02-01,,New
MAZE-EN0??,Mekk-Knight Crusadia Avramax,,Reprint,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Spellbook of Fate,,Reprint,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Teardrop the Rikka Queen,,Reprint,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Wind-Up Kitten,,Reprint,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Red-Eyes Soul,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Duel Academy,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Wake Up Your Elemental HERO,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Evolution End Burst,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,"On Your Mark, Get Set, DUEL!",,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Time to Stand Up,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,This Creepy Little Punk,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Accel Synchro Stardust Dragon,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Performapal Duelist Extraordinaire,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Overlay Network,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Number 39: Utopia Rising,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Barian Untopia,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Saga of the Dragon Emperor,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Kahyoreigetsu,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Battle Royal Mode - Joining,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Soul of the Supreme King,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Firewall Dragon Darkfluid - Neo Tempest Terahertz,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Angel of Blue Tears,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Forge a New Future,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Guardian Chimera,,Reprint,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Baronne de Fleur,,Reprint,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Black Luster Soldier - Legendary Swordsman,,New,2022-12-09 02:16:30,2023-03-09,,Old
MAZE-EN0??,Overlay Network,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Kahyoreigetsu,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Saga of the Dragon Emperor,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Barian Untopia,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Black Luster Soldier - Legendary Swordsman,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Red-Eyes Soul,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Duel Academy,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Wake Up Your Elemental HERO,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,"On Your Mark, Get Set, DUEL!",,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Time to Stand Up,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,This Creepy Little Punk,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Accel Synchro Stardust Dragon,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Performapal Duelist Extraordinaire,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Number 39: Utopia Rising,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Evolution End Burst,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Spellbook of Fate,,Reprint,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Soul of the Supreme King,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Mekk-Knight Crusadia Avramax,,Reprint,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Teardrop the Rikka Queen,,Reprint,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Baronne de Fleur,,Reprint,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Guardian Chimera,,Reprint,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Wind-Up Kitten,,Reprint,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Forge a New Future,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Angel of Blue Tears,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Firewall Dragon Darkfluid - Neo Tempest Terahertz,,New,2023-02-22 12:16:10,2023-03-09,,New
MAZE-EN0??,Battle Royal Mode - Joining,,New,2023-02-22 12:16:10,2023-03-09,,New
RD/ORP1-KR001,Blue-Eyes White Dragon,"('Over Rush Rare',)",New artwork,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR002,Galactica Oblivion,"('Over Rush Rare',)",Reprint,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR003,Sevens Road Magician,"('Over Rush Rare',)",New artwork,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR004,Supreme Machine Magnum Overlord,"('Over Rush Rare',)",Reprint,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR005,Supreme Machine Magnum Overlord,"('Over Rush Rare',)",Reprint,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR006,Supreme Machine Magnum Overlord,"('Over Rush Rare',)",Reprint,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR007,Doomblaze Fiend Overlord Despairacion,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR008,Doomblaze Fiend Overlord Despairacion,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR009,Doomblaze Fiend Overlord Despairacion,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR010,Blaze Fiend Overlords Beelucitaroth,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR011,Blaze Fiend Overlords Beelucitaroth,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR012,Blaze Fiend Overlords Beelucitaroth,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR013,Guide of the Blaze Fiends,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR014,Rage Serpent of the Blaze Fiends,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR015,Return of the Blaze Fiends,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR016,Corruption of the Blaze Fiends,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR017,Resurrection of the Blaze Fiends,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR018,Doomblaze Despair,"('Ultra Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR019,Cyber End Dragon,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR020,Cyber Twin Dragon,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR021,Cyber Rush Dragon,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR022,Cyber Assault Dragon,"('Super Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR023,Cyber Stealth Dragon,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR024,Cyber Dragon,"('Ultra Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR025,Cyber Gryphon,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR026,Proto-Cyber Dragon,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR027,Cyber Serpent,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR028,Evolution Rush Burst,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR029,Cyber Entry,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR030,Multiple Adapter Unit,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR031,Excutie Lumiere,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR032,Excutie Leir,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR033,Excutie Floa,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR034,Excutie Lilius,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR035,Excutie Lucy,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR036,Excutie Ram,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR037,Excutie Prouty,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR038,Excutie Scout!,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR039,Excutie Scramble!,"('Ultra Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR040,Excutie Emergency!,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR041,Excutie Catch!,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR042,Excutie Break!,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR043,Galactiara Eve,"('Ultra Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR044,Jointech Stegosilos,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR045,H.D.D. - Hundred Divine Dragon,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR046,Finalize Phoenix,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR047,Voidvelgr Apocalypse,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR048,Dark Prophet,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR049,Destroyer of Dragon Sorcerers,"('Ultra Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR050,Ultimate Flag Beast Lead Unicorn,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR051,Double Twin Dragon,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
