Name,Password,Archseries,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Primary type,DEF,ATK,Version
Performapal Extra Slinger,45591967,"('Performapal',)","('Condition', 'Ignition Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Performapal Extra Slinger,https://yugipedia.com/wiki/Performapal_Extra_Slinger,,2023-03-19 21:59:54,,Effect Monster,1100,800,New
Performapal Gongato,09106362,"('Performapal',)","('Trigger Effect',)",Unlimited,Unlimited,Performapal Gongato,https://yugipedia.com/wiki/Performapal_Gongato,,2023-03-19 22:02:23,,Effect Monster,100,100,New
Performapal Gumgumouton,08384771,"('Performapal',)","('Trigger Effect',)",Unlimited,Unlimited,Performapal Gumgumouton,https://yugipedia.com/wiki/Performapal_Gumgumouton,,2023-03-19 22:02:59,,Effect Monster,2400,900,New
Performapal Inflater Tapir,71985676,"('Performapal',)","('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,Performapal Inflater Tapir,https://yugipedia.com/wiki/Performapal_Inflater_Tapir,,2023-03-19 22:04:33,,Effect Monster,2000,1000,New
Piercing Moray,69846323,,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,Piercing Moray,https://yugipedia.com/wiki/Piercing_Moray,,2023-08-14 21:39:08,,Effect Monster,500,1500,Old
Piercing Moray,69846323,,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,Piercing Moray,https://yugipedia.com/wiki/Piercing_Moray,,2023-08-25 07:18:41,"('Any',)",Effect Monster,500,1500,New
Prank-Kids Token,,"('Prank-Kids',)",,,Legal,Prank-Kids Token,https://yugipedia.com/wiki/Prank-Kids_Token,,2023-08-26 07:42:10,,Monster Token,0,0,New
Premature Return,95083785,,"('Cost', 'Effect')",Unlimited,Unlimited,Premature Return,https://yugipedia.com/wiki/Premature_Return,,2023-03-19 23:29:57,,,,,New
Ra's Disciple,74875003,,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Ra's Disciple,https://yugipedia.com/wiki/Ra%27s_Disciple,,2023-07-31 22:43:00,,Effect Monster,600,1100,Old
Re-dyce-cle,85704698,,"('Effect', 'Quick-like Effect')",Unlimited,Unlimited,Re-dyce-cle,https://yugipedia.com/wiki/Re-dyce-cle,,2023-03-20 00:38:21,,,,,New
Red Gardna,72318602,,"('Quick Effect',)",Unlimited,Unlimited,Red Gardna,https://yugipedia.com/wiki/Red_Gardna,,2023-03-20 00:48:23,,Effect Monster,2000,0,New
Rescue Hedgehog,,"('Rescue Squad',)",,,Unlimited,Rescue Hedgehog,https://yugipedia.com/wiki/Rescue_Hedgehog,,2023-08-21 00:02:26,,Effect Monster,100,300,Old
Rescue Hedgehog,99742859,"('Rescue Squad',)","('Condition', 'Ignition Effect')",,Unlimited,Rescue Hedgehog,https://yugipedia.com/wiki/Rescue_Hedgehog,,2023-08-21 05:18:18,,Effect Monster,100,300,New
Ritual Beast Tamer Zefrawendi,23166823,"('Ritual Beast', 'Ritual Beast Tamer', 'Zefra')","('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Ritual Beast Tamer Zefrawendi,https://yugipedia.com/wiki/Ritual_Beast_Tamer_Zefrawendi,,2023-03-20 05:58:16,,Effect Monster,1000,1500,New
Sage of Benevolence - Ciela,34456146,"('Sky Striker',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Sage of Benevolence - Ciela,https://yugipedia.com/wiki/Sage_of_Benevolence_-_Ciela,,2023-06-23 15:53:05,,Effect Monster,1000,2200,Old
Sage of Benevolence - Ciela,34456146,"('Sky Striker',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Sage of Benevolence - Ciela,https://yugipedia.com/wiki/Sage_of_Benevolence_-_Ciela,"('Edited',)",2023-08-22 02:18:06,,Effect Monster,1000,2200,New
Satellarknight Zefrathuban,96223501,"('Tellarknight', 'Zefra')","('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Satellarknight Zefrathuban,https://yugipedia.com/wiki/Satellarknight_Zefrathuban,,2023-07-24 19:32:34,,Effect Monster,2100,0,New
Sealmaster Meisei,02468169,"('Name-Inverted Spiritualist',)",,Unlimited,Unlimited,Sealmaster Meisei,https://yugipedia.com/wiki/Sealmaster_Meisei,,2023-08-15 01:47:02,,Normal Monster,900,1100,Old
Sealmaster Meisei,02468169,"('Name-Inverted Spiritualist',)",,Unlimited,Unlimited,Sealmaster Meisei,https://yugipedia.com/wiki/Sealmaster_Meisei,,2023-08-24 18:44:04,"('Type',)",Normal Monster,900,1100,New
Slifer the Sky Dragon,,"('Egyptian God',)",,Illegal,Illegal,Slifer the Sky Dragon (original),https://yugipedia.com/wiki/Slifer_the_Sky_Dragon_(original),,2023-08-20 04:04:05,"('Type',)",,X000,X000,Old
Slifer the Sky Dragon,,"('Egyptian God',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Slifer the Sky Dragon,https://yugipedia.com/wiki/Slifer_the_Sky_Dragon,"('Alternate',)",2023-08-15 01:58:41,"('Type',)",Effect Monster,?,?,Old
Slifer the Sky Dragon,,"('Egyptian God',)",,Illegal,Illegal,Slifer the Sky Dragon (original),https://yugipedia.com/wiki/Slifer_the_Sky_Dragon_(original),,2023-08-21 20:22:51,"('Type',)",,X000,X000,New
Slifer the Sky Dragon,,"('Egyptian God',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Slifer the Sky Dragon,https://yugipedia.com/wiki/Slifer_the_Sky_Dragon,"('Alternate',)",2023-08-24 19:38:35,"('Type',)",Effect Monster,?,?,New
Stand-Up Centurion!,,"('Centurion',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",,Not yet released,Stand-Up Centurion!,https://yugipedia.com/wiki/Stand-Up_Centurion!,,2023-08-11 12:38:27,,,,,Old
Stand-Up Centurion!,41371602,"('Centurion',)","('Condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')",,Unlimited,Stand-Up Centurion!,https://yugipedia.com/wiki/Stand-Up_Centurion!,,2023-08-26 05:54:29,,,,,New
Sun God Unification,77432167,,"('Condition', 'Quick-like Effect')",Unlimited,Unlimited,Sun God Unification,https://yugipedia.com/wiki/Sun_God_Unification,,2023-06-19 15:02:15,,,,,Old
The Forceful Checkpoint,94861297,,"('Activation condition', 'Effect')",Unlimited,Unlimited,The Forceful Checkpoint,https://yugipedia.com/wiki/The_Forceful_Checkpoint,,2023-08-24 18:49:41,,,,,New
The White Stone of Ancients,71039903,,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,The White Stone of Ancients,https://yugipedia.com/wiki/The_White_Stone_of_Ancients,,2023-03-20 14:47:33,"('Any',)",Effect Monster,500,600,New
The Winged Dragon of Ra - Sphere Mode,,"('Egyptian God', 'The Winged Dragon of Ra (series)')","('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,Unlimited,The Winged Dragon of Ra - Sphere Mode,https://yugipedia.com/wiki/The_Winged_Dragon_of_Ra_-_Sphere_Mode,,2023-06-19 15:00:13,"('Any',)",Effect Monster,?,?,Old
Totem Five,56346071,,"('Trigger Effect',)",Unlimited,Unlimited,Totem Five,https://yugipedia.com/wiki/Totem_Five,,2023-03-20 15:57:29,,Effect Monster,200,500,New
Trap Hole of Spikes,75902998,"('Trap Hole (archetype)',)","('Activation condition', 'Effect')",Unlimited,Unlimited,Trap Hole of Spikes,https://yugipedia.com/wiki/Trap_Hole_of_Spikes,,2023-08-12 06:06:22,,,,,New
Triamid Dancer,69529337,"('Triamid',)","('Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,Triamid Dancer,https://yugipedia.com/wiki/Triamid_Dancer,,2023-03-20 16:26:08,,Effect Monster,1900,600,New
Triamid Hunter,95923441,"('Triamid',)","('Continuous Effect', 'Quick Effect')",Unlimited,Unlimited,Triamid Hunter,https://yugipedia.com/wiki/Triamid_Hunter,,2023-03-20 16:26:30,,Effect Monster,1100,1400,New
Triamid Pulse,96100333,"('Triamid',)","('Quick-like Effect',)",Unlimited,Unlimited,Triamid Pulse,https://yugipedia.com/wiki/Triamid_Pulse,,2019-12-06 19:03:31,,,,,New
"True King Agnimazud, the Vanisher",96746083,"('True Draco',)","('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,"True King Agnimazud, the Vanisher","https://yugipedia.com/wiki/True_King_Agnimazud,_the_Vanisher",,2023-08-08 15:46:14,"('Any',)",Effect Monster,1900,2900,New
Truth Centurion,,"('Centurion',)","('Condition', 'Effect')",,Not yet released,Truth Centurion,https://yugipedia.com/wiki/Truth_Centurion,,2023-08-11 12:50:23,,,,,Old
Truth Centurion,77543769,"('Centurion',)","('Condition', 'Effect')",,Unlimited,Truth Centurion,https://yugipedia.com/wiki/Truth_Centurion,,2023-08-26 01:05:05,,,,,New
U.A. Turnover Tactics,61613388,"('U.A.',)","('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,U.A. Turnover Tactics,https://yugipedia.com/wiki/U.A._Turnover_Tactics,,2023-03-20 17:19:18,,,,,New
Unified Front,31472884,,"('Condition', 'Cost', 'Effect')",Unlimited,Unlimited,Unified Front,https://yugipedia.com/wiki/Unified_Front,,2023-03-20 17:45:32,,,,,New
Valmonica Intonare,,"('Valmonica',)","('Condition', 'Effect')",,Not yet released,Valmonica Intonare,https://yugipedia.com/wiki/Valmonica_Intonare,,2023-08-08 01:27:42,,,,,Old
Valmonica Intonare,78598237,"('Valmonica',)","('Condition', 'Effect')",,Unlimited,Valmonica Intonare,https://yugipedia.com/wiki/Valmonica_Intonare,,2023-08-26 01:28:17,,,,,New
Valmonica Scelta,,"('Valmonica',)","('Condition', 'Effect')",,Not yet released,Valmonica Scelta,https://yugipedia.com/wiki/Valmonica_Scelta,,2023-08-16 13:06:25,,,,,Old
Valmonica Scelta,05605529,"('Valmonica',)","('Condition', 'Effect')",,Unlimited,Valmonica Scelta,https://yugipedia.com/wiki/Valmonica_Scelta,,2023-08-26 01:25:47,,,,,New
Valmonica Versare,,"('Valmonica',)","('Condition', 'Effect')",,Not yet released,Valmonica Versare,https://yugipedia.com/wiki/Valmonica_Versare,,2023-08-08 01:26:48,,,,,Old
Valmonica Versare,42193638,"('Valmonica',)","('Condition', 'Effect')",,Unlimited,Valmonica Versare,https://yugipedia.com/wiki/Valmonica_Versare,,2023-08-26 01:27:03,,,,,New
Valmonica of the Guiding Rhythm,,"('Valmonica',)","('Condition', 'Effect')",,Not yet released,Valmonica of the Guiding Rhythm,https://yugipedia.com/wiki/Valmonica_of_the_Guiding_Rhythm,,2023-08-08 01:31:17,,,,,Old
Valmonica of the Guiding Rhythm,04582942,"('Valmonica',)","('Condition', 'Effect')",,Unlimited,Valmonica of the Guiding Rhythm,https://yugipedia.com/wiki/Valmonica_of_the_Guiding_Rhythm,,2023-08-26 01:29:36,,,,,New
Valmonica of the Selecting Melody,,"('Valmonica',)","('Condition', 'Effect')",,Not yet released,Valmonica of the Selecting Melody,https://yugipedia.com/wiki/Valmonica_of_the_Selecting_Melody,,2023-08-08 01:31:59,,,,,Old
Valmonica of the Selecting Melody,31971040,"('Valmonica',)","('Condition', 'Effect')",,Unlimited,Valmonica of the Selecting Melody,https://yugipedia.com/wiki/Valmonica_of_the_Selecting_Melody,,2023-08-26 01:30:58,,,,,New
Zap Mustung,29951323,,"('Continuous Effect', 'Summoning condition')",Unlimited,Unlimited,Zap Mustung,https://yugipedia.com/wiki/Zap_Mustung,,2023-08-02 10:32:15,,Effect Monster,1500,1600,New
Zefra Divine Strike,35561352,"('Zefra',)","('Activation condition', 'Cost', 'Effect')",Unlimited,Unlimited,Zefra Divine Strike,https://yugipedia.com/wiki/Zefra_Divine_Strike,,2023-03-20 21:10:03,,,,,New
