Name,Password,Archseries,Effect type,TCG status,Artwork,Modification date,Errata,Version
Traptantalizing Tune,48805472,,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,,2023-05-07 14:14:54,,Old
Traptantalizing Tune,48805472,,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,"('Edited',)",2023-07-14 13:52:34,,New
Traptrix Pinguicula,01688285,"('Traptrix',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,,2023-07-04 20:36:21,,Old
Traptrix Pinguicula,01688285,"('Traptrix',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,"('Edited',)",2023-07-14 13:51:21,,New
Ultimate Bright Knight Ursatron Alpha,14959144,"('Drytron', 'Ursarctic')","('Condition', 'Ignition Effect', 'Summoning condition')",Not yet released,,2023-07-14 18:19:09,,New
Ultimate Knight Alpha Ursatron,14959144,"('Drytron', 'Ursarctic')","('Condition', 'Ignition Effect', 'Summoning condition')",,,2023-04-22 00:46:01,,Old
Unchained Soul King Yama,24269961,"('Unchained', 'Unchained Soul')","('Condition', 'Ignition Effect')",,,2023-04-22 01:41:53,,Old
Unchained Soul Lord of Yama,24269961,"('Unchained', 'Unchained Soul')","('Condition', 'Ignition Effect')",Not yet released,,2023-07-14 18:06:18,,New
Unchained Soul Sharvara,41165831,"('Unchained', 'Unchained Soul')","('Condition', 'Quick Effect', 'Trigger Effect')",,,2023-04-22 00:40:34,,Old
Unchained Soul Shyama,88554436,"('Unchained', 'Unchained Soul')","('Condition', 'Ignition Effect')",,,2023-04-22 00:41:56,,Old
Unchained Soul of Sharvara,41165831,"('Unchained', 'Unchained Soul')","('Condition', 'Quick Effect', 'Trigger Effect')",Not yet released,,2023-07-14 19:06:02,,New
Unchained Soul of Shyama,88554436,"('Unchained', 'Unchained Soul')","('Condition', 'Ignition Effect')",Not yet released,,2023-07-14 18:46:45,,New
Ursarctic Polar Star,62714453,"('Ursarctic',)","('Continuous Effect', 'Ignition Effect', 'Summoning condition')",,,2023-04-22 01:27:12,,Old
Ursarctic Polar Star,62714453,"('Ursarctic',)","('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Not yet released,,2023-07-14 18:25:13,,New
Uruka the Magic Star,49109013,,"('Condition', 'Trigger Effect')",,,2023-04-27 02:22:24,,Old
Vaylantz Wave - Master Phase,84281045,"('Vaylantz',)","('Trigger Effect',)",,,2023-04-22 13:05:22,,Old
Vaylantz Wave - Master Phase,84281045,"('Vaylantz',)","('Trigger Effect',)",Not yet released,,2023-07-16 13:36:39,,New
Veda Kalanta,27015862,"('Veda',)","('Condition', 'Trigger Effect')",Not yet released,,2023-07-14 19:24:48,,New
Veda Karantha,27015862,"('Veda',)","('Condition', 'Trigger Effect')",,,2023-06-22 05:33:17,,Old
Visas Amritara,00821049,"('Visas',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,,2023-06-24 04:21:51,,Old
Visas Amritara,00821049,"('Visas',)","('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Not yet released,,2023-07-13 15:12:51,,New
Water Omotics,02483611,,,Unlimited,"('Edited',)",2023-06-19 18:17:57,,Old
Water Omotics,02483611,,,Unlimited,"('Edited',)",2023-06-19 18:17:57,"('Type',)",New
Wheel Synchron,60283232,"('Synchro (archetype)', 'Synchron')","('Condition', 'Ignition Effect', 'Unclassified effect')",,,2023-04-22 00:17:31,,Old
Wheel Synchron,60283232,"('Synchro (archetype)', 'Synchron')","('Condition', 'Ignition Effect', 'Unclassified effect')",Not yet released,,2023-07-10 16:10:32,,New
Wipeout Trap Hole,89569453,"('Trap Hole (archetype)',)","('Effect',)",,,2023-04-22 13:10:36,,Old
Xyz Armor Fortress,,"('Xyz (archetype)',)","('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Summoning condition')",,,2023-07-13 16:10:02,,New
Xyz Armor Torpedo,,"('Xyz (archetype)',)","('Condition', 'Continuous Effect', 'Continuous-like Effect', 'Ignition Effect')",,,2023-07-13 16:05:37,,New
Xyz Entrust,,"('Xyz (archetype)',)","('Condition', 'Effect', 'Ignition-like Effect')",,,2023-07-13 16:39:31,,New
You're Finished,88346805,"('Trap Monster',)","('Effect', 'Quick Effect')",Not yet released,,2023-07-14 18:35:27,,New
Zuttomozaurus,24454387,,"('Condition', 'Continuous Effect', 'Ignition Effect')",Not yet released,,2023-07-15 01:34:20,,New
