Name,Card type,Property,Archseries,Attribute,Primary type,Monster type,Effect type,DEF,Legend,Maximum mode,ATK,MAXIMUM ATK,Level/Rank,Page name,Page URL,Artwork,Modification date,Errata
Cyber Serpent,Monster Card,,,LIGHT,Effect Monster,Machine,"('Effect',)",0,False,False,0,,1,Cyber Serpent,https://yugipedia.com/wiki/Cyber_Serpent,,2022-11-26 12:54:31,
Cyber Soldier of Darkworld,Monster Card,,,DARK,Normal Monster,Machine,,1200,False,False,1400,,4,Cyber Soldier of Darkworld (Rush Duel),https://yugipedia.com/wiki/Cyber_Soldier_of_Darkworld_(Rush_Duel),,2022-09-20 11:21:17,
Cyber Stealth Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)",LIGHT,Effect Monster,Machine,"('Continuous Effect',)",800,False,False,2500,,8,Cyber Stealth Dragon,https://yugipedia.com/wiki/Cyber_Stealth_Dragon,,2022-11-26 12:44:17,
Cyber Twin Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)",LIGHT,Fusion Monster,Machine,"('Continuous Effect',)",2100,False,False,2800,,8,Cyber Twin Dragon (Rush Duel),https://yugipedia.com/wiki/Cyber_Twin_Dragon_(Rush_Duel),,2022-11-26 12:40:05,
Cyber-Stein Frankenshrine,Monster Card,,,DARK,Effect Monster,Zombie,"('Effect',)",0,False,False,2500,,7,Cyber-Stein Frankenshrine,https://yugipedia.com/wiki/Cyber-Stein_Frankenshrine,,2023-01-16 21:35:23,
Cyber-Tech Alligator,Monster Card,,,WIND,Normal Monster,Machine,,1600,True,False,2500,,5,Cyber-Tech Alligator (Rush Duel),https://yugipedia.com/wiki/Cyber-Tech_Alligator_(Rush_Duel),,2022-09-21 05:31:31,
Cycliptron,Monster Card,,"('Tron (series)',)",LIGHT,Normal Monster,Cyberse,,1500,False,False,100,,4,Cycliptron,https://yugipedia.com/wiki/Cycliptron,,2022-12-10 20:37:37,
Dahlia the Sprouting Shadow Flower,Monster Card,,"('Shadow Flower',)",EARTH,Normal Monster,Plant,,1500,False,False,300,,2,Dahlia the Sprouting Shadow Flower,https://yugipedia.com/wiki/Dahlia_the_Sprouting_Shadow_Flower,,2022-10-09 13:44:36,
"Dahut Abyss, Dark Mirror Ruler of the Chair",Monster Card,,"('Chair',)",DARK,Effect Monster,Fiend,"('Effect',)",2400,False,False,0,,7,"Dahut Abyss, Dark Mirror Ruler of the Chair","https://yugipedia.com/wiki/Dahut_Abyss,_Dark_Mirror_Ruler_of_the_Chair",,2022-10-30 07:49:01,
"Dahut, Dark Ruler of the Chair",Monster Card,,"('Chair',)",DARK,Effect Monster,Fiend,"('Effect',)",2400,False,False,0,,7,"Dahut, Dark Ruler of the Chair","https://yugipedia.com/wiki/Dahut,_Dark_Ruler_of_the_Chair",,2022-09-12 09:22:39,
Daigyakutenno Megami,Monster Card,,,LIGHT,Effect Monster,Fairy,"('Effect',)",2000,False,False,2400,,7,Daigyakutenno Megami,https://yugipedia.com/wiki/Daigyakutenno_Megami,,2022-12-10 16:51:21,
Dark Factory of Mass Production,Spell Card,Normal Spell Card,,,,,"('Effect',)",,True,False,,,,Dark Factory of Mass Production (Rush Duel),https://yugipedia.com/wiki/Dark_Factory_of_Mass_Production_(Rush_Duel),,2022-10-10 09:06:57,
Dark Femtron,Monster Card,,"('Tron (series)',)",DARK,Normal Monster,Cyberse,,100,False,False,1500,,4,Dark Femtron,https://yugipedia.com/wiki/Dark_Femtron,,2022-09-21 05:25:54,
Dark Hole,Spell Card,Normal Spell Card,,,,,"('Effect',)",,True,False,,,,Dark Hole (Rush Duel),https://yugipedia.com/wiki/Dark_Hole_(Rush_Duel),,2022-11-26 13:57:42,
Dark Magic Attack,Spell Card,Normal Spell Card,"('Signature move',)",,,,"('Effect',)",,False,False,,,,Dark Magic Attack (Rush Duel),https://yugipedia.com/wiki/Dark_Magic_Attack_(Rush_Duel),,2022-09-21 03:35:55,
Dark Magician,Monster Card,,,DARK,Normal Monster,Spellcaster,,2100,True,False,2500,,7,Dark Magician (Rush Duel),https://yugipedia.com/wiki/Dark_Magician_(Rush_Duel),"('Alternate',)",2023-01-31 20:13:42,
Dark Magician Girl,Monster Card,,,DARK,Effect Monster,Spellcaster,"('Continuous Effect',)",1700,False,False,2000,,6,Dark Magician Girl (Rush Duel),https://yugipedia.com/wiki/Dark_Magician_Girl_(Rush_Duel),"('Alternate', 'Edited')",2023-01-31 20:29:00,
Dark Nebula,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Dark Nebula,https://yugipedia.com/wiki/Dark_Nebula,,2023-01-21 14:49:35,
Dark Prophet,Monster Card,,,DARK,Effect Monster,Galaxy (Type),"('Effect',)",0,False,False,0,,1,Dark Prophet,https://yugipedia.com/wiki/Dark_Prophet,,2023-01-19 15:39:17,
Dark Resonance Burst,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Dark Resonance Burst,https://yugipedia.com/wiki/Dark_Resonance_Burst,,2022-09-25 03:02:24,
Dark Revelation,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Dark Revelation,https://yugipedia.com/wiki/Dark_Revelation,,2022-09-25 03:02:51,
Dark Skeleton Dead Ruler,Monster Card,,"('Ghost Story',)",DARK,Effect Monster,Zombie,"('Effect',)",1500,False,False,2500,,7,Dark Skeleton Dead Ruler,https://yugipedia.com/wiki/Dark_Skeleton_Dead_Ruler,,2022-10-20 06:59:28,
Dark Sorcerer,Monster Card,,,DARK,Normal Monster,Spellcaster,,0,False,False,1500,,4,Dark Sorcerer,https://yugipedia.com/wiki/Dark_Sorcerer,,2022-10-20 07:08:39,
Dark-Eyes Breakstar Cat,Monster Card,,"('Cat (Rush Duel series)',)",DARK,Effect Monster,Beast,"('Effect',)",200,False,False,2200,,7,Dark-Eyes Breakstar Cat,https://yugipedia.com/wiki/Dark-Eyes_Breakstar_Cat,,2023-01-21 14:03:51,
Darklord Zerato,Monster Card,,,DARK,Effect Monster,Fairy,"('Effect', 'Summoning condition')",2300,True,False,2800,,8,Darklord Zerato (Rush Duel),https://yugipedia.com/wiki/Darklord_Zerato_(Rush_Duel),,2023-02-04 14:27:22,
Darkness Approaches,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Darkness Approaches (Rush Duel),https://yugipedia.com/wiki/Darkness_Approaches_(Rush_Duel),,2022-09-21 02:59:14,
Darkness Crested Hawk,Monster Card,,,DARK,Effect Monster,Winged Beast,"('Effect',)",2300,False,False,2100,,7,Darkness Crested Hawk,https://yugipedia.com/wiki/Darkness_Crested_Hawk,,2022-12-21 09:52:25,
Darkness Fource Seeker,Monster Card,,"('Darkness (Rush Duel series)',)",DARK,Effect Monster,Spellcaster,"('Effect',)",600,False,False,1100,,4,Darkness Fource Seeker,https://yugipedia.com/wiki/Darkness_Fource_Seeker,,2022-10-20 07:10:32,
Darkness Ri-chair-al,Spell Card,Normal Spell Card,"('Chair',)",,,,"('Effect',)",,False,False,,,,Darkness Ri-chair-al,https://yugipedia.com/wiki/Darkness_Ri-chair-al,,2022-10-30 07:48:46,
Darkness Road,Spell Card,Field Spell Card,"('Darkness (Rush Duel series)',)",,,,"('Effect',)",,False,False,,,,Darkness Road,https://yugipedia.com/wiki/Darkness_Road,,2022-10-20 07:08:16,
Darkness Rogue,Monster Card,,"('Darkness (Rush Duel series)',)",DARK,Effect Monster,Spellcaster,"('Effect',)",600,False,False,700,,2,Darkness Rogue,https://yugipedia.com/wiki/Darkness_Rogue,,2023-01-03 23:11:27,
Darkness Zerorogue,Monster Card,,"('Darkness (Rush Duel series)',)",DARK,Effect Monster,Spellcaster,"('Effect',)",2100,False,False,1500,,7,Darkness Zerorogue,https://yugipedia.com/wiki/Darkness_Zerorogue,,2022-10-20 07:10:38,
Daybreak Warrior,Monster Card,,,DARK,Effect Monster,Warrior,"('Effect',)",400,False,False,1700,,6,Daybreak Warrior,https://yugipedia.com/wiki/Daybreak_Warrior,,2022-12-10 20:57:46,
Decennium Mystic Sword,Monster Card,,,EARTH,Normal Monster,Warrior,,1400,False,False,200,,3,Decennium Mystic Sword,https://yugipedia.com/wiki/Decennium_Mystic_Sword,,2022-12-19 09:38:52,
Defender of Dragon Sorcerers,Monster Card,,,LIGHT,Effect Monster,Spellcaster,"('Effect',)",500,False,False,500,,2,Defender of Dragon Sorcerers,https://yugipedia.com/wiki/Defender_of_Dragon_Sorcerers,,2022-09-21 03:18:25,
Defense Destroying Sword,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Defense Destroying Sword,https://yugipedia.com/wiki/Defense_Destroying_Sword,,2023-01-30 10:13:24,
Dekorelic Dessert,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Dekorelic Dessert,https://yugipedia.com/wiki/Dekorelic_Dessert,,2022-12-19 09:11:50,
Delight of the Mighty,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Delight of the Mighty,https://yugipedia.com/wiki/Delight_of_the_Mighty,,2022-11-02 17:25:22,
Delirium Lampyris,Monster Card,,,LIGHT,Effect Monster,Insect,"('Effect',)",1200,False,False,800,,2,Delirium Lampyris,https://yugipedia.com/wiki/Delirium_Lampyris,,2022-11-26 13:47:37,
Delirium Papillon,Monster Card,,,LIGHT,Effect Monster,Insect,"('Effect',)",1200,False,False,800,,2,Delirium Papillon,https://yugipedia.com/wiki/Delirium_Papillon,,2022-11-17 12:09:55,
Demolisher Wyrm Roar,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Demolisher Wyrm Roar,https://yugipedia.com/wiki/Demolisher_Wyrm_Roar,,2022-12-13 15:31:37,
Descendant of Titans,Monster Card,,,LIGHT,Normal Monster,Fiend,,0,False,False,1000,,1,Descendant of Titans,https://yugipedia.com/wiki/Descendant_of_Titans,,2022-09-21 05:22:43,
Descent of the Sweeping Spirit,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Descent of the Sweeping Spirit,https://yugipedia.com/wiki/Descent_of_the_Sweeping_Spirit,,2023-02-04 14:18:23,
Destroyer of Dragon Sorcerers,Monster Card,,,DARK,Effect Monster,Spellcaster,"('Effect',)",1500,False,False,2400,,7,Destroyer of Dragon Sorcerers,https://yugipedia.com/wiki/Destroyer_of_Dragon_Sorcerers,,2022-11-26 13:35:34,
Destructurtle Meteor,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Destructurtle Meteor,https://yugipedia.com/wiki/Destructurtle_Meteor,,2022-11-02 17:21:59,
Diabearical Lilith,Monster Card,,"('Psychic Musician',)",DARK,Fusion Monster,Psychic,"('Effect',)",1500,False,False,2000,,4,Diabearical Lilith,https://yugipedia.com/wiki/Diabearical_Lilith,,2022-11-17 12:09:08,
Diabolic King Beetle,Monster Card,,,DARK,Effect Monster,Insect,"('Effect',)",200,False,False,1700,,6,Diabolic King Beetle,https://yugipedia.com/wiki/Diabolic_King_Beetle,,2022-09-18 19:46:19,
Dian Keto the Boogie Master,Monster Card,,"('Bubble Era',)",LIGHT,Effect Monster,Aqua,"('Effect',)",1000,False,False,2500,,8,Dian Keto the Boogie Master,https://yugipedia.com/wiki/Dian_Keto_the_Boogie_Master,,2022-10-20 07:02:27,
Dian Keto the Cooking Master,Monster Card,,,FIRE,Effect Monster,Aqua,"('Effect',)",1000,False,False,2500,,8,Dian Keto the Cooking Master,https://yugipedia.com/wiki/Dian_Keto_the_Cooking_Master,,2023-01-17 13:20:57,
Dian Keto the Cure Maiden,Monster Card,,"('Bubble Actress',)",WATER,Effect Monster,Aqua,"('Effect',)",1000,False,False,2500,,8,Dian Keto the Cure Maiden,https://yugipedia.com/wiki/Dian_Keto_the_Cure_Maiden,,2022-11-17 12:10:35,
Dian Keto the Cure Master,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Dian Keto the Cure Master (Rush Duel),https://yugipedia.com/wiki/Dian_Keto_the_Cure_Master_(Rush_Duel),,2022-10-20 07:00:31,
Dian Keto the Security Master,Monster Card,,,DARK,Effect Monster,Aqua,"('Effect',)",1000,False,False,2500,,8,Dian Keto the Security Master,https://yugipedia.com/wiki/Dian_Keto_the_Security_Master,"('Alternate', 'Edited')",2022-10-20 07:02:43,"('Any',)"
Digger Skipper,Monster Card,,,EARTH,Normal Monster,Machine,,1400,False,False,0,,1,Digger Skipper,https://yugipedia.com/wiki/Digger_Skipper,,2023-01-29 19:40:53,
Digisoon the Music Fiend,Monster Card,,"('Music Princess',)",WIND,Effect Monster,Warrior,"('Effect',)",2000,False,False,2400,,8,Digisoon the Music Fiend,https://yugipedia.com/wiki/Digisoon_the_Music_Fiend,,2022-10-20 07:21:23,
Digrace the Skysavior Radiance,Monster Card,,"('Celestial Warrior', 'Skysavior')",LIGHT,Fusion Monster,Celestial Warrior,"('Multi-Choice Effect',)",1700,False,False,2700,,9,Digrace the Skysavior Radiance,https://yugipedia.com/wiki/Digrace_the_Skysavior_Radiance,,2023-01-21 14:30:30,
Dimension Others,Monster Card,,,DARK,Normal Monster,Galaxy (Type),,0,False,False,1500,,4,Dimension Others,https://yugipedia.com/wiki/Dimension_Others,,2022-12-21 09:53:19,
Dinomic Pressure,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Dinomic Pressure,https://yugipedia.com/wiki/Dinomic_Pressure,,2022-10-30 07:49:34,
Dinosaur Crush,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Dinosaur Crush,https://yugipedia.com/wiki/Dinosaur_Crush,,2023-01-05 22:40:54,
Direct Dive Dragon,Monster Card,,,LIGHT,Effect Monster,Galaxy (Type),"('Effect',)",0,False,False,1700,,6,Direct Dive Dragon,https://yugipedia.com/wiki/Direct_Dive_Dragon,,2022-05-03 17:52:23,
Doctor Red Robe,Monster Card,,"('Chemistry',)",FIRE,Normal Monster,Pyro,,0,False,False,1500,,4,Doctor Red Robe,https://yugipedia.com/wiki/Doctor_Red_Robe,,2022-12-21 09:45:50,
Dododo Second,Monster Card,,"('Baseball',)",FIRE,Effect Monster,Warrior,"('Effect',)",1400,False,False,0,,4,Dododo Second,https://yugipedia.com/wiki/Dododo_Second,,2023-01-05 22:53:00,
Dogulce Jomont Blanc,Monster Card,,,EARTH,Normal Monster,Pyro,,1500,False,False,1900,,6,Dogulce Jomont Blanc,https://yugipedia.com/wiki/Dogulce_Jomont_Blanc,,2022-12-10 20:39:13,
Dogulce Langue De Shakoki,Monster Card,,,EARTH,Effect Monster,Pyro,"('Effect',)",0,False,False,1700,,5,Dogulce Langue De Shakoki,https://yugipedia.com/wiki/Dogulce_Langue_De_Shakoki,,2022-12-21 09:45:01,
Dogulce Langue de Chakoki,Monster Card,,,EARTH,Effect Monster,Pyro,"('Effect',)",0,False,False,1700,,5,Dogulce Langue de Chakoki,https://yugipedia.com/wiki/Dogulce_Langue_de_Chakoki,,2022-09-21 05:39:16,
Doki Doki Hexenhaus,Monster Card,,,EARTH,Effect Monster,Pyro,"('Effect',)",2100,False,False,2300,,7,Doki Doki Hexenhaus,https://yugipedia.com/wiki/Doki_Doki_Hexenhaus,,2022-12-21 09:44:30,
Doll of Dread,Monster Card,,"('Ghost Story',)",DARK,Normal Monster,Zombie,,200,False,False,0,,1,Doll of Dread,https://yugipedia.com/wiki/Doll_of_Dread,,2022-12-23 09:02:36,
Dolphin Counterattack,Trap Card,Normal Trap Card,"('Dolphin',)",,,,"('Effect',)",,False,False,,,,Dolphin Counterattack,https://yugipedia.com/wiki/Dolphin_Counterattack,,2022-12-20 10:45:17,
Dolphin King Iruqua,Monster Card,,"('Dolphin',)",WATER,Normal Monster,Sea Serpent,,500,False,False,2000,,6,Dolphin King Iruqua,https://yugipedia.com/wiki/Dolphin_King_Iruqua,,2022-12-10 20:55:54,
Dolphin's Treasure Chest,Spell Card,Normal Spell Card,"('Dolphin',)",,,,"('Effect',)",,False,False,,,,Dolphin's Treasure Chest,https://yugipedia.com/wiki/Dolphin%27s_Treasure_Chest,,2022-11-17 12:07:35,
Donpen & Donko,Monster Card,,,WATER,Normal Monster,Aqua,,800,False,False,900,,2,Donpen & Donko,https://yugipedia.com/wiki/Donpen_%26_Donko,,2022-10-26 06:31:29,
Doomblaze Despair,Trap Card,Normal Trap Card,"('Blaze Fiend',)",,,,"('Effect',)",,False,True,,,,Doomblaze Despair,https://yugipedia.com/wiki/Doomblaze_Despair,,2022-11-26 12:36:38,
Doomblaze Fiend Overlord Despairacion,Monster Card,,"('Blaze Fiend',)",FIRE,Effect Monster,Fiend,"('Effect', 'Summoning condition')",0,False,True,2500,4000,10,Doomblaze Fiend Overlord Despairacion,https://yugipedia.com/wiki/Doomblaze_Fiend_Overlord_Despairacion,,2022-11-26 12:28:07,
Doomblaze Fiend Overlord Despairacion [L],Monster Card,,"('Blaze Fiend',)",FIRE,Effect Monster,Fiend,"('Continuous Effect',)",0,False,True,2300,,10,Doomblaze Fiend Overlord Despairacion (L),https://yugipedia.com/wiki/Doomblaze_Fiend_Overlord_Despairacion_(L),,2022-11-26 12:27:26,
Doomblaze Fiend Overlord Despairacion [R],Monster Card,,"('Blaze Fiend',)",FIRE,Effect Monster,Fiend,"('Continuous Effect',)",0,False,True,2200,,10,Doomblaze Fiend Overlord Despairacion (R),https://yugipedia.com/wiki/Doomblaze_Fiend_Overlord_Despairacion_(R),,2022-11-26 12:28:43,
Doriado,Monster Card,,,EARTH,Normal Monster,Spellcaster,,1400,False,False,1200,,4,Doriado (Rush Duel),https://yugipedia.com/wiki/Doriado_(Rush_Duel),,2022-09-21 04:59:35,
Dosodon,Monster Card,,,FIRE,Effect Monster,Dinosaur,"('Effect',)",0,False,False,1100,,4,Dosodon,https://yugipedia.com/wiki/Dosodon,,2022-09-21 05:34:18,
Double Block,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Double Block,https://yugipedia.com/wiki/Double_Block,,2023-01-10 18:58:24,
Double Ray Dragons,Monster Card,,,WATER,Fusion Monster,High Dragon,"('Multi-Choice Effect',)",1700,False,False,2800,,9,Double Ray Dragons,https://yugipedia.com/wiki/Double_Ray_Dragons,,2023-01-21 14:23:07,
Double Twin Dragon,Monster Card,,,LIGHT,Effect Monster,Dragon,"('Effect',)",600,False,False,1200,,4,Double Twin Dragon,https://yugipedia.com/wiki/Double_Twin_Dragon,,2022-11-28 17:41:24,
Double-Doom Dragon,Monster Card,,,DARK,Effect Monster,Dragon,"('Effect',)",200,False,False,200,,2,Double-Doom Dragon,https://yugipedia.com/wiki/Double-Doom_Dragon,,2023-01-21 13:59:19,
Douma the Talismanic Supreme Sage,Monster Card,,"('Talismanic',)",LIGHT,Fusion Monster,Warrior,"('Effect',)",1600,False,False,2500,,8,Douma the Talismanic Supreme Sage,https://yugipedia.com/wiki/Douma_the_Talismanic_Supreme_Sage,,2022-12-26 02:42:47,
Doushin Kaika the Shadow Flower Full Moon,Monster Card,,"('Shadow Flower',)",EARTH,Fusion Monster,Plant,"('Effect',)",2200,False,False,2500,,8,Doushin Kaika the Shadow Flower Full Moon,https://yugipedia.com/wiki/Doushin_Kaika_the_Shadow_Flower_Full_Moon,,2023-02-04 14:22:07,
Draco the Tiny,Monster Card,,,WIND,Normal Monster,Dragon,,1400,False,False,0,,1,Draco the Tiny,https://yugipedia.com/wiki/Draco_the_Tiny,,2021-12-04 14:58:46,
The Dragias,Monster Card,,"('The',)",LIGHT,Normal Monster,Dragon,,1500,False,False,2500,,7,The Dragias,https://yugipedia.com/wiki/The_Dragias,,2023-01-21 13:52:59,
The Dragiastar,Monster Card,,"('The',)",LIGHT,Fusion Monster,High Dragon,"('Multi-Choice Effect',)",2500,False,False,3300,,9,The Dragiastar,https://yugipedia.com/wiki/The_Dragiastar,,2023-01-21 14:24:40,
The Dragon,Monster Card,,"('The',)",LIGHT,Normal Monster,Dragon,,0,False,False,0,,1,The Dragon,https://yugipedia.com/wiki/The_Dragon,,2023-01-11 01:09:38,
Dragon Bat,Monster Card,,,DARK,Normal Monster,Dragon,,400,False,False,1000,,3,Dragon Bat,https://yugipedia.com/wiki/Dragon_Bat,,2023-01-07 04:44:49,
Dragon Double-Doom,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Dragon Double-Doom,https://yugipedia.com/wiki/Dragon_Double-Doom,,2023-01-21 14:50:21,
Dragon Encounter,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Dragon Encounter,https://yugipedia.com/wiki/Dragon_Encounter,,2022-12-21 09:40:35,
Dragon Knight of Darkness,Monster Card,,,DARK,Normal Monster,Dragon,,1100,False,False,1600,,5,Dragon Knight of Darkness,https://yugipedia.com/wiki/Dragon_Knight_of_Darkness,,2023-01-07 04:44:44,
Dragon Merchant,Monster Card,,,LIGHT,Effect Monster,Dragon,"('Effect',)",500,False,False,1000,,4,Dragon Merchant,https://yugipedia.com/wiki/Dragon_Merchant,,2022-09-21 04:37:06,
Dragon Roll the Sushi Fairy,Monster Card,,"('Sushi Fairy',)",WIND,Effect Monster,Fairy,"('Effect',)",500,False,False,1500,,6,Dragon Roll the Sushi Fairy,https://yugipedia.com/wiki/Dragon_Roll_the_Sushi_Fairy,,2022-10-30 07:47:05,
Dragon Tribe Fusion,Spell Card,Normal Spell Card,"('Fusion (archetype)',)",,,,"('Effect',)",,False,False,,,,Dragon Tribe Fusion,https://yugipedia.com/wiki/Dragon_Tribe_Fusion,,2023-01-18 16:21:25,
Dragon's Fortitude,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Dragon's Fortitude,https://yugipedia.com/wiki/Dragon%27s_Fortitude,,2022-09-21 05:40:23,
Dragon's Inferno,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Dragon's Inferno,https://yugipedia.com/wiki/Dragon%27s_Inferno,,2022-12-21 09:39:49,
Dragon's Peak,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Dragon's Peak,https://yugipedia.com/wiki/Dragon%27s_Peak,,2023-01-16 21:34:16,
Dragon's Return,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Dragon's Return,https://yugipedia.com/wiki/Dragon%27s_Return,,2022-12-21 09:40:07,
Dragon's Sage,Monster Card,,,WATER,Normal Monster,Dragon,,100,False,False,1100,,3,Dragon's Sage,https://yugipedia.com/wiki/Dragon%27s_Sage,,2022-04-20 16:51:00,
Dragonic Disorder,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Dragonic Disorder,https://yugipedia.com/wiki/Dragonic_Disorder,,2022-02-09 03:14:06,
Dragonic Pressure,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Dragonic Pressure,https://yugipedia.com/wiki/Dragonic_Pressure,,2022-12-21 09:40:01,"('Any',)"
Dragonic Slayer,Monster Card,,,EARTH,Effect Monster,Dragon,"('Effect',)",0,False,False,2300,,7,Dragonic Slayer,https://yugipedia.com/wiki/Dragonic_Slayer,,2022-09-21 03:06:40,
Dragonlion Pit Trap,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Dragonlion Pit Trap,https://yugipedia.com/wiki/Dragonlion_Pit_Trap,,2022-11-28 18:46:46,
Dragorite,Monster Card,,,EARTH,Normal Monster,Dragon,,0,False,False,1500,,4,Dragorite,https://yugipedia.com/wiki/Dragorite,,2022-12-21 09:38:01,
Dragosite,Monster Card,,"('High Tech Dragon',)",LIGHT,Normal Monster,Dragon,,1500,False,False,0,,2,Dragosite,https://yugipedia.com/wiki/Dragosite,,2022-12-21 09:39:17,
Dramoth Caterpillar,Monster Card,,,EARTH,Effect Monster,Insect,"('Effect',)",0,False,False,1000,,3,Dramoth Caterpillar,https://yugipedia.com/wiki/Dramoth_Caterpillar,,2022-09-21 05:30:34,
Dream Drummer,Monster Card,,"('Band Group',)",DARK,Effect Monster,Psychic,"('Effect',)",0,False,False,500,,2,Dream Drummer,https://yugipedia.com/wiki/Dream_Drummer,,2023-01-06 14:32:22,
Dream Ladybug Rainbow,Monster Card,,,LIGHT,Normal Monster,Insect,,700,False,False,700,,2,Dream Ladybug Rainbow,https://yugipedia.com/wiki/Dream_Ladybug_Rainbow,,2023-01-05 22:57:23,
Drilling Mandrill,Monster Card,,,EARTH,Effect Monster,Machine,"('Effect',)",2000,False,False,1700,,7,Drilling Mandrill,https://yugipedia.com/wiki/Drilling_Mandrill,,2022-09-21 05:36:51,
Drilling Tractiger,Monster Card,,,EARTH,Effect Monster,Machine,"('Effect',)",1000,False,False,2500,,7,Drilling Tractiger,https://yugipedia.com/wiki/Drilling_Tractiger,,2022-09-03 17:27:21,
Driving Snow,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Driving Snow (Rush Duel),https://yugipedia.com/wiki/Driving_Snow_(Rush_Duel),,2022-09-21 03:48:37,
Drukmoor the Skysavior Phantom,Monster Card,,"('Skysavior',)",DARK,Fusion Monster,Celestial Warrior,"('Continuous Effect',)",2500,False,False,2900,,9,Drukmoor the Skysavior Phantom,https://yugipedia.com/wiki/Drukmoor_the_Skysavior_Phantom,,2023-01-21 14:31:27,
Dual Coretls,Monster Card,,"('High Tech Dragon',)",LIGHT,Effect Monster,Dragon,"('Effect',)",0,False,False,1700,,5,Dual Coretls,https://yugipedia.com/wiki/Dual_Coretls,,2022-12-21 09:37:22,
Dunkes the Skysavior Knight,Monster Card,,"('Skysavior',)",WATER,Effect Monster,Warrior,"('Effect',)",700,False,False,1300,,4,Dunkes the Skysavior Knight,https://yugipedia.com/wiki/Dunkes_the_Skysavior_Knight,,2023-01-21 14:13:23,
Durga the Shadow Flower Stealth Submarine,Monster Card,,"('Shadow Flower',)",EARTH,Fusion Monster,Plant,"('Effect',)",2000,False,False,2800,,9,Durga the Shadow Flower Stealth Submarine,https://yugipedia.com/wiki/Durga_the_Shadow_Flower_Stealth_Submarine,,2022-10-31 18:42:16,
Dynamic Dino Dynamix,Monster Card,,"('Nouveau Riche Dinosaur',)",EARTH,Effect Monster,Dinosaur,"('Effect', 'Summoning condition')",0,False,True,1900,3400,10,Dynamic Dino Dynamix,https://yugipedia.com/wiki/Dynamic_Dino_Dynamix,,2022-12-13 15:28:35,
Dynamic Dino Dynamix [L],Monster Card,,"('Nouveau Riche Dinosaur',)",EARTH,Effect Monster,Dinosaur,"('Continuous Effect',)",0,False,True,1300,,4,Dynamic Dino Dynamix (L),https://yugipedia.com/wiki/Dynamic_Dino_Dynamix_(L),,2022-12-13 15:28:28,
Dynamic Dino Dynamix [R],Monster Card,,"('Nouveau Riche Dinosaur',)",EARTH,Effect Monster,Dinosaur,"('Continuous Effect',)",0,False,True,1300,,4,Dynamic Dino Dynamix (R),https://yugipedia.com/wiki/Dynamic_Dino_Dynamix_(R),,2022-12-13 15:28:50,
Dynamo Might,Monster Card,,"('Chemistry',)",FIRE,Effect Monster,Pyro,"('Effect',)",1100,False,False,1100,,4,Dynamo Might,https://yugipedia.com/wiki/Dynamo_Might,,2022-12-21 09:45:21,
Earth Pressure Explosion,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Earth Pressure Explosion,https://yugipedia.com/wiki/Earth_Pressure_Explosion,,2022-10-20 07:17:58,
Ecdysis Caliguleon,Monster Card,,"('Chameleon',)",DARK,Effect Monster,Reptile,"('Continuous Effect',)",0,False,False,2000,,8,Ecdysis Caliguleon,https://yugipedia.com/wiki/Ecdysis_Caliguleon,,2022-10-30 06:14:40,
Echeclus the Star Knight,Monster Card,,"('Star Knight',)",LIGHT,Normal Monster,Fiend,,2000,False,False,1600,,6,Echeclus the Star Knight,https://yugipedia.com/wiki/Echeclus_the_Star_Knight,,2022-09-21 04:28:34,
