Name,Card type,Property,Archseries,Attribute,Primary type,Monster type,Effect type,Level/Rank,DEF,Legend,Maximum mode,ATK,MAXIMUM ATK,Page name,Page URL,Artwork,Modification date
Concert Costume Creator,Monster Card,,"('Psychic Musician',)",LIGHT,Normal Monster,Psychic,,3,800,False,False,1200,,Concert Costume Creator,https://yugipedia.com/wiki/Concert_Costume_Creator,,2022-04-20 16:51:01
Confiscation,Spell Card,Normal Spell Card,,,,,,,,False,False,,,Confiscation (anime Rush Duel),https://yugipedia.com/wiki/Confiscation_(anime_Rush_Duel),,2022-09-18 00:37:17
Connector Dog,Monster Card,,,LIGHT,Normal Monster,Cyberse,,4,100,False,False,1500,,Connector Dog,https://yugipedia.com/wiki/Connector_Dog,,2022-01-27 23:31:42
Constructor Ambush,Trap Card,Normal Trap Card,"('Constructor',)",,,,"('Effect',)",,,False,False,,,Constructor Ambush,https://yugipedia.com/wiki/Constructor_Ambush,,2022-09-21 05:26:58
Constructor Art - Buildestruction,Spell Card,Normal Spell Card,"('Constructor',)",,,,"('Effect',)",,,False,False,,,Constructor Art - Buildestruction,https://yugipedia.com/wiki/Constructor_Art_-_Buildestruction,,2022-10-30 07:48:14
Constructor Battler Big Roller,Monster Card,,"('Constructor',)",EARTH,Normal Monster,Wyrm,,6,600,False,False,1900,,Constructor Battler Big Roller,https://yugipedia.com/wiki/Constructor_Battler_Big_Roller,,2022-09-21 05:31:33
Constructor Blockade,Trap Card,Normal Trap Card,"('Constructor',)",,,,"('Effect',)",,,False,False,,,Constructor Blockade,https://yugipedia.com/wiki/Constructor_Blockade,,2022-09-21 05:31:10
Constructor Brawler Mixah,Monster Card,,"('Constructor',)",EARTH,Effect Monster,Wyrm,"('Effect',)",4,400,False,False,1200,,Constructor Brawler Mixah,https://yugipedia.com/wiki/Constructor_Brawler_Mixah,,2022-04-24 00:04:21
Constructor Demolisher Wyrm Drake Crush,Monster Card,,"('Constructor',)",EARTH,Normal Monster,Wyrm,,7,1900,False,False,2400,,Constructor Demolisher Wyrm Drake Crush,https://yugipedia.com/wiki/Constructor_Demolisher_Wyrm_Drake_Crush,,2022-12-13 15:31:17
Constructor Engineer Draftannium,Monster Card,,"('Constructor',)",EARTH,Effect Monster,Wyrm,"('Effect',)",3,1000,False,False,500,,Constructor Engineer Draftannium,https://yugipedia.com/wiki/Constructor_Engineer_Draftannium,,2022-04-24 00:05:40
Constructor Fighter Mixer,Monster Card,,"('Constructor',)",EARTH,Effect Monster,Wyrm,"('Effect',)",4,400,False,False,1200,,Constructor Fighter Mixer,https://yugipedia.com/wiki/Constructor_Fighter_Mixer,,2023-01-06 14:33:00
Constructor Force,Trap Card,Normal Trap Card,"('Constructor',)",,,,,,,False,False,,,Constructor Force,https://yugipedia.com/wiki/Constructor_Force,,2022-03-01 17:19:46
Constructor Heavenly Wyrm Gantry Dragon,Monster Card,,"('Constructor',)",EARTH,Effect Monster,Wyrm,"('Effect',)",8,2000,False,False,2500,,Constructor Heavenly Wyrm Gantry Dragon,https://yugipedia.com/wiki/Constructor_Heavenly_Wyrm_Gantry_Dragon,,2022-09-21 05:33:38
Constructor Princess Pylon,Monster Card,,"('Constructor',)",EARTH,Normal Monster,Wyrm,,1,0,False,False,100,,Constructor Princess Pylon,https://yugipedia.com/wiki/Constructor_Princess_Pylon,,2022-09-25 03:03:41
Constructor Resurrection,Trap Card,Normal Trap Card,"('Constructor',)",,,,"('Effect',)",,,False,False,,,Constructor Resurrection,https://yugipedia.com/wiki/Constructor_Resurrection,,2022-12-13 09:03:17
Constructor Ridge Wyrm Handtoolon,Monster Card,,"('Constructor',)",EARTH,Fusion Monster,Wyrm,"('Effect',)",7,1300,False,False,2500,,Constructor Ridge Wyrm Handtoolon,https://yugipedia.com/wiki/Constructor_Ridge_Wyrm_Handtoolon,,2022-12-13 08:57:26
Constructor Sky Wyrm Gantry Dragon,Monster Card,,"('Constructor',)",EARTH,Effect Monster,Wyrm,"('Effect',)",8,2000,False,False,2500,,Constructor Sky Wyrm Gantry Dragon,https://yugipedia.com/wiki/Constructor_Sky_Wyrm_Gantry_Dragon,,2023-01-16 01:56:25
Constructor Soldier Drillzard,Monster Card,,"('Constructor',)",EARTH,Normal Monster,Wyrm,,3,800,False,False,1100,,Constructor Soldier Drillzard,https://yugipedia.com/wiki/Constructor_Soldier_Drillzard,,2022-09-21 05:34:19
Constructor Sword Foreman,Spell Card,Normal Spell Card,"('Constructor',)",,,,"('Effect',)",,,False,False,,,Constructor Sword Foreman,https://yugipedia.com/wiki/Constructor_Sword_Foreman,,2022-04-24 00:03:08
Constructor Warrior Shovelon,Monster Card,,"('Constructor',)",EARTH,Normal Monster,Wyrm,,4,0,False,False,1500,,Constructor Warrior Shovelon,https://yugipedia.com/wiki/Constructor_Warrior_Shovelon,,2022-09-21 05:24:04
Constructor Wyrm Buildragon,Monster Card,,"('Constructor',)",EARTH,Effect Monster,Wyrm,"('Effect',)",8,2000,False,False,2500,,Constructor Wyrm Buildragon,https://yugipedia.com/wiki/Constructor_Wyrm_Buildragon,"('Alternate',)",2022-09-25 02:59:24
Contacton the Music Princess,Monster Card,,"('Music Princess',)",WIND,Normal Monster,Warrior,,1,500,False,False,0,,Contacton the Music Princess,https://yugipedia.com/wiki/Contacton_the_Music_Princess,,2022-12-29 23:53:23
The Copy,Spell Card,Normal Spell Card,"('The',)",,,,"('Effect',)",,,False,False,,,The Copy,https://yugipedia.com/wiki/The_Copy,,2023-01-21 14:36:12
Corktrooper,Monster Card,,,EARTH,Effect Monster,Machine,"('Effect',)",4,900,False,False,1400,,Corktrooper,https://yugipedia.com/wiki/Corktrooper,,2023-01-03 23:08:31
Corruption of the Blaze Fiends,Spell Card,Normal Spell Card,"('Blaze Fiend',)",,,,"('Effect',)",,,False,False,,,Corruption of the Blaze Fiends,https://yugipedia.com/wiki/Corruption_of_the_Blaze_Fiends,,2022-11-26 12:34:50
Cosmic String Noodryad,Monster Card,,,DARK,Effect Monster,Pyro,"('Effect',)",8,1000,False,False,2500,,Cosmic String Noodryad,https://yugipedia.com/wiki/Cosmic_String_Noodryad,"('Alternate', 'Edited')",2022-12-21 09:44:19
Cosmo Aurorizer,Monster Card,,,LIGHT,Effect Monster,Galaxy (Type),"('Effect',)",6,1300,False,False,1700,,Cosmo Aurorizer,https://yugipedia.com/wiki/Cosmo_Aurorizer,,2022-12-21 09:14:10
Cosmo Clean,Monster Card,,"('Bubble Actress',)",LIGHT,Normal Monster,Aqua,,7,2400,False,False,2400,,Cosmo Clean,https://yugipedia.com/wiki/Cosmo_Clean,,2022-11-13 13:12:13
Cosmo Predictor,Monster Card,,,LIGHT,Effect Monster,Galaxy (Type),"('Effect',)",2,0,False,False,600,,Cosmo Predictor,https://yugipedia.com/wiki/Cosmo_Predictor,,2023-01-03 23:11:56
Cosmo Titan,Monster Card,,,LIGHT,Normal Monster,Galaxy (Type),,7,1800,False,False,2300,,Cosmo Titan,https://yugipedia.com/wiki/Cosmo_Titan,,2022-12-21 09:13:47
Cosmoscallion,Monster Card,,,DARK,Normal Monster,Pyro,,4,1400,False,False,400,,Cosmoscallion,https://yugipedia.com/wiki/Cosmoscallion,,2022-09-12 09:29:03
Counter Back,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Counter Back,https://yugipedia.com/wiki/Counter_Back,,2022-09-25 03:02:45
Counter Cannonball,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Counter Cannonball,https://yugipedia.com/wiki/Counter_Cannonball,,2022-09-21 03:18:16
Counter Pigeons,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Counter Pigeons,https://yugipedia.com/wiki/Counter_Pigeons,,2022-10-20 07:33:52
Counter Shield,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Counter Shield,https://yugipedia.com/wiki/Counter_Shield,,2022-09-21 04:37:36
Covering Barrage,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Covering Barrage,https://yugipedia.com/wiki/Covering_Barrage,,2022-09-21 05:28:54
Crack Fall,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Crack Fall,https://yugipedia.com/wiki/Crack_Fall,,2022-09-25 03:04:46
Crack Neutron,Monster Card,,,LIGHT,Normal Monster,Galaxy (Type),,1,1500,False,False,0,,Crack Neutron,https://yugipedia.com/wiki/Crack_Neutron,,2023-02-15 16:03:50
Cracking Claw,Spell Card,Equip Spell Card,"('High Tech Dragon',)",,,,"('Effect',)",,,False,False,,,Cracking Claw,https://yugipedia.com/wiki/Cracking_Claw,,2023-01-21 14:33:26
Crafter Drone,Monster Card,,,EARTH,Effect Monster,Machine,"('Effect',)",3,0,False,False,1000,,Crafter Drone,https://yugipedia.com/wiki/Crafter_Drone,,2022-12-21 09:23:20
Craftroll,Monster Card,,,EARTH,Normal Monster,Machine,,3,0,False,False,1100,,Craftroll,https://yugipedia.com/wiki/Craftroll,,2022-12-21 09:23:40
Cranked to Ten!!,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Cranked to Ten!!,https://yugipedia.com/wiki/Cranked_to_Ten!!,,2022-09-25 03:02:12
Crawling Dragon,Monster Card,,,EARTH,Normal Monster,Dragon,,5,1400,False,False,1600,,Crawling Dragon (Rush Duel),https://yugipedia.com/wiki/Crawling_Dragon_(Rush_Duel),,2022-09-21 03:20:30
The Creator,Monster Card,,,LIGHT,Effect Monster,Thunder,"('Effect',)",8,3000,True,False,2300,,The Creator (Rush Duel),https://yugipedia.com/wiki/The_Creator_(Rush_Duel),,2022-09-21 05:55:48
Cremation Dog Nitro,Monster Card,,"('Chemistry',)",FIRE,Effect Monster,Pyro,"('Effect',)",2,400,False,False,400,,Cremation Dog Nitro,https://yugipedia.com/wiki/Cremation_Dog_Nitro,,2022-12-21 09:46:20
Crisis at the Sacred Tower,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Crisis at the Sacred Tower,https://yugipedia.com/wiki/Crisis_at_the_Sacred_Tower,,2023-01-10 18:58:12
Cross Promotion the Elite Noodle Ninja,Monster Card,,"('Noodle Ninja',)",FIRE,Normal Monster,Pyro,,7,0,False,False,2500,,Cross Promotion the Elite Noodle Ninja,https://yugipedia.com/wiki/Cross_Promotion_the_Elite_Noodle_Ninja,,2022-12-21 09:44:44
Cross Target,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Cross Target,https://yugipedia.com/wiki/Cross_Target,,2022-10-20 07:03:07
Crusher Drone,Monster Card,,,EARTH,Effect Monster,Machine,"('Effect',)",4,200,False,False,1200,,Crusher Drone,https://yugipedia.com/wiki/Crusher_Drone,,2022-12-21 09:22:41
Crying Moon Rabbit,Monster Card,,,LIGHT,Normal Monster,Beast,,1,1400,False,False,0,,Crying Moon Rabbit,https://yugipedia.com/wiki/Crying_Moon_Rabbit,,2022-04-23 23:40:31
Crystal Brain,Monster Card,,,WATER,Effect Monster,Cyberse,"('Effect',)",4,0,False,False,1100,,Crystal Brain,https://yugipedia.com/wiki/Crystal_Brain,,2022-09-25 03:01:32
Cure Shot,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Cure Shot,https://yugipedia.com/wiki/Cure_Shot,,2022-10-20 07:42:45
Curse of Dragon,Monster Card,,,DARK,Normal Monster,Dragon,,5,1500,False,False,2000,,Curse of Dragon (Rush Duel),https://yugipedia.com/wiki/Curse_of_Dragon_(Rush_Duel),,2022-09-26 12:56:03
The Cursed Cat Counting Dishes,Trap Card,Normal Trap Card,"('Ghost Story',)",,,,"('Effect',)",,,False,False,,,The Cursed Cat Counting Dishes,https://yugipedia.com/wiki/The_Cursed_Cat_Counting_Dishes,,2022-10-20 06:57:29
Cursed Skeletal Dragon Diarga,Monster Card,,,DARK,Effect Monster,Zombie,"('Effect',)",4,0,False,False,1000,,Cursed Skeletal Dragon Diarga,https://yugipedia.com/wiki/Cursed_Skeletal_Dragon_Diarga,,2022-10-20 06:56:56
Cursed Sword of the East,Spell Card,Normal Spell Card,,,,,,,,False,False,,,Cursed Sword of the East,https://yugipedia.com/wiki/Cursed_Sword_of_the_East,,2021-12-07 19:38:04
Curtain of Sparks,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Curtain of Sparks,https://yugipedia.com/wiki/Curtain_of_Sparks,,2022-10-20 07:07:58
Cyber Assault Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)",LIGHT,Effect Monster,Machine,"('Effect',)",8,1800,False,False,2400,,Cyber Assault Dragon,https://yugipedia.com/wiki/Cyber_Assault_Dragon,,2022-11-26 12:43:07
Cyber Coatl,Monster Card,,,LIGHT,Effect Monster,Machine,"('Effect',)",3,1200,False,False,500,,Cyber Coatl,https://yugipedia.com/wiki/Cyber_Coatl,,2023-01-21 14:04:40
Cyber Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)",LIGHT,Effect Monster,Machine,"('Summoning condition',)",5,1600,False,False,2100,,Cyber Dragon (Rush Duel),https://yugipedia.com/wiki/Cyber_Dragon_(Rush_Duel),,2022-11-26 12:45:24
Cyber End Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)",LIGHT,Fusion Monster,Machine,"('Continuous Effect',)",10,2800,False,False,4000,,Cyber End Dragon (Rush Duel),https://yugipedia.com/wiki/Cyber_End_Dragon_(Rush_Duel),,2022-11-26 12:38:01
Cyber Entry,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Cyber Entry,https://yugipedia.com/wiki/Cyber_Entry,,2022-11-26 12:55:54
Cyber Falcon,Monster Card,,,WIND,Normal Monster,Machine,,4,1200,False,False,1400,,Cyber Falcon (Rush Duel),https://yugipedia.com/wiki/Cyber_Falcon_(Rush_Duel),,2022-02-09 02:41:39
Cyber Gryphon,Monster Card,,,LIGHT,Effect Monster,Machine,"('Effect',)",4,1300,False,False,1200,,Cyber Gryphon,https://yugipedia.com/wiki/Cyber_Gryphon,,2022-11-26 12:51:51
Cyber Rush Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)",LIGHT,Fusion Monster,Machine,"('Effect',)",8,2100,False,False,2800,,Cyber Rush Dragon,https://yugipedia.com/wiki/Cyber_Rush_Dragon,,2022-11-26 12:40:57
Cyber Search Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)",LIGHT,Effect Monster,Machine,"('Effect',)",8,1600,False,False,2400,,Cyber Search Dragon,https://yugipedia.com/wiki/Cyber_Search_Dragon,,2023-01-23 15:50:11
Cyber Serpent,Monster Card,,,LIGHT,Effect Monster,Machine,"('Effect',)",1,0,False,False,0,,Cyber Serpent,https://yugipedia.com/wiki/Cyber_Serpent,,2022-11-26 12:54:31
Cyber Soldier of Darkworld,Monster Card,,,DARK,Normal Monster,Machine,,4,1200,False,False,1400,,Cyber Soldier of Darkworld (Rush Duel),https://yugipedia.com/wiki/Cyber_Soldier_of_Darkworld_(Rush_Duel),,2022-09-20 11:21:17
Cyber Stealth Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)",LIGHT,Effect Monster,Machine,"('Continuous Effect',)",8,800,False,False,2500,,Cyber Stealth Dragon,https://yugipedia.com/wiki/Cyber_Stealth_Dragon,,2022-11-26 12:44:17
Cyber Twin Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)",LIGHT,Fusion Monster,Machine,"('Continuous Effect',)",8,2100,False,False,2800,,Cyber Twin Dragon (Rush Duel),https://yugipedia.com/wiki/Cyber_Twin_Dragon_(Rush_Duel),,2022-11-26 12:40:05
Cyber-Stein Frankenshrine,Monster Card,,,DARK,Effect Monster,Zombie,"('Effect',)",7,0,False,False,2500,,Cyber-Stein Frankenshrine,https://yugipedia.com/wiki/Cyber-Stein_Frankenshrine,,2023-01-16 21:35:23
Cyber-Tech Alligator,Monster Card,,,WIND,Normal Monster,Machine,,5,1600,True,False,2500,,Cyber-Tech Alligator (Rush Duel),https://yugipedia.com/wiki/Cyber-Tech_Alligator_(Rush_Duel),,2022-09-21 05:31:31
Cyc the Child of Wind,Monster Card,,,WIND,Effect Monster,Spellcaster,,2,600,False,False,400,,Cyc the Child of Wind,https://yugipedia.com/wiki/Cyc_the_Child_of_Wind,,2023-02-15 17:28:58
Cycliptron,Monster Card,,"('Tron (series)',)",LIGHT,Normal Monster,Cyberse,,4,1500,False,False,100,,Cycliptron,https://yugipedia.com/wiki/Cycliptron,,2022-12-10 20:37:37
Cylinder of Chaos Slots,Trap Card,Normal Trap Card,,,,,,,,False,False,,,Cylinder of Chaos Slots,https://yugipedia.com/wiki/Cylinder_of_Chaos_Slots,,2023-02-06 02:08:56
Dahlia the Sprouting Shadow Flower,Monster Card,,"('Shadow Flower',)",EARTH,Normal Monster,Plant,,2,1500,False,False,300,,Dahlia the Sprouting Shadow Flower,https://yugipedia.com/wiki/Dahlia_the_Sprouting_Shadow_Flower,,2022-10-09 13:44:36
"Dahut Abyss, Dark Mirror Ruler of the Chair",Monster Card,,"('Chair',)",DARK,Effect Monster,Fiend,"('Effect',)",7,2400,False,False,0,,"Dahut Abyss, Dark Mirror Ruler of the Chair","https://yugipedia.com/wiki/Dahut_Abyss,_Dark_Mirror_Ruler_of_the_Chair",,2022-10-30 07:49:01
"Dahut, Dark Ruler of the Chair",Monster Card,,"('Chair',)",DARK,Effect Monster,Fiend,"('Effect',)",7,2400,False,False,0,,"Dahut, Dark Ruler of the Chair","https://yugipedia.com/wiki/Dahut,_Dark_Ruler_of_the_Chair",,2022-09-12 09:22:39
Daigyakutenno Megami,Monster Card,,,LIGHT,Effect Monster,Fairy,"('Effect',)",7,2000,False,False,2400,,Daigyakutenno Megami,https://yugipedia.com/wiki/Daigyakutenno_Megami,,2022-12-10 16:51:21
Daor of Dragon,Trap Card,Normal Trap Card,,,,,,,,False,False,,,Daor of Dragon,https://yugipedia.com/wiki/Daor_of_Dragon,,2023-02-04 00:06:50
Dark Butter,Trap Card,Normal Trap Card,,,,,,,,False,False,,,Dark Butter,https://yugipedia.com/wiki/Dark_Butter,,2022-07-04 20:33:03
Dark Factory of Mass Production,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,True,False,,,Dark Factory of Mass Production (Rush Duel),https://yugipedia.com/wiki/Dark_Factory_of_Mass_Production_(Rush_Duel),,2022-10-10 09:06:57
Dark Femtron,Monster Card,,"('Tron (series)',)",DARK,Normal Monster,Cyberse,,4,100,False,False,1500,,Dark Femtron,https://yugipedia.com/wiki/Dark_Femtron,,2022-09-21 05:25:54
Dark Hole,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,True,False,,,Dark Hole (Rush Duel),https://yugipedia.com/wiki/Dark_Hole_(Rush_Duel),,2022-11-26 13:57:42
Dark Magic Attack,Spell Card,Normal Spell Card,"('Signature move',)",,,,"('Effect',)",,,False,False,,,Dark Magic Attack (Rush Duel),https://yugipedia.com/wiki/Dark_Magic_Attack_(Rush_Duel),,2022-09-21 03:35:55
Dark Magician,Monster Card,,,DARK,Normal Monster,Spellcaster,,7,2100,True,False,2500,,Dark Magician (Rush Duel),https://yugipedia.com/wiki/Dark_Magician_(Rush_Duel),"('Alternate',)",2023-01-31 20:13:42
Dark Magician Girl,Monster Card,,,DARK,Effect Monster,Spellcaster,"('Continuous Effect',)",6,1700,False,False,2000,,Dark Magician Girl (Rush Duel),https://yugipedia.com/wiki/Dark_Magician_Girl_(Rush_Duel),"('Alternate', 'Edited')",2023-01-31 20:29:00
Dark Nebula,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Dark Nebula,https://yugipedia.com/wiki/Dark_Nebula,,2023-01-21 14:49:35
Dark Prophet,Monster Card,,,DARK,Effect Monster,Galaxy (Type),"('Effect',)",1,0,False,False,0,,Dark Prophet,https://yugipedia.com/wiki/Dark_Prophet,,2023-01-19 15:39:17
Dark Reincarnation,Trap Card,Normal Trap Card,,,,,,,,False,False,,,Dark Reincarnation,https://yugipedia.com/wiki/Dark_Reincarnation,,2022-01-09 15:04:32
Dark Resonance Burst,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Dark Resonance Burst,https://yugipedia.com/wiki/Dark_Resonance_Burst,,2022-09-25 03:02:24
Dark Revelation,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Dark Revelation,https://yugipedia.com/wiki/Dark_Revelation,,2022-09-25 03:02:51
Dark Rise,Spell Card,Normal Spell Card,,,,,,,,False,False,,,Dark Rise,https://yugipedia.com/wiki/Dark_Rise,,2023-02-03 23:05:59
Dark Skeleton Dead Ruler,Monster Card,,"('Ghost Story',)",DARK,Effect Monster,Zombie,"('Effect',)",7,1500,False,False,2500,,Dark Skeleton Dead Ruler,https://yugipedia.com/wiki/Dark_Skeleton_Dead_Ruler,,2022-10-20 06:59:28
Dark Sorcerer,Monster Card,,,DARK,Normal Monster,Spellcaster,,4,0,False,False,1500,,Dark Sorcerer,https://yugipedia.com/wiki/Dark_Sorcerer,,2022-10-20 07:08:39
Dark-Eyes Breakstar Cat,Monster Card,,"('Cat (Rush Duel series)',)",DARK,Effect Monster,Beast,"('Effect',)",7,200,False,False,2200,,Dark-Eyes Breakstar Cat,https://yugipedia.com/wiki/Dark-Eyes_Breakstar_Cat,,2023-01-21 14:03:51
Darklord Zerato,Monster Card,,,DARK,Effect Monster,Fairy,"('Effect', 'Summoning condition')",8,2300,True,False,2800,,Darklord Zerato (Rush Duel),https://yugipedia.com/wiki/Darklord_Zerato_(Rush_Duel),,2023-02-04 14:27:22
Darkness Approaches,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Darkness Approaches (Rush Duel),https://yugipedia.com/wiki/Darkness_Approaches_(Rush_Duel),,2022-09-21 02:59:14
Darkness Crested Hawk,Monster Card,,,DARK,Effect Monster,Winged Beast,"('Effect',)",7,2300,False,False,2100,,Darkness Crested Hawk,https://yugipedia.com/wiki/Darkness_Crested_Hawk,,2022-12-21 09:52:25
Darkness Deal,Trap Card,Normal Trap Card,"('Darkness (Rush Duel series)',)",,,,,,,False,False,,,Darkness Deal,https://yugipedia.com/wiki/Darkness_Deal,,2022-08-11 03:45:51
Darkness Disorder,Trap Card,Normal Trap Card,"('Darkness (Rush Duel series)',)",,,,,,,False,False,,,Darkness Disorder,https://yugipedia.com/wiki/Darkness_Disorder,,2023-02-08 23:13:13
Darkness Divine,Spell Card,Normal Spell Card,"('Darkness (Rush Duel series)',)",,,,,,,False,False,,,Darkness Divine,https://yugipedia.com/wiki/Darkness_Divine,,2022-04-30 02:53:37
Darkness Fault,Trap Card,Normal Trap Card,"('Darkness (Rush Duel series)',)",,,,,,,False,False,,,Darkness Fault,https://yugipedia.com/wiki/Darkness_Fault,,2022-08-14 02:02:22
Darkness Fource Seeker,Monster Card,,"('Darkness (Rush Duel series)',)",DARK,Effect Monster,Spellcaster,"('Effect',)",4,600,False,False,1100,,Darkness Fource Seeker,https://yugipedia.com/wiki/Darkness_Fource_Seeker,,2022-10-20 07:10:32
Darkness Magic 549,Spell Card,Normal Spell Card,"('Darkness (Rush Duel series)',)",,,,,,,False,False,,,Darkness Magic 549,https://yugipedia.com/wiki/Darkness_Magic_549,,2023-02-08 23:16:27
Darkness Reborn,Trap Card,Normal Trap Card,"('Darkness (Rush Duel series)',)",,,,,,,False,False,,,Darkness Reborn,https://yugipedia.com/wiki/Darkness_Reborn,,2023-02-09 15:55:48
Darkness Restrain,Trap Card,Normal Trap Card,"('Darkness (Rush Duel series)',)",,,,,,,False,False,,,Darkness Restrain,https://yugipedia.com/wiki/Darkness_Restrain,,2023-02-08 23:15:50
Darkness Ri-chair-al,Spell Card,Normal Spell Card,"('Chair',)",,,,"('Effect',)",,,False,False,,,Darkness Ri-chair-al,https://yugipedia.com/wiki/Darkness_Ri-chair-al,,2022-10-30 07:48:46
Darkness Road,Spell Card,Field Spell Card,"('Darkness (Rush Duel series)',)",,,,"('Effect',)",,,False,False,,,Darkness Road,https://yugipedia.com/wiki/Darkness_Road,,2022-10-20 07:08:16
Darkness Rogue,Monster Card,,"('Darkness (Rush Duel series)',)",DARK,Effect Monster,Spellcaster,"('Effect',)",2,600,False,False,700,,Darkness Rogue,https://yugipedia.com/wiki/Darkness_Rogue,,2023-01-03 23:11:27
Darkness Sanga,Monster Card,,"('Darkness (Rush Duel series)',)",DARK,Effect Monster,Spellcaster,,3,0,False,False,700,,Darkness Sanga,https://yugipedia.com/wiki/Darkness_Sanga,,2022-04-30 02:48:49
Darkness Singularity,Spell Card,Normal Spell Card,"('Darkness (Rush Duel series)',)",,,,,,,False,False,,,Darkness Singularity,https://yugipedia.com/wiki/Darkness_Singularity,,2022-04-30 02:53:52
Darkness Zerorogue,Monster Card,,"('Darkness (Rush Duel series)',)",DARK,Effect Monster,Spellcaster,"('Effect',)",7,2100,False,False,1500,,Darkness Zerorogue,https://yugipedia.com/wiki/Darkness_Zerorogue,,2022-10-20 07:10:38
Daybreak Warrior,Monster Card,,,DARK,Effect Monster,Warrior,"('Effect',)",6,400,False,False,1700,,Daybreak Warrior,https://yugipedia.com/wiki/Daybreak_Warrior,,2022-12-10 20:57:46
Dead or Arainac,Trap Card,Normal Trap Card,,,,,,,,False,False,,,Dead or Arainac,https://yugipedia.com/wiki/Dead_or_Arainac,,2023-01-04 02:38:14
Decalnotaurus Shield,Trap Card,Normal Trap Card,"('Dynakit',)",,,,,,,False,False,,,Decalnotaurus Shield,https://yugipedia.com/wiki/Decalnotaurus_Shield,,2022-11-17 03:55:43
Decennium Mystic Sword,Monster Card,,,EARTH,Normal Monster,Warrior,,3,1400,False,False,200,,Decennium Mystic Sword,https://yugipedia.com/wiki/Decennium_Mystic_Sword,,2022-12-19 09:38:52
Defender of Dragon Sorcerers,Monster Card,,,LIGHT,Effect Monster,Spellcaster,"('Effect',)",2,500,False,False,500,,Defender of Dragon Sorcerers,https://yugipedia.com/wiki/Defender_of_Dragon_Sorcerers,,2022-09-21 03:18:25
Defense Destroying Sword,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Defense Destroying Sword,https://yugipedia.com/wiki/Defense_Destroying_Sword,,2023-01-30 10:13:24
Defensive Breath,Trap Card,Normal Trap Card,,,,,,,,False,False,,,Defensive Breath,https://yugipedia.com/wiki/Defensive_Breath,,2023-01-24 20:10:58
Dekorelic Dessert,Spell Card,Normal Spell Card,,,,,"('Effect',)",,,False,False,,,Dekorelic Dessert,https://yugipedia.com/wiki/Dekorelic_Dessert,,2022-12-19 09:11:50
Delight of the Mighty,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Delight of the Mighty,https://yugipedia.com/wiki/Delight_of_the_Mighty,,2022-11-02 17:25:22
Delirium Lampyris,Monster Card,,,LIGHT,Effect Monster,Insect,"('Effect',)",2,1200,False,False,800,,Delirium Lampyris,https://yugipedia.com/wiki/Delirium_Lampyris,,2022-11-26 13:47:37
Delirium Papillon,Monster Card,,,LIGHT,Effect Monster,Insect,"('Effect',)",2,1200,False,False,800,,Delirium Papillon,https://yugipedia.com/wiki/Delirium_Papillon,,2022-11-17 12:09:55
Demi-glace Dark Witch,Monster Card,,"('Bubble Actress',)",FIRE,Normal Monster,Aqua,,4,0,False,False,1500,,Demi-glace Dark Witch,https://yugipedia.com/wiki/Demi-glace_Dark_Witch,,2022-09-04 10:58:02
Demolisher Wyrm Roar,Trap Card,Normal Trap Card,,,,,"('Effect',)",,,False,False,,,Demolisher Wyrm Roar,https://yugipedia.com/wiki/Demolisher_Wyrm_Roar,,2022-12-13 15:31:37
