Name,Archseries,Modification date,Version
Vehicroid Connection Zone,"('Roid', 'Vehicroid')",2023-03-20 18:28:22,New
Volcanic Doomfire,,2023-05-27 11:03:43,Old
Volcanic Doomfire,"('Volcanic',)",2023-05-27 11:03:43,New
Volcanic Shell,,2023-05-27 10:58:32,Old
Volcanic Shell,"('Volcanic',)",2023-06-17 16:20:51,New
W-Wing Catapult,,2023-03-20 19:06:32,Old
W-Wing Catapult,"('A-to-Z',)",2023-03-20 19:06:32,New
Winged Kuriboh,,2023-03-20 19:53:08,Old
Winged Kuriboh,"('Kuriboh (archetype)', 'Winged Kuriboh (archetype)')",2023-03-20 19:53:08,New
XYZ-Dragon Cannon,,2023-05-14 22:25:44,Old
XYZ-Dragon Cannon,"('A-to-Z',)",2023-05-14 22:25:44,New
Y-Dragon Head,,2023-05-14 22:21:45,Old
Y-Dragon Head,"('A-to-Z',)",2023-05-14 22:21:45,New
YZ-Tank Dragon,,2023-03-16 02:40:28,Old
YZ-Tank Dragon,"('A-to-Z',)",2023-03-16 02:40:28,New
Z-Metal Tank,,2023-05-14 22:22:09,Old
Z-Metal Tank,"('A-to-Z',)",2023-05-14 22:22:09,New
Zoma the Spirit,,2023-05-10 10:30:41,Old
Zoma the Spirit,"('Trap Monster',)",2023-05-10 10:30:41,New
"Zure, Knight of Dark World",,2023-03-31 17:11:12,Old
"Zure, Knight of Dark World","('Dark World',)",2023-03-31 17:11:12,New
