Name,Archseries,Effect type,Modification date,Version
Kunai with Chain,"('with Chain',)","('Activation condition', 'Condition', 'Continuous-like Effect', 'Effect')",2023-03-15 04:16:00,Old
Kunai with Chain,,"('Activation condition', 'Condition', 'Continuous-like Effect', 'Effect')",2023-03-15 04:16:00,New
Kycoo the Ghost Destroyer,"('Name-Inverted Spiritualist',)","('Continuous Effect', 'Trigger Effect')",2023-03-19 11:59:44,Old
Kycoo the Ghost Destroyer,,"('Continuous Effect', 'Trigger Effect')",2023-03-19 11:59:44,New
Lancer Archfiend,"('Archfiend',)","('Trigger Effect',)",2023-03-19 12:07:20,Old
Lancer Archfiend,,"('Trigger Effect',)",2023-03-19 12:07:20,New
Lesser Fiend,"('Archfiend',)","('Condition', 'Continuous Effect')",2023-04-15 16:01:59,Old
Lesser Fiend,,"('Condition', 'Continuous Effect')",2023-04-15 16:01:59,New
Levia-Dragon - Daedalus,"('Daedalus',)","('Ignition Effect',)",2023-05-18 19:57:07,Old
Levia-Dragon - Daedalus,,"('Ignition Effect',)",2023-05-18 19:57:07,New
Luster Dragon,"('Gem Dragon',)",,2023-03-31 19:13:31,Old
Luster Dragon,,,2023-03-31 19:13:31,New
Luster Dragon #2,"('Gem Dragon',)",,2023-03-31 19:13:12,Old
Luster Dragon #2,,,2023-03-31 19:13:12,New
Machina Peacekeeper,"('Machina',)","('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",2023-03-19 13:47:40,Old
Machina Peacekeeper,,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",2023-03-19 13:47:40,New
Machine Angel Ritual,"('Machine Angel',)","('Effect', 'Unclassified effect')",2023-05-10 10:36:14,Old
Machine Angel Ritual,,"('Effect', 'Unclassified effect')",2023-05-10 10:36:14,New
Machine King - 3000 B.C.,"('Machine King (series)', 'Trap Monster')","('Condition', 'Effect', 'Ignition Effect')",2023-03-19 13:52:33,Old
Machine King - 3000 B.C.,,"('Condition', 'Effect', 'Ignition Effect')",2023-03-19 13:52:33,New
Magician of Black Chaos,"('Chaos',)",,2023-03-19 14:35:35,Old
Magician of Black Chaos,,,2023-03-19 14:35:35,New
Man-Eater Bug,"('Man-Eater Bug (series)',)","('Trigger Effect',)",2023-05-14 13:06:01,Old
Man-Eater Bug,,"('Trigger Effect',)",2023-05-14 13:06:01,New
Manga Ryu-Ran,"('Toon',)","('Condition', 'Continuous Effect', 'Summoning condition')",2023-05-17 11:53:28,Old
Manga Ryu-Ran,,"('Condition', 'Continuous Effect', 'Summoning condition')",2023-05-17 11:53:28,New
Mask of Brutality,"('Mask',)","('Continuous-like Effect', 'Maintenance cost')",2023-03-19 15:35:47,Old
Mask of Brutality,,"('Continuous-like Effect', 'Maintenance cost')",2023-03-19 15:35:47,New
Mist Archfiend,"('Archfiend',)","('Trigger Effect', 'Unclassified effect')",2023-04-08 22:42:15,Old
Mist Archfiend,,"('Trigger Effect', 'Unclassified effect')",2023-04-08 22:42:15,New
Mixeroid,"('roid',)","('Condition', 'Ignition Effect')",2023-03-19 17:18:09,Old
Mixeroid,,"('Condition', 'Ignition Effect')",2023-03-19 17:18:09,New
Mokey Mokey,"('Mokey Mokey (archetype)',)",,2023-03-19 17:20:41,Old
Mokey Mokey,,,2023-03-19 17:20:41,New
Moray of Greed,"('Greed (series)',)","('Effect',)",2023-03-19 17:32:22,Old
Moray of Greed,,"('Effect',)",2023-03-19 17:32:22,New
Ojama Black,"('Ojama',)",,2023-05-18 20:37:23,Old
Ojama Black,,,2023-05-18 20:37:23,New
Ojama Blue,"('Ojama',)","('Trigger Effect',)",2023-05-07 19:38:43,Old
Ojama Blue,,"('Trigger Effect',)",2023-05-07 19:38:43,New
Ojama Country,"('Ojama',)","('Continuous-like Effect', 'Ignition-like Effect')",2023-03-19 20:46:55,Old
Ojama Country,,"('Continuous-like Effect', 'Ignition-like Effect')",2023-03-19 20:46:55,New
Ojama Yellow,"('Ojama',)",,2023-05-18 20:37:40,Old
Ojama Yellow,,,2023-05-18 20:37:40,New
Ojamagic,"('Ojama',)","('Trigger Effect',)",2023-03-19 20:49:35,Old
Ojamagic,,"('Trigger Effect',)",2023-03-19 20:49:35,New
Perfectly Ultimate Great Moth,"('Moth',)","('Summoning condition',)",2023-03-19 21:50:41,Old
Perfectly Ultimate Great Moth,,"('Summoning condition',)",2023-03-19 21:50:41,New
Phantom Beast Wild-Horn,"('Phantom Beast',)","('Continuous Effect',)",2023-03-19 22:28:56,Old
Phantom Beast Wild-Horn,,"('Continuous Effect',)",2023-03-19 22:28:56,New
Polymerization,"('Polymerization (archetype)',)","('Effect',)",2023-05-14 22:28:56,Old
Polymerization,,"('Effect',)",2023-05-14 22:28:56,New
Puppet Master,"('Puppet',)","('Trigger Effect',)",2023-03-19 23:52:03,Old
Puppet Master,,"('Trigger Effect',)",2023-03-19 23:52:03,New
Queen's Knight,"('Three Musketeers of Face Cards',)",,2023-03-20 00:03:22,Old
Queen's Knight,,,2023-03-20 00:03:22,New
Rainbow Dark Dragon,"('Crystal', 'Dark counterpart', 'Ultimate Crystal')","('Condition', 'Ignition Effect', 'Summoning condition')",2023-03-20 00:24:57,Old
Rainbow Dark Dragon,,"('Condition', 'Ignition Effect', 'Summoning condition')",2023-03-20 00:24:57,New
Rainbow Dragon,"('Crystal', 'Ultimate Crystal')","('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",2023-05-27 00:12:32,Old
Rainbow Dragon,,"('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",2023-05-27 00:12:32,New
Rainbow Overdragon,"('Crystal', 'Ultimate Crystal')","('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",2023-03-20 00:26:37,Old
Rainbow Overdragon,,"('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",2023-03-20 00:26:37,New
Red-Eyes Black Dragon,"('-Eyes Dragon', 'Red-Eyes')",,2023-05-27 00:11:11,Old
Red-Eyes Black Dragon,,,2023-05-27 00:11:11,New
Red-Eyes Wyvern,"('Red-Eyes',)","('Condition', 'Trigger Effect')",2023-04-10 17:45:19,Old
Red-Eyes Wyvern,,"('Condition', 'Trigger Effect')",2023-04-10 17:45:19,New
"Reign-Beaux, Overlord of Dark World","('Dark World',)","('Trigger Effect',)",2023-04-12 06:32:46,Old
"Reign-Beaux, Overlord of Dark World",,"('Trigger Effect',)",2023-04-12 06:32:46,New
Relinquished,"('Relinquished (archetype)',)","('Continuous Effect', 'Ignition Effect', 'Summoning condition')",2023-05-17 12:10:28,Old
Relinquished,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",2023-05-17 12:10:28,New
Rescueroid,"('roid',)","('Trigger Effect',)",2023-03-20 05:35:40,Old
Rescueroid,,"('Trigger Effect',)",2023-06-08 06:40:35,New
Revival of Dokurorider,"('Rider',)","('Effect',)",2023-03-20 05:45:32,Old
Revival of Dokurorider,,"('Effect',)",2023-03-20 05:45:32,New
Ritual Weapon,"('Gishki',)","('Condition', 'Continuous-like Effect')",2023-03-20 06:00:47,Old
Ritual Weapon,,"('Condition', 'Continuous-like Effect')",2023-03-20 06:00:47,New
Robbin' Zombie,"('Zombie counterpart',)","('Trigger Effect',)",2023-05-18 19:48:56,Old
Robbin' Zombie,,"('Trigger Effect',)",2023-05-18 19:48:56,New
Ryu-Kishin Clown,"('Ryu-Kishin (series)',)","('Trigger Effect',)",2023-03-20 06:31:33,Old
Ryu-Kishin Clown,,"('Trigger Effect',)",2023-03-20 06:31:33,New
Ryu-Kishin Powered,"('Ryu-Kishin (series)',)",,2023-05-14 22:13:44,Old
Ryu-Kishin Powered,,,2023-05-14 22:13:44,New
Sealing Ceremony of Mokuton,"('Sealing Ceremony',)","('Quick-like Effect',)",2023-03-20 07:28:00,Old
Sealing Ceremony of Mokuton,,"('Quick-like Effect',)",2023-03-20 07:28:00,New
Shadowknight Archfiend,"('Archfiend',)","('Continuous Effect', 'Maintenance cost')",2023-05-19 20:56:32,Old
Shadowknight Archfiend,,"('Continuous Effect', 'Maintenance cost')",2023-05-19 20:56:32,New
Shard of Greed,"('Greed (series)',)","('Continuous-like Effect', 'Ignition-like Effect')",2023-03-20 07:54:22,Old
Shard of Greed,,"('Continuous-like Effect', 'Ignition-like Effect')",2023-03-20 07:54:22,New
Shining Abyss,"('Abyss-',)",,2023-03-20 08:01:20,Old
Shining Abyss,,,2023-03-20 08:01:20,New
Skilled Blue Magician,"('Skilled Magician',)","('Continuous Effect', 'Ignition Effect')",2023-03-20 08:31:13,Old
Skilled Blue Magician,,"('Continuous Effect', 'Ignition Effect')",2023-03-20 08:31:13,New
Skilled Red Magician,"('Skilled Magician',)","('Continuous Effect', 'Ignition Effect')",2023-03-20 08:31:56,Old
Skilled Red Magician,,"('Continuous Effect', 'Ignition Effect')",2023-03-20 08:31:56,New
Skreech,"('Fan-Made Cards',)","('Trigger Effect',)",2023-03-20 08:32:26,Old
Skreech,,"('Trigger Effect',)",2023-03-20 08:32:26,New
Skyscraper 2 - Hero City,"('Skyscraper (archetype)',)","('Ignition-like Effect',)",2023-03-15 04:14:25,Old
Skyscraper 2 - Hero City,,"('Ignition-like Effect',)",2023-03-15 04:14:25,New
Small Roid Big City,"('roid',)",,2023-03-20 08:47:29,Old
Small Roid Big City,"('Roid',)",,2023-03-20 08:47:29,New
Spider Egg,"('Spider',)","('Activation condition', 'Effect')",2023-03-20 09:32:37,Old
Spider Egg,,"('Activation condition', 'Effect')",2023-03-20 09:32:37,New
Spikeshield with Chain,"('with Chain',)","('Continuous-like Effect', 'Effect')",2023-03-20 09:34:09,Old
Spikeshield with Chain,"('With Chain',)","('Continuous-like Effect', 'Effect')",2023-03-20 09:34:09,New
Spirit of the Pharaoh,"('Sarcophagus',)","('Summoning condition', 'Trigger Effect')",2023-04-06 19:41:42,Old
Spirit of the Pharaoh,,"('Summoning condition', 'Trigger Effect')",2023-04-06 19:41:42,New
Stealthroid,"('roid',)","('Trigger Effect',)",2023-03-20 10:17:52,Old
Stealthroid,,"('Trigger Effect',)",2023-03-20 10:17:52,New
Steam Gyroid,"('roid',)",,2023-03-20 10:18:05,Old
Steam Gyroid,"('Roid',)",,2023-03-20 10:18:05,New
Steamroid,"('roid',)","('Continuous Effect',)",2023-03-20 10:18:29,Old
Steamroid,"('Roid',)","('Continuous Effect',)",2023-03-20 10:18:29,New
Submarineroid,"('roid',)","('Continuous Effect', 'Trigger Effect')",2023-06-04 17:42:59,Old
Submarineroid,"('Roid',)","('Continuous Effect', 'Trigger Effect')",2023-06-04 17:42:59,New
Super Vehicroid - Stealth Union,"('Vehicroid', 'roid')","('Continuous Effect', 'Ignition Effect')",2023-03-20 11:16:50,Old
Super Vehicroid - Stealth Union,"('Roid', 'Vehicroid')","('Continuous Effect', 'Ignition Effect')",2023-03-20 11:16:50,New
Super Vehicroid Jumbo Drill,"('Vehicroid', 'roid')","('Continuous Effect', 'Summoning condition')",2023-06-04 18:07:16,Old
Super Vehicroid Jumbo Drill,"('Roid', 'Vehicroid')","('Continuous Effect', 'Summoning condition')",2023-06-04 18:07:16,New
Swamp Mirrorer,"('Trap Monster',)","('Effect',)",2023-04-07 20:07:08,Old
Swamp Mirrorer,,"('Effect',)",2023-04-07 20:07:08,New
Terrorking Archfiend,"('Archfiend',)","('Continuous Effect', 'Maintenance cost', 'Summoning condition')",2023-05-19 20:55:36,Old
Terrorking Archfiend,,"('Continuous Effect', 'Maintenance cost', 'Summoning condition')",2023-05-19 20:55:36,New
The Masked Beast,"('Mask',)",,2023-03-20 14:06:51,Old
The Masked Beast,,,2023-03-20 14:06:51,New
The Rock Spirit,"('Attribute Spirit',)","('Continuous Effect', 'Summoning condition')",2023-03-15 01:29:26,Old
The Rock Spirit,,"('Continuous Effect', 'Summoning condition')",2023-03-15 01:29:26,New
The Roids are Alright,"('roid',)",,2023-03-20 14:22:43,Old
The Roids are Alright,,,2023-03-20 14:22:43,New
The Third Sarcophagus,"('Sarcophagus',)","('Condition',)",2023-04-06 19:41:39,Old
The Third Sarcophagus,,"('Condition',)",2023-04-06 19:41:39,New
Time Wizard,"('Magician',)","('Ignition Effect',)",2023-05-14 20:57:07,Old
Time Wizard,,"('Ignition Effect',)",2023-05-14 20:57:07,New
Toon Alligator,"('Toon',)",,2023-03-20 15:42:05,Old
Toon Alligator,,,2023-03-20 15:42:05,New
Toon Table of Contents,"('Toon',)","('Effect',)",2023-05-08 08:40:31,Old
Toon Table of Contents,,"('Effect',)",2023-05-08 08:40:31,New
Toon World,"('Toon',)","('Cost',)",2023-05-17 11:51:04,Old
Toon World,,"('Cost',)",2023-05-17 11:51:04,New
Triangle Ecstasy Spark,"('Signature move',)","('Effect',)",2023-03-20 16:27:56,Old
Triangle Ecstasy Spark,,"('Effect',)",2023-03-20 16:27:56,New
Truckroid,"('roid',)","('Continuous Effect', 'Trigger Effect')",2023-03-20 16:45:08,Old
Truckroid,,"('Continuous Effect', 'Trigger Effect')",2023-03-20 16:45:08,New
UFO Turtle,"('Attribute Summoner',)","('Trigger Effect',)",2023-05-17 11:48:09,Old
UFO Turtle,,"('Trigger Effect',)",2023-05-17 11:48:09,New
UFOroid,"('roid',)","('Trigger Effect',)",2023-05-12 23:13:30,Old
UFOroid,"('Roid',)","('Trigger Effect',)",2023-05-12 23:13:30,New
UFOroid Fighter,"('roid',)","('Continuous Effect', 'Summoning condition')",2023-05-12 23:21:29,Old
UFOroid Fighter,,"('Continuous Effect', 'Summoning condition')",2023-05-12 23:21:29,New
V-Tiger Jet,"('A-to-Z',)",,2023-03-20 18:06:25,Old
V-Tiger Jet,,,2023-03-20 18:06:25,New
VWXYZ-Dragon Catapult Cannon,"('A-to-Z',)","('Ignition Effect', 'Summoning condition', 'Trigger Effect')",2023-03-20 18:07:04,Old
VWXYZ-Dragon Catapult Cannon,,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')",2023-03-20 18:07:04,New
Vampire Baby,"('Vampire',)","('Trigger Effect',)",2023-05-15 18:45:42,Old
Vampire Baby,,"('Trigger Effect',)",2023-05-15 18:45:42,New
Vampire Genesis,"('Vampire',)","('Ignition Effect', 'Summoning condition')",2023-04-10 17:19:30,Old
Vampire Genesis,,"('Ignition Effect', 'Summoning condition')",2023-04-10 17:19:30,New
Vampire Lady,"('Vampire',)","('Trigger Effect',)",2023-04-10 17:19:28,Old
Vampire Lady,,"('Trigger Effect',)",2023-04-10 17:19:28,New
Vampire's Desire,"('Vampire',)","('Condition', 'Effect')",2023-04-10 17:19:21,Old
Vampire's Desire,,"('Condition', 'Effect')",2023-04-10 17:19:21,New
Vampiric Koala,"('Koala',)","('Trigger Effect',)",2023-04-06 19:41:30,Old
Vampiric Koala,,"('Trigger Effect',)",2023-04-06 19:41:30,New
Vehicroid Connection Zone,"('Vehicroid', 'roid')","('Effect',)",2023-03-20 18:28:22,Old
Vehicroid Connection Zone,,"('Effect',)",2023-03-20 18:28:22,New
Volcanic Doomfire,"('Volcanic',)","('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-05-27 11:03:43,Old
Volcanic Doomfire,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",2023-05-27 11:03:43,New
Volcanic Shell,"('Volcanic',)","('Condition', 'Ignition Effect')",2023-05-27 10:58:32,Old
Volcanic Shell,,"('Condition', 'Ignition Effect')",2023-05-27 10:58:32,New
W-Wing Catapult,"('A-to-Z',)","('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",2023-03-20 19:06:32,Old
W-Wing Catapult,,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",2023-03-20 19:06:32,New
Winged Kuriboh,"('Kuriboh (archetype)', 'Winged Kuriboh (archetype)')","('Trigger Effect',)",2023-03-20 19:53:08,Old
Winged Kuriboh,,"('Trigger Effect',)",2023-03-20 19:53:08,New
XYZ-Dragon Cannon,"('A-to-Z',)","('Ignition Effect', 'Summoning condition')",2023-05-14 22:25:44,Old
XYZ-Dragon Cannon,,"('Ignition Effect', 'Summoning condition')",2023-05-14 22:25:44,New
Y-Dragon Head,"('A-to-Z',)","('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",2023-05-14 22:21:45,Old
Y-Dragon Head,,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",2023-05-14 22:21:45,New
YZ-Tank Dragon,"('A-to-Z',)","('Ignition Effect', 'Summoning condition')",2023-03-16 02:40:28,Old
YZ-Tank Dragon,,"('Ignition Effect', 'Summoning condition')",2023-03-16 02:40:28,New
Z-Metal Tank,"('A-to-Z',)","('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",2023-05-14 22:22:09,Old
Z-Metal Tank,,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",2023-05-14 22:22:09,New
Zoma the Spirit,"('Trap Monster',)","('Effect', 'Trigger Effect')",2023-05-10 10:30:41,Old
Zoma the Spirit,,"('Effect', 'Trigger Effect')",2023-05-10 10:30:41,New
"Zure, Knight of Dark World","('Dark World',)",,2023-03-31 17:11:12,Old
"Zure, Knight of Dark World",,,2023-03-31 17:11:12,New
