Card number,Set,Name,Rarity,Print,Region,Page URL,Modification date,Release,Series,Set type,Cover card,Version
AGOV-JP037,Age of Overlord,Mannadium Trilosukda,"('Super Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP038,Age of Overlord,Wattaurus,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP038,Age of Overlord,Wattaurus,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP039,Age of Overlord,Xyz Armor Torpedo,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP039,Age of Overlord,Xyz Armor Torpedo,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP040,Age of Overlord,Xyz Armor Fortress,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP040,Age of Overlord,Xyz Armor Fortress,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP041,Age of Overlord,Full Armored DARK Lancer,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP041,Age of Overlord,Full Armored DARK Lancer,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP042,Age of Overlord,Stellar Nemesis T-PHON - Doomsday Star,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP042,Age of Overlord,Stellar Nemesis T-PHON - Doomsday Star,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP043,Age of Overlord,Infernal Flame Banshee,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP043,Age of Overlord,Infernal Flame Banshee,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP044,Age of Overlord,Transcendosaurus Exaraptor,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP044,Age of Overlord,Transcendosaurus Exaraptor,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP045,Age of Overlord,Exceed the Pendulum,"('Super Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP045,Age of Overlord,Exceed the Pendulum,"('Super Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP046,Age of Overlord,S:P Little Night,"('Super Rare', 'Secret Rare', 'QCScR')",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP046,Age of Overlord,S:P Little Night,"('Super Rare', 'Secret Rare', 'QCScR')",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP047,Age of Overlord,Pendulum Evolution,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP047,Age of Overlord,Pendulum Evolution,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP048,Age of Overlord,The Light-Winged Dragon,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP048,Age of Overlord,The Light-Winged Dragon,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP049,Age of Overlord,T.G. - Break Limiter,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP049,Age of Overlord,T.G. - Break Limiter,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP050,Age of Overlord,T.G. - All Clear,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP050,Age of Overlord,T.G. - All Clear,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP051,Age of Overlord,Xyz Entrust,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP051,Age of Overlord,Xyz Entrust,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP052,Age of Overlord,Planetary Elegy,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP052,Age of Overlord,Planetary Elegy,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP053,Age of Overlord,Planetary Eulogy,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP053,Age of Overlord,Planetary Eulogy,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP054,Age of Overlord,"""The Sinful Spoils Hunter Fiend""","('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP054,Age of Overlord,"""The Sinful Spoils Hunter Fiend""","('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP055,Age of Overlord,Sinful Spoils of Doom - Luciela,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP055,Age of Overlord,Sinful Spoils of Doom - Luciela,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP056,Age of Overlord,The Shrine of Serpentine Sight - Snake-Eye,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP056,Age of Overlord,The Shrine of Serpentine Sight - Snake-Eye,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP057,Age of Overlord,The Original Sinful Spoils - Snake-Eye,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP057,Age of Overlord,The Original Sinful Spoils - Snake-Eye,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP058,Age of Overlord,Pharaonic Sarcophagus,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP058,Age of Overlord,Pharaonic Sarcophagus,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP059,Age of Overlord,Fire Recovery,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP059,Age of Overlord,Fire Recovery,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP060,Age of Overlord,Synchro Rumble,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP060,Age of Overlord,Synchro Rumble,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP061,Age of Overlord,The Himorogi where Stars Align,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP061,Age of Overlord,The Himorogi where Stars Align,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP062,Age of Overlord,Wattkingdom,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP062,Age of Overlord,Wattkingdom,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP063,Age of Overlord,Ogdoadic Dawn of Creation,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP063,Age of Overlord,Ogdoadic Dawn of Creation,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP064,Age of Overlord,Concours de Cuisine,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP064,Age of Overlord,Concours de Cuisine,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP065,Age of Overlord,Angel Ring,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP065,Age of Overlord,Angel Ring,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP066,Age of Overlord,Card Scanner,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP066,Age of Overlord,Card Scanner,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP067,Age of Overlord,Lament of the Immortal Bushi,"('Normal Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP067,Age of Overlord,Lament of the Immortal Bushi,"('Normal Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP068,Age of Overlord,Miracle of the Supreme King,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP068,Age of Overlord,Miracle of the Supreme King,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP069,Age of Overlord,Soul of the Supreme Celestial King,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP069,Age of Overlord,Soul of the Supreme Celestial King,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP070,Age of Overlord,T.G. - Close,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP070,Age of Overlord,T.G. - Close,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP071,Age of Overlord,Full Armored Xyz,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP071,Age of Overlord,Full Armored Xyz,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP072,Age of Overlord,Sarv Sarga,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP072,Age of Overlord,Sarv Sarga,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP073,Age of Overlord,Loka Samsara,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP073,Age of Overlord,Loka Samsara,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP074,Age of Overlord,Sinful Spoils of Betrayal - Silvia,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP074,Age of Overlord,Sinful Spoils of Betrayal - Silvia,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP075,Age of Overlord,The Glaring Ruler Snake-Eyes,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP075,Age of Overlord,The Glaring Ruler Snake-Eyes,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP076,Age of Overlord,Canopic Protector,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP076,Age of Overlord,Canopic Protector,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP077,Age of Overlord,Nemleria Repette,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP077,Age of Overlord,Nemleria Repette,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP078,Age of Overlord,Vanquish Soul Snow Devil,"('Common',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP078,Age of Overlord,Vanquish Soul Snow Devil,"('Common',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP079,Age of Overlord,Seishou Ruten,"('Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP079,Age of Overlord,Seishou Ruten,"('Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
AGOV-JP080,Age of Overlord,Escapegoat,"('Normal Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-21 07:41:23,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
AGOV-JP080,Age of Overlord,Escapegoat,"('Normal Rare',)",New,JP,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-08-01 21:07:42,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",New
BOSH-ENSE3,Breakers of Shadow: Special Edition,Beacon of White,"('Super Rare',)",Reprint,EN,https://yugipedia.com/wiki/Set_Card_Lists:Breakers_of_Shadow:_Special_Edition_(TCG-EN),2023-03-23 11:27:52,2016-02-25,,Special Edition,,Old
BOSH-ENSE3,Breakers of Shadow: Special Edition,Beacon of White,"('Super Rare',)",New,EN,https://yugipedia.com/wiki/Set_Card_Lists:Breakers_of_Shadow:_Special_Edition_(TCG-EN),2023-08-06 18:26:24,2016-02-25,,Special Edition,,New
BOSH-ENSE4,Breakers of Shadow: Special Edition,Forge of the True Dracos,"('Super Rare',)",Reprint,EN,https://yugipedia.com/wiki/Set_Card_Lists:Breakers_of_Shadow:_Special_Edition_(TCG-EN),2023-03-23 11:27:52,2016-02-25,,Special Edition,,Old
BOSH-ENSE4,Breakers of Shadow: Special Edition,Forge of the True Dracos,"('Super Rare',)",New,EN,https://yugipedia.com/wiki/Set_Card_Lists:Breakers_of_Shadow:_Special_Edition_(TCG-EN),2023-08-06 18:26:24,2016-02-25,,Special Edition,,New
