Name,Password,Effect type,TCG status,Artwork,Page URL,Modification date,Errata,Primary type,Secondary type,Monster type,ATK,DEF,Version
Blue Flame Swordsman,50903514,"('Quick Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue_Flame_Swordsman,2020-04-21 04:10:44,,Effect Monster,,Warrior,1800,1600,Old
Blue Flame Swordsman,50903514,"('Quick Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue_Flame_Swordsman,2020-04-21 04:10:44,,"('Effect Monster',)",,Warrior,1800,1600,New
Blue Mountain Butterspy,54582424,"('Condition', 'Summoning condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue_Mountain_Butterspy,2022-04-20 02:32:04,,Effect Monster,,Warrior,0,1700,Old
Blue Mountain Butterspy,54582424,"('Condition', 'Summoning condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue_Mountain_Butterspy,2022-04-20 02:32:04,,"('Effect Monster',)",,Warrior,0,1700,New
Blue Rose Dragon,98884569,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Blue_Rose_Dragon,2022-09-19 19:54:08,,Effect Monster,,Dragon,1600,1200,Old
Blue Rose Dragon,98884569,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Blue_Rose_Dragon,2022-09-19 19:54:08,,"('Effect Monster',)",,Dragon,1600,1200,New
Blue Thunder T-45,14089428,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Blue_Thunder_T-45,2022-05-11 16:21:51,,Effect Monster,,Machine,1700,1000,Old
Blue Thunder T-45,14089428,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Blue_Thunder_T-45,2022-05-11 16:21:51,,"('Effect Monster',)",,Machine,1700,1000,New
Blue-Blooded Oni,07953868,"('Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Blooded_Oni,2021-11-18 15:30:44,,Effect Monster,,Zombie,1000,1700,Old
Blue-Blooded Oni,07953868,"('Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Blooded_Oni,2021-11-18 15:30:44,,"('Effect Monster',)",,Zombie,1000,1700,New
Blue-Eyed Silver Zombie,35282433,,Unlimited,,https://yugipedia.com/wiki/Blue-Eyed_Silver_Zombie,2022-05-26 19:17:17,,Normal Monster,,Zombie,900,700,Old
Blue-Eyed Silver Zombie,35282433,,Unlimited,,https://yugipedia.com/wiki/Blue-Eyed_Silver_Zombie,2022-05-26 19:17:17,,"('Normal Monster',)",,Zombie,900,700,New
Blue-Eyes Abyss Dragon,64202399,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Abyss_Dragon,2023-01-10 13:49:20,,Effect Monster,,Dragon,2500,2500,Old
Blue-Eyes Abyss Dragon,64202399,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Abyss_Dragon,2023-01-10 13:49:20,,"('Effect Monster',)",,Dragon,2500,2500,New
Blue-Eyes Alternative Ultimate Dragon,43228023,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Alternative_Ultimate_Dragon,2021-02-28 09:33:34,,Fusion Monster,,Dragon,4500,3800,Old
Blue-Eyes Alternative Ultimate Dragon,43228023,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Alternative_Ultimate_Dragon,2021-02-28 09:33:34,,"('Effect Monster', 'Fusion Monster')",,Dragon,4500,3800,New
Blue-Eyes Alternative White Dragon,38517737,"('Condition', 'Ignition Effect', 'Summoning condition', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Alternative_White_Dragon,2023-01-03 01:15:49,,Effect Monster,,Dragon,3000,2500,Old
Blue-Eyes Alternative White Dragon,38517737,"('Condition', 'Ignition Effect', 'Summoning condition', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Alternative_White_Dragon,2023-01-03 01:15:49,,"('Effect Monster',)",,Dragon,3000,2500,New
Blue-Eyes Chaos Dragon,20654247,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Chaos_Dragon,2021-05-19 19:15:29,,Ritual Monster,,Dragon,3000,0,Old
Blue-Eyes Chaos Dragon,20654247,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Chaos_Dragon,2021-05-19 19:15:29,,"('Effect Monster', 'Ritual Monster')",,Dragon,3000,0,New
Blue-Eyes Chaos MAX Dragon,55410871,"('Continuous Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Chaos_MAX_Dragon,2021-03-14 19:12:19,,Ritual Monster,,Dragon,4000,0,Old
Blue-Eyes Chaos MAX Dragon,55410871,"('Continuous Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Chaos_MAX_Dragon,2021-03-14 19:12:19,,"('Effect Monster', 'Ritual Monster')",,Dragon,4000,0,New
Blue-Eyes Jet Dragon,30576089,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Jet_Dragon,2022-02-11 11:50:50,,Effect Monster,,Dragon,3000,0,Old
Blue-Eyes Jet Dragon,30576089,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Jet_Dragon,2022-02-11 11:50:50,,"('Effect Monster',)",,Dragon,3000,0,New
Blue-Eyes Shining Dragon,53347303,"('Continuous Effect', 'Quick Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Shining_Dragon,2022-12-29 07:05:22,"('Name', 'Type')",Effect Monster,,Dragon,3000,2500,Old
Blue-Eyes Shining Dragon,53347303,"('Continuous Effect', 'Quick Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Shining_Dragon,2022-12-29 07:05:22,"('Name', 'Type')","('Effect Monster',)",,Dragon,3000,2500,New
Blue-Eyes Solid Dragon,57043986,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Solid_Dragon,2021-05-19 19:16:07,,Effect Monster,,Dragon,2500,2000,Old
Blue-Eyes Solid Dragon,57043986,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Solid_Dragon,2021-05-19 19:16:07,,"('Effect Monster',)",,Dragon,2500,2000,New
Blue-Eyes Spirit Dragon,59822133,"('Continuous Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Spirit_Dragon,2023-01-03 01:17:00,,Synchro Monster,,Dragon,2500,3000,Old
Blue-Eyes Spirit Dragon,59822133,"('Continuous Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Spirit_Dragon,2023-01-03 01:17:00,,"('Effect Monster', 'Synchro Monster')",,Dragon,2500,3000,New
Blue-Eyes Toon Dragon,53183600,"('Continuous Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Toon_Dragon,2022-08-13 13:06:25,"('Name', 'Type')",Effect Monster,Toon monster,Dragon,3000,2500,Old
Blue-Eyes Toon Dragon,53183600,"('Continuous Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Toon_Dragon,2022-08-13 13:06:25,"('Name', 'Type')","('Effect Monster',)",Toon monster,Dragon,3000,2500,New
Blue-Eyes Twin Burst Dragon,02129638,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Twin_Burst_Dragon,2022-10-16 00:41:08,,Fusion Monster,,Dragon,3000,2500,Old
Blue-Eyes Twin Burst Dragon,02129638,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Twin_Burst_Dragon,2022-10-16 00:41:08,,"('Effect Monster', 'Fusion Monster')",,Dragon,3000,2500,New
Blue-Eyes Tyrant Dragon,11443677,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Tyrant_Dragon,2022-04-18 12:59:20,,Fusion Monster,,Dragon,3400,2900,Old
Blue-Eyes Tyrant Dragon,11443677,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Blue-Eyes_Tyrant_Dragon,2022-04-18 12:59:20,,"('Effect Monster', 'Fusion Monster')",,Dragon,3400,2900,New
Blue-Eyes Ultimate Dragon,23995346,,Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Blue-Eyes_Ultimate_Dragon,2022-11-25 04:18:04,"('Type',)",Fusion Monster,,Dragon,4500,3800,Old
Blue-Eyes Ultimate Dragon,23995346,,Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Blue-Eyes_Ultimate_Dragon,2022-11-25 04:18:04,"('Type',)","('Fusion Monster',)",,Dragon,4500,3800,New
Blue-Eyes White Dragon,89631139,,Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Blue-Eyes_White_Dragon,2023-01-03 00:31:35,"('Name', 'Type')",Normal Monster,,Dragon,3000,2500,Old
Blue-Eyes White Dragon,89631139,,Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Blue-Eyes_White_Dragon,2023-01-03 00:31:35,"('Name', 'Type')","('Normal Monster',)",,Dragon,3000,2500,New
Blue-Winged Crown,41396436,,Unlimited,,https://yugipedia.com/wiki/Blue-Winged_Crown,2021-11-07 09:35:22,,Normal Monster,,Winged Beast,1600,1200,Old
Blue-Winged Crown,41396436,,Unlimited,,https://yugipedia.com/wiki/Blue-Winged_Crown,2021-11-07 09:35:22,,"('Normal Monster',)",,Winged Beast,1600,1200,New
"Bluebeard, the Plunder Patroll Shipwright",55349375,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,"https://yugipedia.com/wiki/Bluebeard,_the_Plunder_Patroll_Shipwright",2022-05-05 14:07:37,,Effect Monster,,Fiend,500,1000,Old
"Bluebeard, the Plunder Patroll Shipwright",55349375,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,"https://yugipedia.com/wiki/Bluebeard,_the_Plunder_Patroll_Shipwright",2022-05-05 14:07:37,,"('Effect Monster',)",,Fiend,500,1000,New
Boar Soldier,21340051,"('Continuous Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Boar_Soldier,2022-06-08 03:10:46,,Effect Monster,,Beast-Warrior,2000,500,Old
Boar Soldier,21340051,"('Continuous Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Boar_Soldier,2022-06-08 03:10:46,,"('Effect Monster',)",,Beast-Warrior,2000,500,New
Bokoichi the Freightening Car,08715625,,Unlimited,,https://yugipedia.com/wiki/Bokoichi_the_Freightening_Car,2020-11-15 19:37:27,"('Type',)",Normal Monster,,Machine,500,500,Old
Bokoichi the Freightening Car,08715625,,Unlimited,,https://yugipedia.com/wiki/Bokoichi_the_Freightening_Car,2020-11-15 19:37:27,"('Type',)","('Normal Monster',)",,Machine,500,500,New
Bolt Escargot,12146024,,,,https://yugipedia.com/wiki/Bolt_Escargot,2021-11-07 09:36:00,,Normal Monster,,Thunder,1400,1500,Old
Bolt Escargot,12146024,,,,https://yugipedia.com/wiki/Bolt_Escargot,2021-11-07 09:36:00,,"('Normal Monster',)",,Thunder,1400,1500,New
Bolt Penguin,48531733,,Unlimited,,https://yugipedia.com/wiki/Bolt_Penguin,2021-11-07 09:36:14,,Normal Monster,,Thunder,1100,800,Old
Bolt Penguin,48531733,,Unlimited,,https://yugipedia.com/wiki/Bolt_Penguin,2021-11-07 09:36:14,,"('Normal Monster',)",,Thunder,1100,800,New
Bombardment Beetle,57409948,"('Flip effect',)",Unlimited,,https://yugipedia.com/wiki/Bombardment_Beetle,2021-11-07 09:36:41,,Effect Monster,Flip monster,Insect,400,900,Old
Bombardment Beetle,57409948,"('Flip effect',)",Unlimited,,https://yugipedia.com/wiki/Bombardment_Beetle,2021-11-07 09:36:41,,"('Effect Monster',)",Flip monster,Insect,400,900,New
Bone Crusher,37675138,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Bone_Crusher,2020-12-20 18:02:40,,Effect Monster,,Zombie,1600,200,Old
Bone Crusher,37675138,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Bone_Crusher,2020-12-20 18:02:40,,"('Effect Monster',)",,Zombie,1600,200,New
Bone Mouse,21239280,,,,https://yugipedia.com/wiki/Bone_Mouse,2021-10-31 14:22:35,,Normal Monster,,Zombie,400,300,Old
Bone Mouse,21239280,,,,https://yugipedia.com/wiki/Bone_Mouse,2021-10-31 14:22:35,,"('Normal Monster',)",,Zombie,400,300,New
Boneheimer,98456117,,Unlimited,,https://yugipedia.com/wiki/Boneheimer,2021-11-07 09:36:54,,Normal Monster,,Aqua,850,400,Old
Boneheimer,98456117,,Unlimited,,https://yugipedia.com/wiki/Boneheimer,2021-11-07 09:36:54,,"('Normal Monster',)",,Aqua,850,400,New
Bonfire Colossus,59834564,"('Trigger Effect', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Bonfire_Colossus,2021-04-09 08:12:17,,Effect Monster,,Beast-Warrior,2600,2200,Old
Bonfire Colossus,59834564,"('Trigger Effect', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Bonfire_Colossus,2021-04-09 08:12:17,,"('Effect Monster',)",,Beast-Warrior,2600,2200,New
Bonze Alone,00263926,"('Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Bonze_Alone,2021-01-31 17:47:00,,Effect Monster,,Fairy,100,100,Old
Bonze Alone,00263926,"('Summoning condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Bonze_Alone,2021-01-31 17:47:00,,"('Effect Monster',)",,Fairy,100,100,New
Boo Koo,68963107,,,,https://yugipedia.com/wiki/Boo_Koo,2021-11-07 09:37:07,,Normal Monster,,Spellcaster,650,500,Old
Boo Koo,68963107,,,,https://yugipedia.com/wiki/Boo_Koo,2021-11-07 09:37:07,,"('Normal Monster',)",,Spellcaster,650,500,New
Boost Warrior,80457744,"('Continuous Effect', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Boost_Warrior,2020-07-23 13:03:46,,Effect Monster,,Warrior,300,200,Old
Boost Warrior,80457744,"('Continuous Effect', 'Unclassified effect')",Unlimited,,https://yugipedia.com/wiki/Boost_Warrior,2020-07-23 13:03:46,,"('Effect Monster',)",,Warrior,300,200,New
Booster Dragon,12023931,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Booster_Dragon,2021-11-14 16:01:00,,Link Monster,,Dragon,1900,,Old
Booster Dragon,12023931,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Booster_Dragon,2021-11-14 16:01:00,,"('Effect Monster', 'Link Monster')",,Dragon,1900,,New
Boot Staggered,70950698,"('Condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Boot_Staggered,2020-03-14 13:18:09,,Effect Monster,,Cyberse,2300,500,Old
Boot Staggered,70950698,"('Condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Boot_Staggered,2020-03-14 13:18:09,,"('Effect Monster',)",,Cyberse,2300,500,New
Boot-Up Admiral - Destroyer Dynamo,36322312,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/Boot-Up_Admiral_-_Destroyer_Dynamo,2022-07-01 14:14:49,,Effect Monster,,Machine,2500,2500,Old
Boot-Up Admiral - Destroyer Dynamo,36322312,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/Boot-Up_Admiral_-_Destroyer_Dynamo,2022-07-01 14:14:49,,"('Effect Monster',)",,Machine,2500,2500,New
Boot-Up Corporal - Command Dynamo,00938717,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Boot-Up_Corporal_-_Command_Dynamo,2022-07-01 14:15:17,,Effect Monster,,Machine,0,2000,Old
Boot-Up Corporal - Command Dynamo,00938717,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Boot-Up_Corporal_-_Command_Dynamo,2022-07-01 14:15:17,,"('Effect Monster',)",,Machine,0,2000,New
Boot-Up Soldier - Dread Dynamo,13316346,"('Continuous Effect',)",Unlimited,,https://yugipedia.com/wiki/Boot-Up_Soldier_-_Dread_Dynamo,2023-01-03 20:25:35,,Effect Monster,,Machine,0,2000,Old
Boot-Up Soldier - Dread Dynamo,13316346,"('Continuous Effect',)",Unlimited,,https://yugipedia.com/wiki/Boot-Up_Soldier_-_Dread_Dynamo,2023-01-03 20:25:35,,"('Effect Monster',)",,Machine,0,2000,New
Borrelcode Dragon,67288539,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Borrelcode_Dragon,2021-11-11 16:06:01,,Link Monster,,Dragon,2500,,Old
Borrelcode Dragon,67288539,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Borrelcode_Dragon,2021-11-11 16:06:01,,"('Effect Monster', 'Link Monster')",,Dragon,2500,,New
Borrelend Dragon,98630720,"('Condition', 'Continuous Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Borrelend_Dragon,2022-05-06 07:34:59,,Link Monster,,Dragon,3500,,Old
Borrelend Dragon,98630720,"('Condition', 'Continuous Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Borrelend_Dragon,2022-05-06 07:34:59,,"('Effect Monster', 'Link Monster')",,Dragon,3500,,New
Borrelguard Dragon,68987122,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",Unlimited,"('Edited',)",https://yugipedia.com/wiki/Borrelguard_Dragon,2022-11-11 12:38:44,,Link Monster,,Dragon,3000,,Old
Borrelguard Dragon,68987122,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Quick Effect')",Unlimited,"('Edited',)",https://yugipedia.com/wiki/Borrelguard_Dragon,2022-11-11 12:38:44,,"('Effect Monster', 'Link Monster')",,Dragon,3000,,New
Borreload Dragon,31833038,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Borreload_Dragon,2022-10-29 14:37:37,,Link Monster,,Dragon,3000,,Old
Borreload Dragon,31833038,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Borreload_Dragon,2022-10-29 14:37:37,,"('Effect Monster', 'Link Monster')",,Dragon,3000,,New
Borreload Furious Dragon,92892239,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Borreload_Furious_Dragon,2021-12-27 19:20:34,,Fusion Monster,,Dragon,3000,2500,Old
Borreload Furious Dragon,92892239,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,,https://yugipedia.com/wiki/Borreload_Furious_Dragon,2021-12-27 19:20:34,,"('Effect Monster', 'Fusion Monster')",,Dragon,3000,2500,New
Borreload Riot Dragon,07987191,"('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/Borreload_Riot_Dragon,2021-11-11 16:09:33,,Ritual Monster,,Dragon,3000,2500,Old
Borreload Riot Dragon,07987191,"('Condition', 'Ignition Effect', 'Quick Effect', 'Summoning condition')",Unlimited,,https://yugipedia.com/wiki/Borreload_Riot_Dragon,2021-11-11 16:09:33,,"('Effect Monster', 'Ritual Monster')",,Dragon,3000,2500,New
Borreload Savage Dragon,27548199,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Borreload_Savage_Dragon,2022-12-20 23:27:01,,Synchro Monster,,Dragon,3000,2500,Old
Borreload Savage Dragon,27548199,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Borreload_Savage_Dragon,2022-12-20 23:27:01,,"('Effect Monster', 'Synchro Monster')",,Dragon,3000,2500,New
Borreload eXcharge Dragon,06247535,"('Continuous Effect', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Borreload_eXcharge_Dragon,2022-08-14 05:24:41,,Xyz Monster,,Dragon,3000,2500,Old
Borreload eXcharge Dragon,06247535,"('Continuous Effect', 'Ignition Effect')",Unlimited,,https://yugipedia.com/wiki/Borreload_eXcharge_Dragon,2022-08-14 05:24:41,,"('Effect Monster', 'Xyz Monster')",,Dragon,3000,2500,New
Borrelsword Dragon,85289965,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,"('Alternate', 'Edited')",https://yugipedia.com/wiki/Borrelsword_Dragon,2022-11-11 12:36:36,,Link Monster,,Dragon,3000,,Old
Borrelsword Dragon,85289965,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')",Unlimited,"('Alternate', 'Edited')",https://yugipedia.com/wiki/Borrelsword_Dragon,2022-11-11 12:36:36,,"('Effect Monster', 'Link Monster')",,Dragon,3000,,New
Botanical Girl,84824601,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Botanical_Girl,2022-04-20 12:20:35,,Effect Monster,,Plant,1300,1100,Old
Botanical Girl,84824601,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Botanical_Girl,2022-04-20 12:20:35,,"('Effect Monster',)",,Plant,1300,1100,New
Botanical Lion,20546916,"('Continuous Effect',)",Unlimited,,https://yugipedia.com/wiki/Botanical_Lion,2021-01-24 23:48:35,,Effect Monster,,Plant,1600,2000,Old
Botanical Lion,20546916,"('Continuous Effect',)",Unlimited,,https://yugipedia.com/wiki/Botanical_Lion,2021-01-24 23:48:35,,"('Effect Monster',)",,Plant,1600,2000,New
Bottom Dweller,81386177,,Unlimited,,https://yugipedia.com/wiki/Bottom_Dweller,2022-07-12 18:37:51,,Normal Monster,,Fish,1650,1700,Old
Bottom Dweller,81386177,,Unlimited,,https://yugipedia.com/wiki/Bottom_Dweller,2022-07-12 18:37:51,,"('Normal Monster',)",,Fish,1650,1700,New
Boulder Tortoise,09540040,,,,https://yugipedia.com/wiki/Boulder_Tortoise,2021-06-22 08:16:32,,Normal Monster,,Aqua,1450,2200,Old
Boulder Tortoise,09540040,,,,https://yugipedia.com/wiki/Boulder_Tortoise,2021-06-22 08:16:32,,"('Normal Monster',)",,Aqua,1450,2200,New
Bountiful Artemis,32296881,"('Continuous Effect',)",Unlimited,,https://yugipedia.com/wiki/Bountiful_Artemis,2022-04-20 13:16:13,,Effect Monster,,Fairy,1600,1700,Old
Bountiful Artemis,32296881,"('Continuous Effect',)",Unlimited,,https://yugipedia.com/wiki/Bountiful_Artemis,2022-04-20 13:16:13,,"('Effect Monster',)",,Fairy,1600,1700,New
Bowganian,52090844,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Bowganian,2022-04-29 11:30:10,,Effect Monster,,Machine,1300,1000,Old
Bowganian,52090844,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Bowganian,2022-04-29 11:30:10,,"('Effect Monster',)",,Machine,1300,1000,New
Box of Friends,81587028,"('Condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Box_of_Friends,2022-05-05 14:38:39,,Effect Monster,,Machine,0,0,Old
Box of Friends,81587028,"('Condition', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Box_of_Friends,2022-05-05 14:38:39,,"('Effect Monster',)",,Machine,0,0,New
Boycotton,45025640,"('Continuous Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Boycotton,2020-03-14 14:49:53,,Effect Monster,,Plant,1000,2500,Old
Boycotton,45025640,"('Continuous Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Boycotton,2020-03-14 14:49:53,,"('Effect Monster',)",,Plant,1000,2500,New
Bracchio-raidus,16507828,,Unlimited,,https://yugipedia.com/wiki/Bracchio-raidus,2021-11-07 09:39:27,,Fusion Monster,,Dinosaur,2200,2000,Old
Bracchio-raidus,16507828,,Unlimited,,https://yugipedia.com/wiki/Bracchio-raidus,2021-11-07 09:39:27,,"('Fusion Monster',)",,Dinosaur,2200,2000,New
Brain Crusher,81919143,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Brain_Crusher,2022-07-24 06:11:37,,Effect Monster,,Insect,2400,1500,Old
Brain Crusher,81919143,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Brain_Crusher,2022-07-24 06:11:37,,"('Effect Monster',)",,Insect,2400,1500,New
Brain Golem,17313545,"('Continuous Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Brain_Golem,2020-11-15 19:40:57,,Effect Monster,,Fiend,2500,1800,Old
Brain Golem,17313545,"('Continuous Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Brain_Golem,2020-11-15 19:40:57,,"('Effect Monster',)",,Fiend,2500,1800,New
Brain Jacker,40267580,"('Continuous-like Effect', 'Flip effect', 'Trigger Effect')",Unlimited,"('Edited',)",https://yugipedia.com/wiki/Brain_Jacker,2021-03-06 21:21:28,,Effect Monster,Flip monster,Fiend,200,900,Old
Brain Jacker,40267580,"('Continuous-like Effect', 'Flip effect', 'Trigger Effect')",Unlimited,"('Edited',)",https://yugipedia.com/wiki/Brain_Jacker,2021-03-06 21:21:28,,"('Effect Monster',)",Flip monster,Fiend,200,900,New
Brave Beauty of Ruby Regard - Bradamante,91479482,"('Condition', 'Ignition Effect', 'Trigger Effect')",,,https://yugipedia.com/wiki/Brave_Beauty_of_Ruby_Regard_-_Bradamante,2023-01-08 11:12:59,,Effect Monster,Tuner monster,Warrior,500,200,Old
Brave Beauty of Ruby Regard - Bradamante,91479482,"('Condition', 'Ignition Effect', 'Trigger Effect')",,,https://yugipedia.com/wiki/Brave_Beauty_of_Ruby_Regard_-_Bradamante,2023-01-08 11:12:59,,"('Effect Monster',)",Tuner monster,Warrior,500,200,New
Brave Scizzar,74277583,,Unlimited,,https://yugipedia.com/wiki/Brave_Scizzar,2021-11-07 09:39:50,,Normal Monster,,Machine,1300,1000,Old
Brave Scizzar,74277583,,Unlimited,,https://yugipedia.com/wiki/Brave_Scizzar,2021-11-07 09:39:50,,"('Normal Monster',)",,Machine,1300,1000,New
Brave-Eyes Pendulum Dragon,88305705,"('Continuous Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Brave-Eyes_Pendulum_Dragon,2022-12-05 02:04:51,,Fusion Monster,,Dragon,3000,2000,Old
Brave-Eyes Pendulum Dragon,88305705,"('Continuous Effect', 'Trigger Effect')",Unlimited,,https://yugipedia.com/wiki/Brave-Eyes_Pendulum_Dragon,2022-12-05 02:04:51,,"('Effect Monster', 'Fusion Monster')",,Dragon,3000,2000,New
Bravedrive,78161361,"('Trigger Effect',)",Unlimited,,https://yugipedia.com/wiki/Bravedrive,2022-09-15 15:28:11,,Effect Monster,,Cyberse,1500,1000,Old
