Name,Password,Effect type,TCG status,TCG Speed Duel status,Page name,Page URL,Artwork,Modification date,Version
Prickle Fairy,91559748,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Prickle Fairy,https://yugipedia.com/wiki/Prickle_Fairy,,2023-08-24 19:09:15,New
Pumprincess the Princess of Ghosts,17601919,"('Continuous-like Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Not yet released,Pumprincess the Princess of Ghosts,https://yugipedia.com/wiki/Pumprincess_the_Princess_of_Ghosts,,2023-08-15 02:52:44,Old
Pumprincess the Princess of Ghosts,17601919,"('Continuous-like Effect', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,Pumprincess the Princess of Ghosts,https://yugipedia.com/wiki/Pumprincess_the_Princess_of_Ghosts,,2023-08-25 14:35:53,New
Reactor Slime,79387392,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Not yet released,Reactor Slime,https://yugipedia.com/wiki/Reactor_Slime,,2023-08-15 02:03:47,Old
Reactor Slime,79387392,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,Reactor Slime,https://yugipedia.com/wiki/Reactor_Slime,,2023-08-24 18:31:48,New
Red-Eyes Baby Dragon,58257569,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Not yet released,Red-Eyes Baby Dragon,https://yugipedia.com/wiki/Red-Eyes_Baby_Dragon,,2023-08-15 02:53:33,Old
Red-Eyes Baby Dragon,58257569,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Red-Eyes Baby Dragon,https://yugipedia.com/wiki/Red-Eyes_Baby_Dragon,,2023-08-25 14:36:13,New
Reflect Bounder,02851070,"('Trigger Effect',)",Unlimited,Not yet released,Reflect Bounder,https://yugipedia.com/wiki/Reflect_Bounder,,2023-08-14 23:56:37,Old
Reflect Bounder,02851070,"('Trigger Effect',)",Unlimited,Unlimited,Reflect Bounder,https://yugipedia.com/wiki/Reflect_Bounder,,2023-08-24 19:03:27,New
Resonance Insect,96938986,"('Trigger Effect',)",Unlimited,Not yet released,Resonance Insect,https://yugipedia.com/wiki/Resonance_Insect,,2023-08-14 23:29:18,Old
Resonance Insect,96938986,"('Trigger Effect',)",Unlimited,Unlimited,Resonance Insect,https://yugipedia.com/wiki/Resonance_Insect,,2023-08-24 19:08:47,New
Reversible Beetle,45702357,"('Condition', 'Flip effect', 'Trigger Effect')",Unlimited,Not yet released,Reversible Beetle,https://yugipedia.com/wiki/Reversible_Beetle,,2023-08-15 03:12:02,Old
Reversible Beetle,45702357,"('Condition', 'Flip effect', 'Trigger Effect')",Unlimited,Unlimited,Reversible Beetle,https://yugipedia.com/wiki/Reversible_Beetle,,2023-08-24 18:13:14,New
Revival Jam,31709826,"('Trigger Effect',)",Unlimited,Not yet released,Revival Jam,https://yugipedia.com/wiki/Revival_Jam,,2023-08-15 02:00:02,Old
Revival Jam,31709826,"('Trigger Effect',)",Unlimited,Unlimited,Revival Jam,https://yugipedia.com/wiki/Revival_Jam,,2023-08-24 18:33:59,New
Roulette Spider,36708764,"('Activation condition', 'Effect')",Unlimited,Not yet released,Roulette Spider,https://yugipedia.com/wiki/Roulette_Spider,,2023-08-14 21:11:10,Old
Roulette Spider,36708764,"('Activation condition', 'Effect')",Unlimited,Unlimited,Roulette Spider,https://yugipedia.com/wiki/Roulette_Spider,,2023-08-24 19:25:07,New
Salvage,96947648,"('Effect',)",Unlimited,Not yet released,Salvage,https://yugipedia.com/wiki/Salvage,,2023-08-14 21:47:59,Old
Salvage,96947648,"('Effect',)",Unlimited,Unlimited,Salvage,https://yugipedia.com/wiki/Salvage,,2023-08-24 19:14:24,New
Sealmaster Meisei,02468169,,Unlimited,Not yet released,Sealmaster Meisei,https://yugipedia.com/wiki/Sealmaster_Meisei,,2023-08-15 01:47:02,Old
Sealmaster Meisei,02468169,,Unlimited,Unlimited,Sealmaster Meisei,https://yugipedia.com/wiki/Sealmaster_Meisei,,2023-08-24 18:44:04,New
Skilled Dark Magician,73752131,"('Continuous Effect', 'Ignition Effect')",Unlimited,Not yet released,Skilled Dark Magician,https://yugipedia.com/wiki/Skilled_Dark_Magician,,2023-08-14 14:49:43,Old
Skilled Dark Magician,73752131,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,Skilled Dark Magician,https://yugipedia.com/wiki/Skilled_Dark_Magician,,2023-08-24 19:36:27,New
Solemn Wishes,35346968,"('Continuous-like Effect',)",Unlimited,Not yet released,Solemn Wishes,https://yugipedia.com/wiki/Solemn_Wishes,,2023-08-15 02:37:42,Old
Solemn Wishes,35346968,"('Continuous-like Effect',)",Unlimited,Unlimited,Solemn Wishes,https://yugipedia.com/wiki/Solemn_Wishes,,2023-08-24 18:24:41,New
Summoned Skull,70781052,,Unlimited,Not yet released,Summoned Skull,https://yugipedia.com/wiki/Summoned_Skull,"('Alternate',)",2023-08-15 02:44:10,Old
Summoned Skull,70781052,,Unlimited,Unlimited,Summoned Skull,https://yugipedia.com/wiki/Summoned_Skull,"('Alternate',)",2023-08-24 18:19:50,New
Talisman of Spell Sealing,71983925,"('Activation condition', 'Continuous-like Effect')",Unlimited,Not yet released,Talisman of Spell Sealing,https://yugipedia.com/wiki/Talisman_of_Spell_Sealing,,2023-08-15 01:55:33,Old
Talisman of Spell Sealing,71983925,"('Activation condition', 'Continuous-like Effect')",Unlimited,Unlimited,Talisman of Spell Sealing,https://yugipedia.com/wiki/Talisman_of_Spell_Sealing,,2023-08-24 18:39:55,New
Talisman of Trap Sealing,19312169,"('Activation condition', 'Continuous-like Effect')",Unlimited,Not yet released,Talisman of Trap Sealing,https://yugipedia.com/wiki/Talisman_of_Trap_Sealing,,2023-08-15 01:49:41,Old
Talisman of Trap Sealing,19312169,"('Activation condition', 'Continuous-like Effect')",Unlimited,Unlimited,Talisman of Trap Sealing,https://yugipedia.com/wiki/Talisman_of_Trap_Sealing,,2023-08-24 18:41:40,New
The Forceful Checkpoint,94861297,"('Activation condition', 'Effect')",Unlimited,Unlimited,The Forceful Checkpoint,https://yugipedia.com/wiki/The_Forceful_Checkpoint,,2023-08-24 18:49:41,New
Token Stampede,14342283,"('Continuous-like Effect',)",Unlimited,Not yet released,Token Stampede,https://yugipedia.com/wiki/Token_Stampede,,2023-08-15 02:38:38,Old
Token Stampede,14342283,"('Continuous-like Effect',)",Unlimited,Unlimited,Token Stampede,https://yugipedia.com/wiki/Token_Stampede,,2023-08-24 18:23:31,New
Token Sundae,52971673,"('Effect',)",Unlimited,Not yet released,Token Sundae,https://yugipedia.com/wiki/Token_Sundae,"('Edited',)",2023-08-15 02:33:44,Old
Token Sundae,52971673,"('Effect',)",Unlimited,Unlimited,Token Sundae,https://yugipedia.com/wiki/Token_Sundae,"('Edited',)",2023-08-24 18:26:49,New
Tornado Wall,18605135,"('Activation condition', 'Continuous-like Effect')",Unlimited,Not yet released,Tornado Wall,https://yugipedia.com/wiki/Tornado_Wall,,2023-08-14 23:16:46,Old
Tornado Wall,18605135,"('Activation condition', 'Continuous-like Effect')",Unlimited,Unlimited,Tornado Wall,https://yugipedia.com/wiki/Tornado_Wall,,2023-08-24 19:13:14,New
Voltic Kong,93151201,"('Trigger Effect',)",Unlimited,Not yet released,Voltic Kong,https://yugipedia.com/wiki/Voltic_Kong,,2023-08-15 00:25:19,Old
Voltic Kong,93151201,"('Trigger Effect',)",Unlimited,Unlimited,Voltic Kong,https://yugipedia.com/wiki/Voltic_Kong,,2023-08-24 18:54:15,New
Warrior of Atlantis,43797906,"('Ignition Effect',)",Unlimited,Not yet released,Warrior of Atlantis,https://yugipedia.com/wiki/Warrior_of_Atlantis,,2023-08-15 02:56:40,Old
Warrior of Atlantis,43797906,"('Ignition Effect',)",Unlimited,Unlimited,Warrior of Atlantis,https://yugipedia.com/wiki/Warrior_of_Atlantis,,2023-08-25 14:36:11,New
Worm Drake,73216412,,Unlimited,Not yet released,Worm Drake,https://yugipedia.com/wiki/Worm_Drake,,2023-08-15 02:02:44,Old
Worm Drake,73216412,,Unlimited,Unlimited,Worm Drake,https://yugipedia.com/wiki/Worm_Drake,,2023-08-24 18:32:05,New
Zera Ritual,81756897,"('Effect',)",Unlimited,Not yet released,Zera Ritual,https://yugipedia.com/wiki/Zera_Ritual,,2023-08-15 03:04:43,Old
Zera Ritual,81756897,"('Effect',)",Unlimited,Unlimited,Zera Ritual,https://yugipedia.com/wiki/Zera_Ritual,,2023-08-25 14:35:48,New
Zera the Mant,69123138,,Unlimited,Not yet released,Zera the Mant,https://yugipedia.com/wiki/Zera_the_Mant,,2023-08-15 02:58:26,Old
Zera the Mant,69123138,,Unlimited,Unlimited,Zera the Mant,https://yugipedia.com/wiki/Zera_the_Mant,,2023-08-25 14:35:52,New
