Name,Password,Effect type,TCG status,Page name,Page URL,Artwork,Modification date,Errata,Primary type,Version
Tearlaments Scheiren,00572850,"('Condition', 'Ignition Effect', 'Trigger Effect')",Limited,Tearlaments Scheiren,https://yugipedia.com/wiki/Tearlaments_Scheiren,,2023-07-08 05:47:23,,Effect Monster,Old
Tearlaments Scheiren,00572850,"('Condition', 'Ignition Effect', 'Trigger Effect')",Limited,Tearlaments Scheiren,https://yugipedia.com/wiki/Tearlaments_Scheiren,"('Edited',)",2023-08-30 11:15:13,,Effect Monster,New
The Secret of the Bandit,99351431,"('Activation condition', 'Trigger Effect')",Unlimited,The Secret of the Bandit,https://yugipedia.com/wiki/The_Secret_of_the_Bandit,,2023-03-20 14:29:41,"('Type',)",,Old
The Secret of the Bandit,99351431,"('Activation condition', 'Effect', 'Trigger Effect')",Unlimited,The Secret of the Bandit,https://yugipedia.com/wiki/The_Secret_of_the_Bandit,,2023-09-01 20:46:42,"('Type',)",,New
The Winged Dragon of Ra - Sphere Mode,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",Unlimited,The Winged Dragon of Ra - Sphere Mode,https://yugipedia.com/wiki/The_Winged_Dragon_of_Ra_-_Sphere_Mode,,2023-06-19 15:00:13,"('Any',)",Effect Monster,New
Time Thief Power Reserve,42620460,"('Condition', 'Effect', 'Quick-like Effect')",Not yet released,Time Thief Power Reserve,https://yugipedia.com/wiki/Time_Thief_Power_Reserve,,2023-09-01 14:27:06,,,New
Token Sundae,52971673,"('Effect',)",Unlimited,Token Sundae,https://yugipedia.com/wiki/Token_Sundae,"('Edited',)",2023-08-24 18:26:49,,,Old
Token Sundae,52971673,"('Effect',)",Unlimited,Token Sundae,https://yugipedia.com/wiki/Token_Sundae,"('Edited',)",2023-08-29 09:51:25,"('Any',)",,New
Urgent Tuning,94634433,"('Activation condition', 'Effect')",Unlimited,Urgent Tuning,https://yugipedia.com/wiki/Urgent_Tuning,,2023-03-20 17:57:44,"('Any',)",,Old
Urgent Tuning,94634433,"('Effect',)",Unlimited,Urgent Tuning,https://yugipedia.com/wiki/Urgent_Tuning,,2023-09-02 13:44:29,"('Any',)",,New
Vanquish Soul Pantera,66401502,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Vanquish Soul Pantera,https://yugipedia.com/wiki/Vanquish_Soul_Pantera,,2023-08-23 09:16:03,,Effect Monster,Old
Vanquish Soul Pantera,66401502,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Vanquish Soul Pantera,https://yugipedia.com/wiki/Vanquish_Soul_Pantera,"('Edited',)",2023-08-30 11:11:56,,Effect Monster,New
Wall of Disruption,58169731,"('Activation condition', 'Effect')",Unlimited,Wall of Disruption,https://yugipedia.com/wiki/Wall_of_Disruption,,2023-08-25 14:35:37,,,Old
Wall of Disruption,58169731,"('Activation condition', 'Effect')",Unlimited,Wall of Disruption,https://yugipedia.com/wiki/Wall_of_Disruption,,2023-08-25 14:35:37,"('Any',)",,New
Worm Drake,73216412,,Unlimited,Worm Drake,https://yugipedia.com/wiki/Worm_Drake,,2023-08-24 18:32:05,,Normal Monster,Old
Worm Drake,73216412,,Unlimited,Worm Drake,https://yugipedia.com/wiki/Worm_Drake,,2023-08-29 09:51:30,"('Type',)",Normal Monster,New
Zera Ritual,81756897,"('Effect',)",Unlimited,Zera Ritual,https://yugipedia.com/wiki/Zera_Ritual,,2023-08-25 14:35:48,,,Old
Zera Ritual,81756897,"('Effect',)",Unlimited,Zera Ritual,https://yugipedia.com/wiki/Zera_Ritual,,2023-08-25 14:35:48,"('Any',)",,New
Zera the Mant,,,,Zera the Mant (Normal),https://yugipedia.com/wiki/Zera_the_Mant_(Normal),,2023-03-20 21:13:09,,Normal Monster,Old
Zera the Mant,69123138,,Unlimited,Zera the Mant,https://yugipedia.com/wiki/Zera_the_Mant,,2023-08-25 14:35:52,,Ritual Monster,Old
Zera the Mant,,,,Zera the Mant (Normal),https://yugipedia.com/wiki/Zera_the_Mant_(Normal),,2023-03-20 21:13:09,"('Any',)",Normal Monster,New
Zera the Mant,69123138,,Unlimited,Zera the Mant,https://yugipedia.com/wiki/Zera_the_Mant,,2023-08-25 14:35:52,"('Any',)",Ritual Monster,New
