Name,Password,Card type,Property,Archseries,Attribute,Primary type,Secondary type,Monster type,Effect type,DEF,ATK,Level/Rank,TCG status,OCG status,TCG Speed Duel status,Page name,Page URL,Artwork,Modification date,Character
Cyberdark Edge,77625948,Monster Card,,"('Cyber', 'Cyberdark')",DARK,Effect Monster,,Machine,"('Continuous Effect', 'Trigger Effect')",800,800,4,Unlimited,Unlimited,Unlimited,Cyberdark Edge,https://yugipedia.com/wiki/Cyberdark_Edge,,2022-03-19 20:43:43,
Cyberdark Horn,41230939,Monster Card,,"('Cyber', 'Cyberdark')",DARK,Effect Monster,,Machine,"('Continuous Effect', 'Trigger Effect')",800,800,4,Unlimited,Unlimited,Unlimited,Cyberdark Horn,https://yugipedia.com/wiki/Cyberdark_Horn,,2022-03-19 20:43:38,
Cyberdark Impact!,80033124,Spell Card,Normal Spell Card,"('Cyber', 'Cyberdark (Spell/Trap archetype)')",,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Cyberdark Impact!,https://yugipedia.com/wiki/Cyberdark_Impact!,,2022-11-05 19:39:59,
Cyberdark Keel,03019642,Monster Card,,"('Cyber', 'Cyberdark')",DARK,Effect Monster,,Machine,"('Continuous Effect', 'Trigger Effect')",800,800,4,Unlimited,Unlimited,Unlimited,Cyberdark Keel,https://yugipedia.com/wiki/Cyberdark_Keel,,2022-03-19 20:43:49,
Cyberdark Style,,Skill Card,,"('Cyberdark',)",,,,,,,,,Illegal,,Legal,Cyberdark Style (Skill Card),https://yugipedia.com/wiki/Cyberdark_Style_(Skill_Card),,2022-09-01 17:33:33,Zane Truesdale
Cycroid,45945685,Monster Card,,"('roid',)",EARTH,Normal Monster,,Machine,,1000,800,3,Unlimited,Unlimited,Unlimited,Cycroid,https://yugipedia.com/wiki/Cycroid,,2023-01-03 20:25:16,
D - Chain,43405287,Trap Card,Normal Trap Card,,,,,,"('Continuous-like Effect', 'Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,D - Chain,https://yugipedia.com/wiki/D_-_Chain,,2022-06-15 07:29:52,
D - Counter,08698851,Trap Card,Normal Trap Card,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,D - Counter,https://yugipedia.com/wiki/D_-_Counter,,2022-06-15 07:30:39,
D - Spirit,89899996,Spell Card,Normal Spell Card,,,,,,"('Condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,D - Spirit,https://yugipedia.com/wiki/D_-_Spirit,,2022-06-15 07:28:06,
D.D. Crow,24508238,Monster Card,,"('D.D.',)",DARK,Effect Monster,,Winged Beast,"('Quick Effect',)",100,100,1,Unlimited,Unlimited,Unlimited,D.D. Crow,https://yugipedia.com/wiki/D.D._Crow,,2023-02-20 22:12:51,
D.D. Warrior Lady,07572887,Monster Card,,"('D.D.', 'Warrior Lady')",LIGHT,Effect Monster,,Warrior,"('Trigger Effect',)",1600,1500,4,Unlimited,Unlimited,Unlimited,D.D. Warrior Lady,https://yugipedia.com/wiki/D.D._Warrior_Lady,,2022-07-30 23:55:27,
DUCKER Mobile Cannon,14506878,Monster Card,,"('Konami Arcade Games',)",LIGHT,Effect Monster,"('Flip monster',)",Machine,"('Flip effect',)",500,500,3,Unlimited,Unlimited,Unlimited,DUCKER Mobile Cannon,https://yugipedia.com/wiki/DUCKER_Mobile_Cannon,,2021-01-31 17:30:15,
Damage Condenser,28378427,Trap Card,Normal Trap Card,,,,,,"('Activation condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Damage Condenser,https://yugipedia.com/wiki/Damage_Condenser,,2023-01-03 01:11:42,
Danipon,48588176,Monster Card,,,EARTH,Effect Monster,,Insect,"('Trigger Effect',)",600,600,2,Unlimited,Unlimited,Unlimited,Danipon,https://yugipedia.com/wiki/Danipon,,2020-11-17 05:27:47,
Dark Blade,11321183,Monster Card,,"('Dark Blade (series)',)",DARK,Normal Monster,,Warrior,,1500,1800,4,Unlimited,Unlimited,Unlimited,Dark Blade,https://yugipedia.com/wiki/Dark_Blade,,2021-03-07 04:08:40,
Dark Catapulter,33875961,Monster Card,,,EARTH,Effect Monster,,Machine,"('Ignition Effect', 'Trigger Effect')",1500,1000,4,Unlimited,Unlimited,Unlimited,Dark Catapulter,https://yugipedia.com/wiki/Dark_Catapulter,,2022-10-06 18:11:53,
Dark City,53527835,Spell Card,Field Spell Card,,,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Unlimited,Dark City,https://yugipedia.com/wiki/Dark_City,,2022-06-15 07:27:41,
Dark Driceratops,65287621,Monster Card,,,EARTH,Effect Monster,,Dinosaur,"('Continuous Effect',)",1500,2400,6,Unlimited,Unlimited,Unlimited,Dark Driceratops,https://yugipedia.com/wiki/Dark_Driceratops,,2022-04-24 04:19:24,
Dark Eruption,00674561,Spell Card,Normal Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Dark Eruption,https://yugipedia.com/wiki/Dark_Eruption,,2022-04-29 13:16:17,
Dark Factory of Mass Production,90928333,Spell Card,Normal Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Dark Factory of Mass Production,https://yugipedia.com/wiki/Dark_Factory_of_Mass_Production,,2021-03-07 04:09:49,
Dark Fusion,94820406,Spell Card,Normal Spell Card,"('Fusion (archetype)',)",,,,,"('Effect', 'Lingering effect')",,,,Unlimited,Unlimited,Not yet released,Dark Fusion,https://yugipedia.com/wiki/Dark_Fusion,,2023-02-21 12:03:05,
Dark Jeroid,90980792,Monster Card,,"('roid',)",DARK,Effect Monster,,Fiend,"('Trigger Effect',)",1500,1200,4,Unlimited,Unlimited,Unlimited,Dark Jeroid,https://yugipedia.com/wiki/Dark_Jeroid,,2021-11-07 12:51:16,
Dark Lucius LV4,85313220,Monster Card,,"('Dark Lucius', 'LV')",EARTH,Effect Monster,,Fiend,"('Continuous Effect', 'Trigger Effect')",300,1000,4,Unlimited,Unlimited,Unlimited,Dark Lucius LV4,https://yugipedia.com/wiki/Dark_Lucius_LV4,,2020-11-17 05:34:20,
Dark Lucius LV6,12817939,Monster Card,,"('Dark Lucius', 'LV')",EARTH,Effect Monster,,Fiend,"('Continuous Effect', 'Trigger Effect')",600,1700,6,Unlimited,Unlimited,Unlimited,Dark Lucius LV6,https://yugipedia.com/wiki/Dark_Lucius_LV6,,2020-11-17 05:34:29,
Dark Lucius LV8,58206034,Monster Card,,"('Dark Lucius', 'LV')",EARTH,Effect Monster,,Fiend,"('Continuous Effect',)",900,2800,8,Unlimited,Unlimited,Unlimited,Dark Lucius LV8,https://yugipedia.com/wiki/Dark_Lucius_LV8,,2020-11-17 05:34:34,
Dark Magic Attack,02314238,Spell Card,Normal Spell Card,"('Signature move',)",,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Dark Magic Attack,https://yugipedia.com/wiki/Dark_Magic_Attack,,2022-06-03 16:55:31,
Dark Magic Curtain,99789342,Spell Card,Normal Spell Card,,,,,,"('Condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Dark Magic Curtain,https://yugipedia.com/wiki/Dark_Magic_Curtain,"('Edited',)",2022-12-31 11:46:00,
Dark Magician,46986414,Monster Card,,"('Dark Magician (archetype)',)",DARK,Normal Monster,,Spellcaster,,2100,2500,7,Unlimited,Unlimited,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-02-10 16:48:43,
Dark Magician Girl,38033121,Monster Card,,"('Dark Magician (archetype)', 'Dark Magician Girl (archetype)', 'Magician Girl')",DARK,Effect Monster,,Spellcaster,"('Continuous Effect',)",1700,2000,6,Unlimited,Unlimited,Unlimited,Dark Magician Girl,https://yugipedia.com/wiki/Dark_Magician_Girl,"('Alternate', 'Edited')",2023-02-12 16:00:42,
Dark Mimic LV1,74713516,Monster Card,,"('LV',)",DARK,Effect Monster,"('Flip monster',)",Fiend,"('Flip effect', 'Trigger Effect')",1000,100,1,Unlimited,Unlimited,Unlimited,Dark Mimic LV1,https://yugipedia.com/wiki/Dark_Mimic_LV1,,2020-11-17 05:36:07,
Dark Mimic LV3,01102515,Monster Card,,"('LV',)",DARK,Effect Monster,,Fiend,"('Trigger Effect',)",1000,1000,3,Unlimited,Unlimited,Unlimited,Dark Mimic LV3,https://yugipedia.com/wiki/Dark_Mimic_LV3,,2020-05-25 10:16:58,
Dark Necrofear,31829185,Monster Card,,,DARK,Effect Monster,,Fiend,"('Continuous-like Effect', 'Summoning condition', 'Trigger Effect')",2800,2200,8,Unlimited,Unlimited,Unlimited,Dark Necrofear,https://yugipedia.com/wiki/Dark_Necrofear,,2022-07-22 00:21:59,
Dark Paladin,98502113,Monster Card,,"('Prophecy', 'Ultimate Magical')",DARK,Fusion Monster,,Spellcaster,"('Condition', 'Continuous Effect', 'Quick Effect', 'Summoning condition')",2400,2900,8,Unlimited,Unlimited,Unlimited,Dark Paladin,https://yugipedia.com/wiki/Dark_Paladin,"('Alternate',)",2022-10-29 14:24:27,
Dark Prisoner,89558090,Monster Card,,,DARK,Normal Monster,,Fiend,,1000,600,3,Unlimited,Unlimited,Unlimited,Dark Prisoner,https://yugipedia.com/wiki/Dark_Prisoner,,2022-04-09 23:01:40,
Dark Rabbit,99261403,Monster Card,,,DARK,Normal Monster,,Beast,,1500,1100,4,Unlimited,Unlimited,Unlimited,Dark Rabbit,https://yugipedia.com/wiki/Dark_Rabbit,,2021-11-07 12:52:49,
Dark Red Enchanter,45462639,Monster Card,,,DARK,Effect Monster,,Spellcaster,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",2200,1700,6,Unlimited,Unlimited,Unlimited,Dark Red Enchanter,https://yugipedia.com/wiki/Dark_Red_Enchanter,,2021-11-07 13:19:55,
Dark Ruler Ha Des,53982768,Monster Card,,,DARK,Effect Monster,,Fiend,"('Condition', 'Continuous Effect')",1600,2450,6,Unlimited,Unlimited,Unlimited,Dark Ruler Ha Des,https://yugipedia.com/wiki/Dark_Ruler_Ha_Des,"('Edited',)",2023-02-17 16:08:37,
Dark Scorpion - Gorg the Strong,48768179,Monster Card,,"('Dark Scorpion',)",DARK,Effect Monster,,Warrior,"('Trigger Effect',)",1500,1800,5,Unlimited,Unlimited,Unlimited,Dark Scorpion - Gorg the Strong,https://yugipedia.com/wiki/Dark_Scorpion_-_Gorg_the_Strong,,2021-04-16 15:32:44,
Dark Scorpion - Meanae the Thorn,74153887,Monster Card,,"('Dark Scorpion',)",DARK,Effect Monster,,Warrior,"('Trigger Effect',)",1800,1000,4,Unlimited,Unlimited,Unlimited,Dark Scorpion - Meanae the Thorn,https://yugipedia.com/wiki/Dark_Scorpion_-_Meanae_the_Thorn,,2022-04-29 13:10:34,
Dark Smog,41930553,Trap Card,Continuous Trap Card,,,,,,"('Quick-like Effect',)",,,,Unlimited,Unlimited,Unlimited,Dark Smog,https://yugipedia.com/wiki/Dark_Smog,,2022-12-01 15:52:31,
Darklight,29876529,Trap Card,Normal Trap Card,,,,,,"('Cost', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Darklight,https://yugipedia.com/wiki/Darklight,,2023-01-03 20:34:22,
De-Fusion,95286165,Spell Card,Quick-Play Spell Card,"('Polymerization (archetype)',)",,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,De-Fusion,https://yugipedia.com/wiki/De-Fusion,,2022-09-16 21:41:53,
De-Spell,19159413,Spell Card,Normal Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,De-Spell,https://yugipedia.com/wiki/De-Spell,,2022-04-20 21:24:00,
Decayed Commander,10209545,Monster Card,,,EARTH,Effect Monster,,Zombie,"('Trigger Effect',)",1500,1000,4,Unlimited,Unlimited,Unlimited,Decayed Commander,https://yugipedia.com/wiki/Decayed_Commander,,2022-04-09 17:07:39,
Dekoichi the Battlechanted Locomotive,87621407,Monster Card,,,DARK,Effect Monster,"('Flip monster',)",Machine,"('Flip effect',)",1000,1400,4,Unlimited,Unlimited,Unlimited,Dekoichi the Battlechanted Locomotive,https://yugipedia.com/wiki/Dekoichi_the_Battlechanted_Locomotive,,2022-03-21 14:38:38,
Delta The Magnet Warrior,12262393,Monster Card,,"('Magnet Warrior', 'Warrior (archetype)')",EARTH,Effect Monster,,Rock,"('Condition', 'Trigger Effect')",1400,1600,4,Unlimited,Unlimited,Unlimited,Delta The Magnet Warrior,https://yugipedia.com/wiki/Delta_The_Magnet_Warrior,,2021-10-01 12:08:56,
Delta Tri,12079734,Monster Card,,"('Konami Arcade Games',)",LIGHT,Effect Monster,,Machine,"('Trigger Effect',)",1000,1200,4,Unlimited,Unlimited,Unlimited,Delta Tri,https://yugipedia.com/wiki/Delta_Tri,,2021-01-31 17:33:49,
Des Kangaroo,78613627,Monster Card,,"('Kangaroo',)",DARK,Effect Monster,,Beast,"('Trigger Effect',)",1700,1500,4,Unlimited,Unlimited,Unlimited,Des Kangaroo,https://yugipedia.com/wiki/Des_Kangaroo,,2022-12-27 12:54:09,
Des Koala,69579761,Monster Card,,"('Koala',)",DARK,Effect Monster,"('Flip monster',)",Beast,"('Flip effect',)",1800,1100,3,Unlimited,Unlimited,Unlimited,Des Koala,https://yugipedia.com/wiki/Des_Koala,,2022-10-06 17:12:58,
Des Lacooda,02326738,Monster Card,,,EARTH,Effect Monster,,Zombie,"('Ignition Effect', 'Trigger Effect')",600,500,3,Unlimited,Unlimited,Unlimited,Des Lacooda,https://yugipedia.com/wiki/Des_Lacooda,,2022-04-07 16:51:28,
Des Wombat,09637706,Monster Card,,,EARTH,Effect Monster,,Beast,"('Continuous Effect',)",300,1600,3,Unlimited,Unlimited,Unlimited,Des Wombat,https://yugipedia.com/wiki/Des_Wombat,,2022-10-06 17:11:35,
Desert Twister,81977953,Monster Card,,,WIND,Effect Monster,,Fiend,"('Ignition Effect', 'Summoning condition')",2000,2300,6,Unlimited,Unlimited,Unlimited,Desert Twister,https://yugipedia.com/wiki/Desert_Twister,,2021-07-10 13:37:52,
Despair from the Dark,71200730,Monster Card,,,DARK,Effect Monster,,Zombie,"('Trigger Effect',)",3000,2800,8,Unlimited,Unlimited,Unlimited,Despair from the Dark,https://yugipedia.com/wiki/Despair_from_the_Dark,,2021-11-07 13:23:12,
Destiny Draw,,Skill Card,,,,,,,,,,,Illegal,,Legal,Destiny Draw (Skill Card),https://yugipedia.com/wiki/Destiny_Draw_(Skill_Card),,2020-05-29 05:52:34,Yami Yugi
Destiny End Dragoon,76263644,Monster Card,,,DARK,Fusion Monster,,Warrior,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')",3000,3000,10,Unlimited,Unlimited,Unlimited,Destiny End Dragoon,https://yugipedia.com/wiki/Destiny_End_Dragoon,,2022-07-09 00:40:20,
Destiny HERO - Blade Master,55461064,Monster Card,,"('Destiny HERO', 'HERO')",DARK,Effect Monster,,Warrior,"('Quick Effect',)",600,300,3,Unlimited,Unlimited,Unlimited,Destiny HERO - Blade Master,https://yugipedia.com/wiki/Destiny_HERO_-_Blade_Master,,2022-06-15 07:23:31,
Destiny HERO - Dangerous,30757127,Monster Card,,"('Destiny HERO', 'HERO')",DARK,Fusion Monster,,Warrior,"('Condition', 'Quick Effect')",2600,2000,6,Unlimited,Unlimited,Unlimited,Destiny HERO - Dangerous,https://yugipedia.com/wiki/Destiny_HERO_-_Dangerous,,2022-12-25 09:11:47,
Destiny HERO - Dark Angel,26964762,Monster Card,,"('Destiny HERO', 'HERO')",DARK,Effect Monster,,Warrior,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",0,0,1,Unlimited,Unlimited,Unlimited,Destiny HERO - Dark Angel,https://yugipedia.com/wiki/Destiny_HERO_-_Dark_Angel,,2022-03-21 16:10:03,
Destiny HERO - Dasher,81866673,Monster Card,,"('Destiny HERO', 'HERO')",DARK,Effect Monster,,Warrior,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",1000,2100,6,Unlimited,Unlimited,Unlimited,Destiny HERO - Dasher,https://yugipedia.com/wiki/Destiny_HERO_-_Dasher,,2022-12-25 09:11:55,
Destiny HERO - Diamond Dude,13093792,Monster Card,,"('Destiny HERO', 'HERO')",DARK,Effect Monster,,Warrior,"('Condition', 'Ignition Effect')",1600,1400,4,Unlimited,Unlimited,Unlimited,Destiny HERO - Diamond Dude,https://yugipedia.com/wiki/Destiny_HERO_-_Diamond_Dude,,2022-07-01 04:17:28,
Destiny HERO - Dogma,17132130,Monster Card,,"('Destiny HERO', 'HERO')",DARK,Effect Monster,,Warrior,"('Summoning condition', 'Trigger Effect')",2400,3400,8,Unlimited,Unlimited,Unlimited,Destiny HERO - Dogma,https://yugipedia.com/wiki/Destiny_HERO_-_Dogma,,2022-07-09 00:30:14,
Destiny HERO - Doom Lord,41613948,Monster Card,,"('Destiny HERO', 'HERO')",DARK,Effect Monster,,Warrior,"('Ignition Effect',)",800,600,3,Unlimited,Unlimited,Unlimited,Destiny HERO - Doom Lord,https://yugipedia.com/wiki/Destiny_HERO_-_Doom_Lord,,2022-03-21 15:55:06,
Destiny HERO - Fear Monger,80744121,Monster Card,,"('Destiny HERO', 'HERO')",DARK,Effect Monster,,Warrior,"('Trigger Effect',)",1000,1000,4,Unlimited,Unlimited,Unlimited,Destiny HERO - Fear Monger,https://yugipedia.com/wiki/Destiny_HERO_-_Fear_Monger,,2022-06-15 07:26:57,
Destiny HERO - Malicious,09411399,Monster Card,,"('Destiny HERO', 'HERO')",DARK,Effect Monster,,Warrior,"('Ignition Effect',)",800,800,6,Semi-Limited,Semi-Limited,Unlimited,Destiny HERO - Malicious,https://yugipedia.com/wiki/Destiny_HERO_-_Malicious,,2022-05-13 04:34:04,
Destiny HERO - Plasma,83965310,Monster Card,,"('Destiny HERO', 'HERO')",DARK,Effect Monster,,Warrior,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')",600,1900,8,Unlimited,Unlimited,Unlimited,Destiny HERO - Plasma,https://yugipedia.com/wiki/Destiny_HERO_-_Plasma,"('Alternate',)",2022-10-29 14:04:52,
Destiny Signal,35464895,Trap Card,Normal Trap Card,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Destiny Signal,https://yugipedia.com/wiki/Destiny_Signal,,2022-03-19 19:43:46,
Destroyer Golem,73481154,Monster Card,,,EARTH,Normal Monster,,Rock,,1000,1500,4,Unlimited,Unlimited,Unlimited,Destroyer Golem,https://yugipedia.com/wiki/Destroyer_Golem,,2021-11-07 13:02:16,
Destruction Swordsman Fusion,41940225,Spell Card,Quick-Play Spell Card,"('Destruction Sword', 'Polymerization (archetype)')",,,,,"('Condition', 'Effect', 'Ignition-like Effect')",,,,Unlimited,Unlimited,Unlimited,Destruction Swordsman Fusion,https://yugipedia.com/wiki/Destruction_Swordsman_Fusion,,2021-01-31 17:38:06,
Dicephoon,03493058,Spell Card,Quick-Play Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Dicephoon,https://yugipedia.com/wiki/Dicephoon,,2020-03-20 12:16:53,
Different Dimension Capsule,11961740,Spell Card,Normal Spell Card,,,,,,"('Condition', 'Continuous-like Effect', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Different Dimension Capsule,https://yugipedia.com/wiki/Different_Dimension_Capsule,,2022-04-20 23:42:14,
Diffusion Wave-Motion,87880531,Spell Card,Normal Spell Card,,,,,,"('Activation condition', 'Condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Diffusion Wave-Motion,https://yugipedia.com/wiki/Diffusion_Wave-Motion,,2021-11-07 13:03:18,
Digging for Gold,,Skill Card,,,,,,,,,,,Illegal,,Legal,Digging for Gold,https://yugipedia.com/wiki/Digging_for_Gold,,2022-12-27 18:50:15,David
Dimensional Alchemist,36733451,Monster Card,,,LIGHT,Effect Monster,,Fairy,"('Ignition Effect', 'Trigger Effect')",200,1300,4,Unlimited,Unlimited,Unlimited,Dimensional Alchemist,https://yugipedia.com/wiki/Dimensional_Alchemist,,2021-02-03 15:28:39,
Dino Destruction,,Skill Card,,,,,,,,,,,Illegal,,Legal,Dino Destruction,https://yugipedia.com/wiki/Dino_Destruction,,2022-12-27 15:40:15,Rex Raptor
Dinosaur Kingdom,,Skill Card,Field Spell Card,,,,,,,,,,Illegal,,Legal,Dinosaur Kingdom,https://yugipedia.com/wiki/Dinosaur_Kingdom,,2021-03-01 16:50:55,Rex Raptor
Disposable Learner Device,42149850,Spell Card,Equip Spell Card,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,Disposable Learner Device,https://yugipedia.com/wiki/Disposable_Learner_Device,,2022-10-06 17:06:44,
Djinn Disserere of Rituals,30492798,Monster Card,,"('Djinn', 'Djinn of Rituals')",DARK,Effect Monster,,Fiend,"('Unclassified effect',)",200,200,1,Unlimited,Unlimited,Unlimited,Djinn Disserere of Rituals,https://yugipedia.com/wiki/Djinn_Disserere_of_Rituals,,2022-09-16 21:40:04,
Djinn Prognosticator of Rituals,04141820,Monster Card,,"('Djinn', 'Djinn of Rituals')",DARK,Effect Monster,,Fiend,"('Unclassified effect',)",300,400,3,Unlimited,Unlimited,Unlimited,Djinn Prognosticator of Rituals,https://yugipedia.com/wiki/Djinn_Prognosticator_of_Rituals,,2022-09-01 01:32:26,
Doble Passe,79997591,Trap Card,Normal Trap Card,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Doble Passe,https://yugipedia.com/wiki/Doble_Passe,,2022-08-13 13:25:35,
"Dogoran, the Mad Flame Kaiju",93332803,Monster Card,,"('Kaiju',)",FIRE,Effect Monster,,Dinosaur,"('Ignition Effect', 'Unclassified effect')",1200,3000,8,Unlimited,Unlimited,Unlimited,"Dogoran, the Mad Flame Kaiju","https://yugipedia.com/wiki/Dogoran,_the_Mad_Flame_Kaiju",,2023-02-06 18:11:16,
Dokurorider,99721536,Monster Card,,"('Rider',)",DARK,Ritual Monster,,Zombie,,1850,1900,6,Unlimited,Unlimited,Unlimited,Dokurorider,https://yugipedia.com/wiki/Dokurorider,,2021-01-31 17:15:31,
Dokuroyaiba,30325729,Monster Card,,,FIRE,Normal Monster,,Fiend,,400,1000,3,Unlimited,Unlimited,Unlimited,Dokuroyaiba,https://yugipedia.com/wiki/Dokuroyaiba,,2021-11-07 13:07:08,
Don Zaloog,76922029,Monster Card,,,DARK,Effect Monster,,Warrior,"('Trigger Effect',)",1500,1400,4,Unlimited,Unlimited,Unlimited,Don Zaloog,https://yugipedia.com/wiki/Don_Zaloog,"('Edited',)",2023-01-19 09:48:02,
Double Coston,44436472,Monster Card,,,DARK,Effect Monster,,Zombie,"('Unclassified effect',)",1650,1700,4,Unlimited,Unlimited,Unlimited,Double Coston,https://yugipedia.com/wiki/Double_Coston,,2020-03-14 06:38:20,
Double Cyclone,75652080,Spell Card,Quick-Play Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Double Cyclone,https://yugipedia.com/wiki/Double_Cyclone,,2022-03-21 20:07:06,
Double Evolution Pill,,Skill Card,,,,,,,,,,,Illegal,,Legal,Double Evolution Pill (Skill Card),https://yugipedia.com/wiki/Double_Evolution_Pill_(Skill_Card),,2020-03-14 16:40:51,Rex Raptor
Double Summon,43422537,Spell Card,Normal Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Double Summon,https://yugipedia.com/wiki/Double_Summon,,2022-10-06 17:17:48,
Dragon Caller,,Skill Card,,,,,,,,,,,Illegal,,Legal,Dragon Caller,https://yugipedia.com/wiki/Dragon_Caller,,2020-05-29 08:48:40,Seto Kaiba
Dragon Zombie,66672569,Monster Card,,"('Zombie counterpart',)",DARK,Normal Monster,,Zombie,,0,1600,3,Unlimited,Unlimited,Unlimited,Dragon Zombie,https://yugipedia.com/wiki/Dragon_Zombie,,2022-12-31 18:42:22,
Dragon's Rebirth,20638610,Trap Card,Normal Trap Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Dragon's Rebirth,https://yugipedia.com/wiki/Dragon%27s_Rebirth,,2022-11-20 03:44:59,
Draining Shield,43250041,Trap Card,Normal Trap Card,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Draining Shield,https://yugipedia.com/wiki/Draining_Shield,,2021-03-07 05:17:45,
Dream Clown,13215230,Monster Card,,,EARTH,Effect Monster,,Warrior,"('Trigger Effect',)",900,1200,3,Unlimited,Unlimited,Unlimited,Dream Clown,https://yugipedia.com/wiki/Dream_Clown,,2022-10-06 17:26:49,
Drillago,99050989,Monster Card,,,DARK,Effect Monster,,Machine,"('Continuous Effect',)",1100,1600,4,Unlimited,Unlimited,Unlimited,Drillago,https://yugipedia.com/wiki/Drillago,,2020-05-25 23:21:26,
Drillroid,71218746,Monster Card,,"('roid',)",EARTH,Effect Monster,,Machine,"('Trigger Effect',)",1600,1600,4,Unlimited,Unlimited,Unlimited,Drillroid,https://yugipedia.com/wiki/Drillroid,,2022-10-06 17:55:47,
Drop Off,55773067,Trap Card,Normal Trap Card,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Drop Off,https://yugipedia.com/wiki/Drop_Off,,2021-11-07 13:15:25,
Dunames Dark Witch,12493482,Monster Card,,,LIGHT,Normal Monster,,Fairy,,1050,1800,4,Unlimited,Unlimited,Unlimited,Dunames Dark Witch,https://yugipedia.com/wiki/Dunames_Dark_Witch,"('Edited',)",2022-04-20 12:44:29,
Duoterion,43017476,Monster Card,,,WATER,Effect Monster,,Dinosaur,"('Condition', 'Ignition Effect', 'Trigger Effect')",1400,2000,5,Unlimited,Unlimited,Unlimited,Duoterion,https://yugipedia.com/wiki/Duoterion,,2022-10-06 17:34:26,
Dust Tornado,60082869,Trap Card,Normal Trap Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Dust Tornado,https://yugipedia.com/wiki/Dust_Tornado,,2023-01-03 19:15:54,
Dweller in the Depths,46508640,Monster Card,,,EARTH,Effect Monster,,Dragon,"('Continuous Effect',)",700,1500,3,Unlimited,Unlimited,Unlimited,Dweller in the Depths,https://yugipedia.com/wiki/Dweller_in_the_Depths,,2020-05-01 10:52:37,
Earthbound Spirit,67105242,Monster Card,,,EARTH,Normal Monster,,Fiend,,2000,500,4,Unlimited,Unlimited,Unlimited,Earthbound Spirit,https://yugipedia.com/wiki/Earthbound_Spirit,,2021-07-27 14:54:57,
Earthquake,82828051,Spell Card,Normal Spell Card,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Earthquake,https://yugipedia.com/wiki/Earthquake,"('Edited',)",2022-04-05 15:39:41,
Ectoplasmic Fortification!,,Skill Card,,,,,,,,,,,Illegal,,Legal,Ectoplasmic Fortification!,https://yugipedia.com/wiki/Ectoplasmic_Fortification!,,2020-05-29 06:54:01,Bonz
Elegant Egotist,90219263,Spell Card,Normal Spell Card,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Elegant Egotist,https://yugipedia.com/wiki/Elegant_Egotist,,2022-09-19 20:26:35,
Element Saurus,92755808,Monster Card,,"('Element',)",DARK,Effect Monster,,Dinosaur,"('Condition', 'Continuous Effect')",1200,1500,4,Unlimited,Unlimited,Unlimited,Element Saurus,https://yugipedia.com/wiki/Element_Saurus,,2021-03-07 05:19:10,
Elemental HERO Avian,21844576,Monster Card,,"('Elemental HERO', 'HERO')",WIND,Normal Monster,,Warrior,,1000,1000,3,Unlimited,Unlimited,Unlimited,Elemental HERO Avian,https://yugipedia.com/wiki/Elemental_HERO_Avian,"('Alternate',)",2022-10-29 13:55:34,
