Name,Password,Card type,Property,Effect type,Archseries,Artwork,TCG status,OCG status,Page name,Modification date,Errata,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows
Elemental HERO Blazeman,63060238,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Blazeman,2022-10-06 18:10:12,,Effect Monster,,FIRE,Warrior,4,1200,1800,,,
Elemental HERO Brave Neos,64655485,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Brave Neos,2022-12-08 17:39:35,,Fusion Monster,,LIGHT,Warrior,7,2500,2000,,,
Elemental HERO Bubbleman,79979666,Monster Card,,"('Condition', 'Trigger Effect', 'Unclassified effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Bubbleman,2022-10-06 18:10:55,"('Name', 'Type')",Effect Monster,,WATER,Warrior,4,800,1200,,,
Elemental HERO Burstinatrix,58932615,Monster Card,,,"('Elemental HERO', 'HERO')","('Alternate', 'Edited')",Unlimited,Unlimited,Elemental HERO Burstinatrix,2022-10-29 13:56:08,"('Name', 'Type')",Normal Monster,,FIRE,Warrior,3,1200,800,,,
Elemental HERO Captain Gold,80908502,Monster Card,,"('Continuous Effect', 'Ignition Effect')","('Elemental HERO', 'Field Searcher', 'HERO')",,Unlimited,Unlimited,Elemental HERO Captain Gold,2022-06-29 04:22:05,"('Name',)",Effect Monster,,LIGHT,Warrior,4,2100,800,,,
Elemental HERO Chaos Neos,17032740,Monster Card,,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')","('Chaos', 'Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Chaos Neos,2022-04-24 19:15:13,"('Name',)",Fusion Monster,,DARK,Warrior,9,3000,2500,,,
Elemental HERO Clayman,84327329,Monster Card,,,"('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Clayman,2022-10-06 18:13:23,"('Name', 'Type')",Normal Monster,,EARTH,Warrior,4,800,2000,,,
Elemental HERO Core,95486586,Monster Card,,"('Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Core,2020-03-21 04:02:01,,Fusion Monster,,EARTH,Warrior,9,2700,2200,,,
Elemental HERO Cosmo Neos,90050480,Monster Card,,"('Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Cosmo Neos,2021-08-09 18:23:22,,Fusion Monster,,LIGHT,Warrior,11,3500,3000,,,
Elemental HERO Dark Neos,28677304,Monster Card,,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Dark Neos,2022-04-24 19:15:33,"('Name',)",Fusion Monster,,DARK,Warrior,7,2500,2000,,,
Elemental HERO Darkbright,41517968,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Darkbright,2022-06-26 04:31:03,"('Name',)",Fusion Monster,,DARK,Warrior,6,2000,1000,,,
Elemental HERO Divine Neos,31111109,Monster Card,,"('Ignition Effect', 'Summoning condition')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Divine Neos,2022-11-20 20:44:37,"('Name',)",Fusion Monster,,LIGHT,Warrior,12,2500,2500,,,
Elemental HERO Electrum,29343734,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Electrum,2022-11-08 12:22:57,"('Name',)",Fusion Monster,,LIGHT,Warrior,10,2900,2600,,,
Elemental HERO Escuridao,33574806,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Escuridao,2022-07-14 12:53:32,,Fusion Monster,,DARK,Warrior,8,2500,2000,,,
Elemental HERO Flame Wingman,35809262,Monster Card,,"('Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Wingman')",,Unlimited,Unlimited,Elemental HERO Flame Wingman,2022-10-08 10:06:59,"('Name',)",Fusion Monster,,WIND,Warrior,6,2100,1200,,,
Elemental HERO Flare Neos,81566151,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Flare Neos,2021-06-27 09:39:04,"('Name',)",Fusion Monster,,FIRE,Warrior,7,2500,2000,,,
Elemental HERO Flash,69572169,Monster Card,,"('Trigger Effect',)","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Flash,2020-11-23 03:30:04,,Effect Monster,,LIGHT,Warrior,4,1100,1600,,,
Elemental HERO Gaia,16304628,Monster Card,,"('Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Gaia,2021-06-29 10:36:39,"('Name', 'Type')",Fusion Monster,,EARTH,Warrior,6,2200,2600,,,
Elemental HERO Glow Neos,85507811,Monster Card,,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Glow Neos,2021-11-18 15:16:44,"('Name',)",Fusion Monster,,LIGHT,Warrior,7,2500,2000,,,
Elemental HERO Grand Neos,48996569,Monster Card,,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Grand Neos,2021-06-27 09:35:38,"('Name',)",Fusion Monster,,EARTH,Warrior,7,2500,2000,,,
Elemental HERO Grandmerge,36841733,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Grandmerge,2022-08-13 13:04:50,,Fusion Monster,,LIGHT,Warrior,6,0,0,,,
Elemental HERO Great Tornado,03642509,Monster Card,,"('Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Great Tornado,2022-07-13 04:10:31,"('Type',)",Fusion Monster,,WIND,Warrior,8,2800,2200,,,
Elemental HERO Heat,98266377,Monster Card,,"('Continuous Effect',)","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Heat,2020-11-23 03:30:43,"('Name',)",Effect Monster,,FIRE,Pyro,4,1600,1200,,,
Elemental HERO Honest Neos,14124483,Monster Card,,"('Condition', 'Quick Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Honest Neos,2022-10-22 06:20:41,,Effect Monster,,LIGHT,Warrior,7,2500,2000,,,
Elemental HERO Ice Edge,41077745,Monster Card,,"('Ignition Effect', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Ice Edge,2021-06-29 10:16:37,"('Name',)",Effect Monster,,WATER,Warrior,3,800,900,,,
Elemental HERO Inferno,68745629,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Inferno,2020-11-23 03:31:02,"('Name',)",Fusion Monster,,FIRE,Pyro,8,2300,1600,,,
Elemental HERO Knospe,62107981,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Knospe,2022-08-13 11:34:50,"('Name',)",Effect Monster,,EARTH,Plant,3,600,1000,,,
Elemental HERO Lady Heat,95362816,Monster Card,,"('Trigger Effect',)","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Lady Heat,2022-04-20 13:08:04,"('Name',)",Effect Monster,,FIRE,Pyro,4,1300,1000,,,
Elemental HERO Liquid Soldier,59392529,Monster Card,,"('Condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Liquid Soldier,2022-07-22 00:26:39,,Effect Monster,,WATER,Warrior,4,1400,1300,,,
Elemental HERO Magma Neos,78512663,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Magma Neos,2021-08-09 18:20:08,"('Name',)",Fusion Monster,,FIRE,Warrior,9,3000,2500,,,
Elemental HERO Marine Neos,05128859,Monster Card,,"('Ignition Effect', 'Summoning condition')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Marine Neos,2022-12-25 15:00:17,"('Name',)",Fusion Monster,,WATER,Warrior,8,2800,2300,,,
Elemental HERO Mariner,14225239,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Mariner,2022-11-08 12:24:04,"('Name',)",Fusion Monster,,WATER,Warrior,5,1400,1000,,,
Elemental HERO Mudballman,52031567,Monster Card,,"('Summoning condition',)","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Mudballman,2021-06-29 10:34:05,"('Name',)",Fusion Monster,,EARTH,Warrior,6,1900,3000,,,
Elemental HERO Nebula Neos,40080312,Monster Card,,"('Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Nebula Neos,2021-08-09 18:21:51,,Fusion Monster,,EARTH,Warrior,9,3000,2500,,,
Elemental HERO Necroid Shaman,81003500,Monster Card,,"('Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'roid')",,Unlimited,Unlimited,Elemental HERO Necroid Shaman,2022-11-08 12:03:52,"('Name',)",Fusion Monster,,DARK,Warrior,6,1900,1800,,,
Elemental HERO Necroshade,89252153,Monster Card,,"('Unclassified effect',)","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Necroshade,2022-03-21 20:21:41,"('Name', 'Type')",Effect Monster,,DARK,Warrior,5,1600,1800,,,
Elemental HERO Neo Bubbleman,05285665,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Neo Bubbleman,2021-06-29 10:21:21,"('Name',)",Effect Monster,,WATER,Warrior,4,800,1200,,,
Elemental HERO Neos,89943723,Monster Card,,,"('Elemental HERO', 'HERO', 'Neos')","('Alternate',)",Unlimited,Unlimited,Elemental HERO Neos,2023-01-03 09:21:08,"('Name', 'Type')",Normal Monster,,LIGHT,Warrior,7,2500,2000,,,
Elemental HERO Neos Alius,69884162,Monster Card,,"('Condition', 'Continuous Effect', 'Unclassified effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Neos Alius,2022-04-24 19:15:52,"('Name', 'Type')",Effect Monster,Gemini monster,LIGHT,Warrior,4,1900,1300,,,
Elemental HERO Neos Kluger,90307498,Monster Card,,"('Condition', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Neos Kluger,2022-05-06 07:33:45,,Fusion Monster,,LIGHT,Spellcaster,9,3000,2500,,,
Elemental HERO Neos Knight,72926163,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Neos Knight,2021-04-06 16:50:23,"('Name',)",Fusion Monster,,LIGHT,Warrior,7,2500,1000,,,
Elemental HERO Nova Master,01945387,Monster Card,,"('Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Nova Master,2022-10-06 17:58:42,,Fusion Monster,,FIRE,Warrior,8,2600,2100,,,
Elemental HERO Ocean,37195861,Monster Card,,"('Trigger Effect',)","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Ocean,2022-07-05 04:08:52,"('Name',)",Effect Monster,,WATER,Warrior,4,1500,1200,,,
Elemental HERO Phoenix Enforcer,41436536,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Phoenix Enforcer,2022-03-26 17:32:25,"('Name',)",Fusion Monster,,FIRE,Warrior,6,2100,1200,,,
Elemental HERO Plasma Vice,60493189,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Plasma Vice,2022-04-24 19:16:10,"('Name',)",Fusion Monster,,EARTH,Warrior,8,2600,2300,,,
Elemental HERO Poison Rose,51085303,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Poison Rose,2022-08-13 11:35:55,"('Name',)",Effect Monster,,EARTH,Plant,6,1900,2000,,,
Elemental HERO Prisma,89312388,Monster Card,,"('Ignition Effect',)","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Prisma,2021-06-24 02:22:40,"('Name',)",Effect Monster,,LIGHT,Warrior,4,1700,1100,,,
Elemental HERO Rampart Blaster,47737087,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Elemental HERO', 'HERO')","('Edited',)",Unlimited,Unlimited,Elemental HERO Rampart Blaster,2023-01-05 20:43:54,"('Name',)",Fusion Monster,,EARTH,Warrior,6,2000,2500,,,
Elemental HERO Shadow Mist,50720316,Monster Card,,"('Condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Shadow Mist,2022-06-21 04:13:40,,Effect Monster,,DARK,Warrior,4,1000,1500,,,
Elemental HERO Shining Flare Wingman,25366484,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Wingman')",,Unlimited,Unlimited,Elemental HERO Shining Flare Wingman,2022-07-03 04:19:07,"('Name', 'Type')",Fusion Monster,,LIGHT,Warrior,8,2500,2100,,,
Elemental HERO Shining Neos Wingman,56733747,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos', 'Wingman')",,Unlimited,Unlimited,Elemental HERO Shining Neos Wingman,2022-08-05 22:22:27,,Fusion Monster,,LIGHT,Warrior,8,3100,2500,,,
Elemental HERO Shining Phoenix Enforcer,88820235,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Shining Phoenix Enforcer,2022-03-23 19:05:47,"('Name',)",Fusion Monster,,FIRE,Warrior,8,2500,2100,,,
Elemental HERO Solid Soldier,45195443,Monster Card,,"('Condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Solid Soldier,2022-07-14 12:48:56,,Effect Monster,,EARTH,Warrior,4,1300,1100,,,
Elemental HERO Sparkman,20721928,Monster Card,,,"('Elemental HERO', 'HERO')","('Alternate',)",Unlimited,Unlimited,Elemental HERO Sparkman,2022-10-29 13:57:09,"('Name', 'Type')",Normal Monster,,LIGHT,Warrior,4,1600,1400,,,
Elemental HERO Spirit of Neos,13256226,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Spirit of Neos,2022-08-05 22:23:58,,Effect Monster,,LIGHT,Warrior,7,2500,2000,,,
Elemental HERO Steam Healer,81197327,Monster Card,,"('Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Steam Healer,2022-06-15 07:40:31,"('Name',)",Fusion Monster,,WATER,Warrior,5,1800,1000,,,
Elemental HERO Storm Neos,49352945,Monster Card,,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO', 'Neos')",,Unlimited,Unlimited,Elemental HERO Storm Neos,2023-01-03 20:28:44,"('Name',)",Fusion Monster,,WIND,Warrior,9,3000,2500,,,
Elemental HERO Stratos,40044918,Monster Card,,"('Trigger Effect',)","('Elemental HERO', 'HERO')","('Alternate',)",Unlimited,Unlimited,Elemental HERO Stratos,2022-12-04 10:32:59,"('Name',)",Effect Monster,,WIND,Warrior,4,1800,300,,,
Elemental HERO Sunrise,22908820,Monster Card,,"('Condition', 'Continuous Effect', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Sunrise,2022-07-21 16:14:55,,Fusion Monster,,LIGHT,Warrior,7,2500,1200,,,
Elemental HERO Tempest,83121692,Monster Card,,"('Ignition Effect', 'Summoning condition')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Tempest,2022-12-24 22:20:37,"('Name',)",Fusion Monster,,WIND,Warrior,8,2800,2800,,,
Elemental HERO Terra Firma,74711057,Monster Card,,"('Ignition Effect', 'Summoning condition')","('Elemental HERO', 'HERO', 'Legendary Planet')",,Unlimited,Unlimited,Elemental HERO Terra Firma,2022-07-12 04:13:39,"('Name',)",Fusion Monster,,EARTH,Warrior,8,2500,2000,,,
Elemental HERO The Shining,22061412,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO The Shining,2022-07-15 05:03:00,"('Name',)",Fusion Monster,,LIGHT,Warrior,8,2600,2100,,,
Elemental HERO Thunder Giant,61204971,Monster Card,,"('Ignition Effect', 'Summoning condition')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Thunder Giant,2022-03-21 20:21:20,"('Name',)",Fusion Monster,,LIGHT,Warrior,6,2400,1500,,,
Elemental HERO Voltic,09327502,Monster Card,,"('Trigger Effect',)","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Voltic,2022-12-04 10:41:41,"('Name',)",Effect Monster,,LIGHT,Thunder,4,1000,1500,,,
Elemental HERO Wild Wingman,55615891,Monster Card,,"('Ignition Effect', 'Summoning condition')","('Elemental HERO', 'HERO', 'Wingman')",,Unlimited,Unlimited,Elemental HERO Wild Wingman,2022-11-08 12:23:30,"('Name',)",Fusion Monster,,EARTH,Warrior,8,1900,2300,,,
Elemental HERO Wildedge,10526791,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Wildedge,2022-07-01 04:32:01,"('Name',)",Fusion Monster,,EARTH,Warrior,8,2600,2300,,,
Elemental HERO Wildheart,86188410,Monster Card,,"('Continuous Effect',)","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Wildheart,2022-10-06 18:10:25,"('Name',)",Effect Monster,,EARTH,Warrior,4,1500,1600,,,
Elemental HERO Woodsman,75434695,Monster Card,,"('Trigger Effect',)","('Elemental HERO', 'HERO')",,Unlimited,Unlimited,Elemental HERO Woodsman,2022-07-06 19:20:48,"('Name',)",Effect Monster,,EARTH,Warrior,4,1000,2000,,,
Elemental Mistress Doriado,99414168,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Doriado (series)',)",,Unlimited,Unlimited,Elemental Mistress Doriado,2022-04-20 11:59:39,,Ritual Monster,,LIGHT,Spellcaster,3,1200,1400,,,
Elemental Recharge,36586443,Trap Card,Normal Trap Card,"('Effect',)",,,Unlimited,Unlimited,Elemental Recharge,2022-04-20 02:52:34,,,,,,,,,,,
Elemental Training,11167052,Trap Card,Continuous Trap Card,"('Continuous-like Effect', 'Quick-like Effect')",,,Unlimited,Unlimited,Elemental Training,2022-08-14 11:14:15,,,,,,,,,,,
Elementsaber Aina,83032858,Monster Card,,"('Ignition Effect',)","('Elementsaber', 'Saber')",,Unlimited,Unlimited,Elementsaber Aina,2022-04-20 03:01:58,,Effect Monster,,EARTH,Warrior,2,900,1800,,,
Elementsaber Lapauila,18214905,Monster Card,,"('Ignition Effect', 'Quick Effect')","('Elementsaber', 'Saber')",,Unlimited,Unlimited,Elementsaber Lapauila,2020-03-14 17:13:35,,Effect Monster,,LIGHT,Warrior,4,400,2100,,,
Elementsaber Lapauila Mana,71797713,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Elementsaber', 'Saber')",,Unlimited,Unlimited,Elementsaber Lapauila Mana,2022-08-14 10:27:06,,Effect Monster,,LIGHT,Warrior,6,2400,2100,,,
Elementsaber Makani,19036557,Monster Card,,"('Ignition Effect',)","('Elementsaber', 'Saber')",,Unlimited,Unlimited,Elementsaber Makani,2022-04-20 03:02:43,,Effect Monster,,WIND,Warrior,2,1300,1200,,,
Elementsaber Malo,72819261,Monster Card,,"('Ignition Effect',)","('Elementsaber', 'Saber')",,Unlimited,Unlimited,Elementsaber Malo,2020-03-14 17:14:30,,Effect Monster,,FIRE,Warrior,3,1700,200,,,
Elementsaber Molehu,45702014,Monster Card,,"('Ignition Effect', 'Quick Effect')","('Elementsaber', 'Saber')",,Unlimited,Unlimited,Elementsaber Molehu,2020-03-14 17:14:55,,Effect Monster,,DARK,Warrior,4,1900,0,,,
Elementsaber Nalu,46425662,Monster Card,,"('Ignition Effect',)","('Elementsaber', 'Saber')",,Unlimited,Unlimited,Elementsaber Nalu,2022-04-20 03:04:51,,Effect Monster,,WATER,Warrior,3,1500,1000,,,
Elephant Statue of Blessing,85166216,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,Elephant Statue of Blessing,2020-03-14 06:45:46,,Effect Monster,,EARTH,Rock,3,1500,0,,,
Elephant Statue of Disaster,12160911,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,Elephant Statue of Disaster,2022-11-01 15:31:58,,Effect Monster,,EARTH,Rock,3,1500,0,,,
Elephun,88845345,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,Elephun,2020-11-23 03:38:19,,Effect Monster,Tuner monster,EARTH,Beast,2,500,300,,,
Elf's Light,39897277,Spell Card,Equip Spell Card,"('Continuous-like Effect',)","('Attribute Booster',)",,Unlimited,Unlimited,Elf's Light,2022-04-20 11:42:00,"('Type',)",,,,,,,,,,
Eliminating the League,73872164,Trap Card,Normal Trap Card,"('Cost', 'Effect')",,,Unlimited,Unlimited,Eliminating the League,2022-12-30 15:50:40,,,,,,,,,,,
Elphase,60292055,Monster Card,,"('Condition', 'Continuous Effect', 'Trigger Effect')",,,Unlimited,Unlimited,Elphase,2021-05-23 01:08:50,,Link Monster,,WIND,Cyberse,,2000,,,2,"('→', '↑')"
Emblem of Dragon Destroyer,06390406,Spell Card,Normal Spell Card,"('Effect',)",,,Unlimited,Unlimited,Emblem of Dragon Destroyer,2022-08-25 08:47:53,"('Name',)",,,,,,,,,,
Emblem of the Awakening,09845733,Spell Card,Ritual Spell Card,"('Effect',)",,,Unlimited,Unlimited,Emblem of the Awakening,2020-03-20 12:33:40,,,,,,,,,,,
Emblem of the Plunder Patroll,80621422,Spell Card,Equip Spell Card,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')","('Plunder Patroll',)",,Unlimited,Unlimited,Emblem of the Plunder Patroll,2022-11-17 14:16:57,,,,,,,,,,,
Embodiment of Apophis,28649820,Trap Card,Continuous Trap Card,"('Activation condition', 'Effect')","('Trap Monster',)",,Unlimited,Unlimited,Embodiment of Apophis,2022-09-02 12:20:57,,,,,,,,,,,
Embryonic Beast,64154377,Monster Card,,,,,,Unlimited,Embryonic Beast,2023-01-03 20:06:10,,Normal Monster,,DARK,Fiend,2,500,750,,,
Emergency Assistance,24019261,Spell Card,Normal Spell Card,"('Effect',)",,,Unlimited,Unlimited,Emergency Assistance,2022-04-20 11:33:08,,,,,,,,,,,
Emergency Provisions,53046408,Spell Card,Quick-Play Spell Card,"('Cost', 'Effect')",,,Unlimited,Unlimited,Emergency Provisions,2021-01-20 20:22:14,"('Type',)",,,,,,,,,,
Emergency Teleport,67723438,Spell Card,Quick-Play Spell Card,"('Effect',)",,,Unlimited,Semi-Limited,Emergency Teleport,2022-03-05 02:32:19,,,,,,,,,,,
Emergeroid Call,70628672,Trap Card,Counter Trap Card,"('Activation condition', 'Condition', 'Effect', 'Quick-like Effect')","('roid',)",,Unlimited,Unlimited,Emergeroid Call,2022-10-06 17:43:53,,,,,,,,,,,
Emerging Emergency Rescute Rescue,97926515,Spell Card,Normal Spell Card,"('Activation condition', 'Condition', 'Effect')","('Rescue Squad',)",,Unlimited,Unlimited,Emerging Emergency Rescute Rescue,2021-06-23 03:00:18,,,,,,,,,,,
Emes the Infinity,43580269,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,Emes the Infinity,2021-02-07 10:31:58,,Effect Monster,,LIGHT,Machine,7,2500,2000,,,
Emissary from Pandemonium,42685062,Monster Card,,"('Continuous Effect', 'Summoning condition')",,,Unlimited,Unlimited,Emissary from Pandemonium,2020-11-23 03:39:32,,Effect Monster,Tuner monster,EARTH,Fiend,7,2600,1800,,,
Emissary of Darkness Token,,Monster Card,,,,,,Legal,Emissary of Darkness Token,2022-04-20 11:27:34,"('Type',)",Normal Monster,,LIGHT,Fairy,7,?,?,,,
Emissary of the Afterlife,75043725,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,Emissary of the Afterlife,2021-11-07 13:45:26,,Effect Monster,,DARK,Fiend,4,1600,600,,,
Emissary of the Oasis,06103294,Monster Card,,"('Continuous Effect',)",,,Unlimited,Unlimited,Emissary of the Oasis,2022-08-13 11:37:20,,Effect Monster,,LIGHT,Spellcaster,3,600,400,,,
Emperor Maju Garzett,33022867,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Maju',)",,Unlimited,Unlimited,Emperor Maju Garzett,2022-04-18 12:30:55,,Effect Monster,,DARK,Fiend,9,0,0,,,
Emperor Sem,21672573,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,Emperor Sem,2021-04-16 15:22:39,,Effect Monster,,LIGHT,Fiend,4,1300,2200,,,
Emperor Tanuki's Critter Count,20560620,Monster Card,,"('Condition', 'Continuous Effect')",,,Unlimited,Unlimited,Emperor Tanuki's Critter Count,2022-08-05 22:20:34,,Effect Monster,,DARK,Fiend,1,0,1600,,,
Emperor of Lightning,,Monster Card,,"('Condition', 'Summoning condition')","('Match winner',)",,Illegal,,Emperor of Lightning,2021-06-22 08:28:19,,Effect Monster,,LIGHT,Thunder,8,2600,2600,,,
Emperor of Prophecy,53136004,Monster Card,,"('Condition', 'Ignition Effect')","('Prophecy',)",,Unlimited,Unlimited,Emperor of Prophecy,2021-02-03 19:09:49,,Effect Monster,,DARK,Spellcaster,5,2300,2000,,,
Emperor of the Land and Sea,11250655,Monster Card,,,"('Monarch (Spell/Trap archetype)',)",,,Unlimited,Emperor of the Land and Sea,2021-10-31 14:22:18,,Normal Monster,,WATER,Reptile,5,1800,1500,,,
Empowerment,54250060,Spell Card,Field Spell Card,"('Continuous-like Effect', 'Ignition-like Effect')","('Empower',)",,Unlimited,Unlimited,Empowerment,2020-01-24 04:58:08,,,,,,,,,,,
Empress Judge,15237615,Monster Card,,,,,Unlimited,Unlimited,Empress Judge,2022-04-20 02:56:24,,Fusion Monster,,EARTH,Warrior,6,2100,1700,,,
Empress Mantis,58818411,Monster Card,,,,,Unlimited,Unlimited,Empress Mantis,2022-04-20 11:56:22,"('Type',)",Normal Monster,,WIND,Insect,6,2200,1400,,,
Empress of Prophecy,00770365,Monster Card,,"('Continuous Effect', 'Ignition Effect')","('Prophecy',)","('Edited',)",Unlimited,Unlimited,Empress of Prophecy,2022-04-20 03:14:20,,Xyz Monster,,LIGHT,Spellcaster,5,2000,1700,,,
