Name,Password,Card type,Property,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows,Effect type,Archseries,Artwork,Errata,TCG status,OCG status,Modification date
Toon Terror,53094821,Trap Card,Counter Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('Toon',)",,,Unlimited,Unlimited,Tue Jan 12 13:41:56 2021
Tornado Wall,18605135,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Activation condition', 'Continuous-like Effect')",,,,Unlimited,Unlimited,Wed Jul  7 11:27:55 2021
Torrential Reborn,07092142,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Effect')",,,,Unlimited,Unlimited,Wed Mar  9 01:17:54 2022
Torrential Tribute,53582587,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Thu Jun 16 17:27:59 2022
Tour of Doom,62784717,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Tue Jun 14 09:17:17 2022
Tower of Babel,94256039,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Sat Mar 21 12:59:50 2020
Tragedy,35686187,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,"('Alternate', 'Edited')","('Name',)",Unlimited,Unlimited,Wed Apr 20 15:26:58 2022
"Training Fur Hire, Fur All Your Training Needs",37890974,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Trigger Effect')","('Fur Hire',)",,,Unlimited,Unlimited,Fri May 14 00:25:22 2021
Transmigration Break,66100045,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Wed Apr 20 15:34:38 2022
The Transmigration Prophecy,46652477,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Wed Apr 20 15:30:42 2022
Transmission Gear,58297729,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Wed Jun 23 03:03:29 2021
Trap Dustshoot,64697231,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,"('Name',)",Forbidden,Forbidden,Fri Apr  8 18:30:47 2022
Trap Hole,04206964,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)","('Trap Hole (archetype)',)",,"('Name',)",Unlimited,Unlimited,Mon Apr 25 02:55:18 2022
Trap Hole of Spikes,75902998,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')","('Trap Hole (archetype)',)",,,Unlimited,Unlimited,Thu Sep 10 15:19:43 2020
Trap Jammer,19252988,Trap Card,Counter Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Mon Mar 21 19:08:39 2022
Trap Reclamation,02122975,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Sat Mar 21 13:06:23 2020
Trap Stun,59616123,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Wed Feb  3 00:58:52 2021
Trap Trick,80101899,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect', 'Lingering effect')",,,,Unlimited,Unlimited,Thu Aug 25 17:23:44 2022
Trap of Board Eraser,03055837,Trap Card,Counter Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Sun Nov  7 15:50:00 2021
Trap of Darkness,79766336,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Fri May  1 17:35:51 2020
Trap of the Imperial Tomb,80955168,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Sat Mar 21 13:06:04 2020
Traptrix Trap Hole Nightmare,29616929,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')","('Trap Hole (archetype)',)",,,Unlimited,Unlimited,Wed Apr 20 15:43:08 2022
The Traveler and the Burning Abyss,20036055,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('Burning Abyss',)",,,Unlimited,Unlimited,Sat Jul  9 04:24:38 2022
Treacherous Trap Hole,99590524,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')","('Trap Hole (archetype)',)",,,Unlimited,Unlimited,Wed Apr 20 16:06:33 2022
Treasure Map,54762426,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Thu Sep  1 01:06:47 2022
Treaty on Uniform Nomenclature,13685271,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Fri Dec  6 18:59:32 2019
Tri-Brigade Oath,86379342,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect', 'Quick-like Effect')","('Tri-Brigade',)",,,Unlimited,Unlimited,Wed Apr 20 15:42:51 2022
Tri-Brigade Revolt,40975243,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('Tri-Brigade',)",,,Unlimited,Unlimited,Thu Aug 11 00:47:16 2022
Tri-and-Guess,73988674,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Sat Mar 21 13:07:55 2020
Triamid Pulse,96100333,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Quick-like Effect',)","('Triamid',)",,,Unlimited,Unlimited,Fri Dec  6 19:03:31 2019
Tribe Drive,90969892,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')",,,,Unlimited,Unlimited,Fri Feb 11 11:38:09 2022
Trick Box,93983867,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Fri Dec  6 19:05:26 2019
Trickstar Reincarnation,21076084,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect', 'Quick-like Effect')","('Trickstar',)","('Alternate', 'Edited')",,Unlimited,Limited,Fri Jul 30 18:41:29 2021
Triggered Summon,96148285,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Sun Jun  6 04:10:06 2021
Trojan Blast,63323539,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Sat Mar 21 13:11:51 2020
Trojan Gladiator Beast,76384284,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)","('Gladiator Beast',)",,,Unlimited,Unlimited,Sat Mar 21 13:12:03 2020
True Draco Apocalypse,61529473,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Quick-like Effect', 'Trigger Effect')","('True Draco',)",,,Unlimited,Unlimited,Tue Mar 17 05:01:00 2020
True King's Return,35125879,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Quick-like Effect', 'Trigger Effect')","('True Draco',)",,,Unlimited,Unlimited,Mon Mar 15 11:33:31 2021
True Light,62089826,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Quick-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Sun Aug 14 11:44:17 2022
Tuner Capture,50951359,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Sun Jul 24 06:18:48 2022
Tuner's Barrier,05609226,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Sat Mar 21 13:12:30 2020
Tuner's Scheme,70284332,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Activation condition', 'Continuous-like Effect', 'Effect')",,,,Unlimited,Unlimited,Sat Mar 21 13:12:45 2020
Turnabout,74611888,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,"('Alternate', 'Edited')",,Unlimited,Unlimited,Tue Feb  1 12:18:04 2022
Tutan Mask,03149764,Trap Card,Counter Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Sun Nov  7 15:54:20 2021
Twilight Cloth,83747250,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Fri Dec  6 19:23:07 2019
Twilight Eraser,57348141,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Cost', 'Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Fri Dec  6 19:23:24 2019
Two-Pronged Attack,83887306,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Tue Apr 12 21:28:23 2022
Type Zero Magic Crusher,21237481,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Quick-like Effect',)","('Prophecy',)",,,Unlimited,Unlimited,Sun Nov  7 15:58:50 2021
Typhoon,14883228,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')",,,,Unlimited,Unlimited,Tue Dec 14 12:24:52 2021
Tyrant Wing,57470761,Trap Card,Normal Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Fri Sep 11 12:17:01 2020
Tyrant's Tantrum,38318146,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Cost')",,,,Unlimited,Unlimited,Sat Mar 21 13:15:37 2020
Tyrant's Temper,04638410,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Cost')",,,,Unlimited,Unlimited,Tue Nov 17 19:59:29 2020
Tyrant's Throes,55271628,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Cost')",,,,Unlimited,Unlimited,Sat Mar 21 13:16:03 2020
Tyrant's Tirade,76721030,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Cost')",,,,Unlimited,Unlimited,Sat Mar 21 13:16:23 2020
Tyrant's Tummyache,48357738,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Cost')",,,,Unlimited,Unlimited,Sat Mar 21 13:16:34 2020
U.A. Man of the Match,48636108,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('F.A.', 'U.A.')",,,Unlimited,Unlimited,Fri Aug  6 07:21:19 2021
U.A. Penalty Box,70043345,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Quick-like Effect', 'Trigger Effect')","('U.A.',)",,,Unlimited,Unlimited,Fri Dec  6 19:36:25 2019
The Ultimate Creature of Destruction,56920308,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Fri Jun 18 21:40:57 2021
Ultimate Crystal Magic,36328300,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Cost', 'Effect', 'Trigger Effect')","('Crystal',)",,,Unlimited,Unlimited,Sat Jun 25 13:45:27 2022
Ultimate Divine-Beast,32247099,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Quick-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Sat Aug 13 13:55:00 2022
Ultimate Earthbound Immortal,70109009,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Quick-like Effect')","('Earthbound Immortal',)",,,Unlimited,Unlimited,Thu Jul 21 17:05:10 2022
Ultimate Fire Formation - Seito,06713443,Trap Card,Normal Trap Card,,,,,,,,,,,"('Cost', 'Effect')","('Fire Formation',)",,,Unlimited,Unlimited,Sun Jun 20 15:35:06 2021
Ultimate Fire Formation - Sinto,55538156,Trap Card,Counter Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('Fire Formation',)",,,Unlimited,Unlimited,Sun Jan 24 12:00:57 2021
Ultimate Offering,80604091,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Quick-like Effect',)",,"('Edited',)","('Name', 'Type')",Forbidden,Forbidden,Thu Apr 14 18:53:51 2022
Ultimate Providence,38891741,Trap Card,Counter Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Wed Apr 20 15:45:54 2022
Unbreakable Spirit,88494120,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Sun Jan 31 17:37:20 2021
Underdog,05779502,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Fri Jan  7 00:17:22 2022
Underworld Egg Clutch,51324455,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Sat Mar 21 13:19:18 2020
Unending Nightmare,69452756,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Quick-like Effect')",,,,Unlimited,Unlimited,Wed Apr 20 14:59:24 2022
An Unfortunate Report,19763315,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Sun Nov 15 05:08:50 2020
Unification,95352218,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Wed Feb  3 19:57:48 2021
Unification of the Cubic Lords,34325937,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect', 'Trigger Effect')","('Cubic',)",,,Unlimited,Unlimited,Sun Feb 28 09:28:39 2021
Unified Front,31472884,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Sun Aug 14 05:42:46 2022
Union Scramble,39778366,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect', 'Quick-like Effect')",,,,Unlimited,Unlimited,Sun Jan 31 17:39:12 2021
United Front,86474024,Trap Card,Counter Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Sat Mar 21 13:20:44 2020
Universal Adapter,53077251,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Tue Feb  4 18:45:22 2020
Unpossessed,25704359,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('Possessed',)",,"('Name',)",Unlimited,Unlimited,Sun Jan  2 04:31:49 2022
Until Noble Arms are Needed Once Again,87800375,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect', 'Quick-like Effect')","('Noble Arms',)",,,Unlimited,Unlimited,Fri May 20 20:46:42 2022
Unwavering Bond,72648810,Trap Card,Counter Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Wed Apr 20 15:19:52 2022
Updraft,90557975,Trap Card,Normal Trap Card,,,,,,,,,,,"('Cost', 'Effect')",,,,Unlimited,Unlimited,Tue Jul 19 09:13:43 2022
Upside Down,67906797,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)",,,,,Unlimited,Sat Jul 16 15:39:13 2022
Urgent Ritual Art,38844957,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Fri Jul 15 18:14:20 2022
Urgent Tuning,94634433,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Fri Apr 22 06:23:42 2022
Ursarctic Quint Charge,15758127,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Quick-like Effect', 'Trigger Effect')","('Ursarctic',)",,,Unlimited,Unlimited,Wed Dec 15 02:17:43 2021
Utopian Aura,59070329,Trap Card,Normal Trap Card,,,,,,,,,,,"('Cost', 'Effect')",,,"('Name',)",Unlimited,Unlimited,Wed Oct 20 07:45:54 2021
Vain Betrayer,94933468,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Activation condition', 'Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Sat Mar 21 13:24:02 2020
Vampire Awakening,31189536,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('Vampire',)",,,Unlimited,Unlimited,Wed Apr 20 15:03:08 2022
Vampire Domination,68688135,Trap Card,Counter Trap Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Effect')","('Vampire',)",,,Unlimited,Unlimited,Thu May  5 14:04:56 2022
Vampire Takeover,22900598,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Effect')","('Vampire',)",,,Unlimited,Unlimited,Thu May  5 14:05:00 2022
Vanity's Call,24838456,Trap Card,Counter Trap Card,,,,,,,,,,,"('Activation condition', 'Cost', 'Effect')","(""Vanity's"",)",,,Unlimited,Unlimited,Sat Mar 21 13:25:43 2020
Vanity's Emptiness,05851097,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect')","(""Vanity's"",)",,"('Name',)",Forbidden,Forbidden,Thu Jun 24 02:56:27 2021
Vanquishing Light,32233746,Trap Card,Counter Trap Card,,,,,,,,,,,"('Activation condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Wed Apr 20 16:24:22 2022
Variable Form,64038662,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Quick-like Effect',)",,,,Unlimited,Unlimited,Sun Jul 24 09:32:56 2022
Vendread Daybreak,60375194,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Effect', 'Lingering effect')","('Vendread',)",,,Unlimited,Unlimited,Sun Aug 14 05:43:01 2022
Vendread Reorigin,30650147,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect', 'Lingering effect')","('Vendread',)",,,Unlimited,Unlimited,Fri Apr  3 12:29:59 2020
Vendread Reunion,02266498,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('Vendread',)",,,Unlimited,Unlimited,Sun Jul 24 10:09:51 2022
Vendread Revolution,02287848,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Cost', 'Effect', 'Quick-like Effect')","('Vendread',)",,,Unlimited,Unlimited,Tue Jan 28 05:27:06 2020
Venom Burn,04466015,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)","('Venom',)",,,Unlimited,Unlimited,Sat Aug 28 14:32:45 2021
Vernusylph and the Changing Season,37313338,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect', 'Quick-like Effect')","('Vernusylph',)",,,Unlimited,Unlimited,Fri Aug  5 22:24:04 2022
Vernusylph and the Flower Buds,63708033,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('Vernusylph',)",,,Unlimited,Unlimited,Fri Aug  5 22:25:16 2022
Viper's Grudge,01683982,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",,,,,Unlimited,Mon Jul 18 09:43:33 2022
Virtual World Gate - Chuche,13364097,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Quick-like Effect')","('Virtual World', 'Virtual World Gate')",,,Unlimited,Unlimited,Wed Apr 20 15:11:20 2022
Virtual World Gate - Xuanwu,18249921,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Quick-like Effect')","('Virtual World', 'Virtual World Gate')",,,Unlimited,Unlimited,Thu Sep  1 21:31:40 2022
Virus Cannon,54591086,Trap Card,Normal Trap Card,,,,,,,,,,,"('Cost', 'Effect')",,,,Unlimited,Unlimited,Thu Apr 14 18:51:38 2022
Vivid Tail,07608148,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect', 'Quick-like Effect')",,,,Unlimited,Unlimited,Thu May 19 23:22:21 2022
Void Cauldron,45313724,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect',)","('Void',)",,,Unlimited,Unlimited,Fri May  6 07:43:18 2022
Void Feast,31548814,Trap Card,Normal Trap Card,,,,,,,,,,,"('Cost', 'Effect')","('Void',)",,,Unlimited,Unlimited,Wed Apr 20 16:23:38 2022
Void Launch,94432298,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect')","('Void',)",,,Unlimited,Unlimited,Sat Dec  7 15:34:29 2019
Void Purification,61965407,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('Void',)",,,Unlimited,Unlimited,Sat Dec  7 15:35:03 2019
Void Trap Hole,01005587,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')","('Trap Hole (archetype)', 'Void')",,,Unlimited,Unlimited,Wed Feb  3 18:07:58 2021
Volcanic Eruption,42175079,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Sat Mar 21 13:32:26 2020
Volcanic Recharge,33725271,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)","('Volcanic',)",,,Unlimited,Unlimited,Fri Apr 22 06:26:21 2022
W Nebula Meteorite,90075978,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect', 'Lingering effect')",,,,Unlimited,Unlimited,Thu Jan  7 08:34:07 2021
Waboku,12607053,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Tue Apr 19 23:12:43 2022
Waking the Dragon,10813327,Trap Card,Normal Trap Card,,,,,,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Sun Jun  5 11:04:20 2022
Wall of Disruption,58169731,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Mon Mar 21 19:55:38 2022
Wall of Revealing Light,17078030,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Cost')","('Protective Seal',)",,,Semi-Limited,Unlimited,Thu Apr 14 18:52:25 2022
Wall of Thorns,02779999,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Tue Mar 22 03:16:32 2022
War Rock Big Blow,46660187,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('War Rock',)",,,Unlimited,Unlimited,Fri Jan  7 00:33:19 2022
War Rock Generations,19275188,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('War Rock',)",,,Unlimited,Unlimited,Sat Aug 13 14:00:23 2022
Warning Point,11429811,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Tue Apr 19 23:10:23 2022
Waterfall of Dragon Souls,23068051,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)",,,,Unlimited,Unlimited,Sat Dec  7 15:59:55 2019
Wattcancel,56993276,Trap Card,Counter Trap Card,,,,,,,,,,,"('Activation condition', 'Cost', 'Effect')","('Watt',)",,,Unlimited,Unlimited,Sat Mar 21 13:37:56 2020
Wattcannon,95084054,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Trigger Effect',)","('Watt',)",,,Unlimited,Unlimited,Sat Mar 21 13:38:09 2020
Wattkeeper,32061744,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)","('Watt',)",,,Unlimited,Unlimited,Tue Nov 17 19:59:58 2020
The Weather Auroral Canvas,52834429,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect', 'Unclassified effect')","('The Weather',)",,,Unlimited,Unlimited,Wed Apr 20 16:16:01 2022
The Weather Rainbowed Canvas,74218258,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Quick Effect', 'Unclassified effect')","('The Weather',)",,,Unlimited,Unlimited,Wed Apr 20 15:15:45 2022
The Weather Thundery Canvas,16849715,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Trigger Effect', 'Unclassified effect')","('The Weather',)",,,Unlimited,Unlimited,Wed Apr 20 14:54:59 2022
Weed Out,28604635,Trap Card,Normal Trap Card,,,,,,,,,,,"('Cost', 'Effect')",,"('Edited',)",,Unlimited,Unlimited,Tue Apr 19 23:09:57 2022
Welcome Labrynth,05380979,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect', 'Trigger Effect')","('Labrynth', 'Welcome Labrynth (archetype)')",,,Unlimited,Unlimited,Fri Aug 26 13:27:29 2022
Whirlwind of Gusto,91822647,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')","('Gusto',)",,,Unlimited,Unlimited,Tue Apr 19 23:09:54 2022
White Hole,43487744,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')","('Hole',)",,"('Name',)",Unlimited,Unlimited,Sun Nov  7 14:04:14 2021
White Howling,62487836,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')","('White',)",,,Unlimited,Unlimited,Tue Sep  1 18:42:22 2020
Wicked Rebirth,23440062,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Sun May 23 13:08:43 2021
Widespread Dud,42167046,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Continuous-like Effect',)",,,,Unlimited,Unlimited,Sun Jun  5 11:29:32 2022
Widespread Ruin,77754944,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,"('Alternate',)","('Name',)",Unlimited,Unlimited,Tue Apr  5 15:26:46 2022
Wild Tornado,47766694,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Sun Jun 26 12:50:07 2022
Windstorm of Etaqua,59744639,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)",,,"('Name',)",Unlimited,Unlimited,Tue May 24 15:57:48 2022
Wiretap,34507039,Trap Card,Counter Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Tue Jul 27 23:57:40 2021
Witch's Strike,36458063,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Tue Apr 19 23:08:58 2022
Witchcrafter Masterpiece,55072170,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Condition', 'Effect', 'Quick-like Effect')","('Witchcrafter',)",,,Unlimited,Unlimited,Tue Apr 19 23:08:41 2022
Witchcrafter Patronus,94553671,Trap Card,Continuous Trap Card,,,,,,,,,,,"('Condition', 'Quick-like Effect')","('Witchcrafter',)",,,Unlimited,Unlimited,Tue Apr 19 23:08:40 2022
Wolf in Sheep's Clothing,83546647,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Sat Mar 21 18:02:44 2020
Wonder Garage,50684552,Trap Card,Normal Trap Card,,,,,,,,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Sat Mar 21 18:03:23 2020
Wonder Xyz,73860462,Trap Card,Normal Trap Card,,,,,,,,,,,"('Effect',)","('Xyz (archetype)',)",,,Unlimited,Unlimited,Sat Jun 26 02:05:36 2021
World Legacy Awakens,12989604,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('World Legacy',)",,,Unlimited,Unlimited,Tue Apr 19 23:08:29 2022
World Legacy Bestowal,59778096,Trap Card,Normal Trap Card,,,,,,,,,,,"('Condition', 'Effect')","('World Legacy',)",,,Unlimited,Unlimited,Tue Apr 19 23:08:28 2022
World Legacy Cliffhanger,73192600,Trap Card,Normal Trap Card,,,,,,,,,,,"('Activation condition', 'Effect')","('World Legacy',)",,,Unlimited,Unlimited,Mon Dec 27 18:11:16 2021
