Name,Password,Card type,Property,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Link,Link Arrows,TCG status,OCG status
Arcana Call,99189322,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Archfiend Glitch,05168381,Trap Card,Normal Trap Card,,,,,,,,,,,Unlimited
Archfiend's Roar,56246017,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Armageddon Designator,28493337,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Armed Dragon Thunderbolt,57605303,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Armor Break,79649195,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Armor Ninjitsu Art of Freezing,65150219,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Armor Ninjitsu Art of Rust Mist,02148918,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Armored Glass,36868108,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Armory Call,38960450,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Arsenal Robber,55348096,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Artifact Sanctum,12444060,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Asleep at the Switch,99657399,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Assault Counter,76407432,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Assault Mode Activate,80280737,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Assault Reboot,74431740,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Assault Slash,40012727,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Assault Spirits,87043568,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Assault on GHQ,62633180,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Astral Barrier,37053871,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
At One With the Sword,06112401,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Attack Guidance Armor,03103067,Trap Card,Normal Trap Card,,,,,,,,,,,Unlimited
Attack Reflector Unit,91989718,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Attack and Receive,63689843,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Attack of the Cornered Rat,84389640,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Attention!,85352446,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Automatic Laser,58990631,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Avalon,82140600,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Awakening of Nephthys,82832464,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Awakening of the Sacred Beasts,53701259,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
BIG Win!?,84677654,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Back to the Front,59919307,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Backfire,82705573,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Backs to the Wall,32603633,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Backup Soldier,36280194,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Backup Team,89328238,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,
Bad Aim,46253216,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bad Luck Blast,76004142,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bad Reaction to Simochi,40633297,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Balance of Judgment,67443336,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Ballista Squad,80584548,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bamboo Scrap,28062325,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Banquet of Millions,48814566,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bark of Dark Ruler,41925941,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Barrage Blast,51369889,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Barrel Behind the Door,78783370,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Barrier Wave,96700602,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Battle Break,22047978,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Battle Instinct,60534585,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Battle Mania,31245780,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Battle Teleportation,71652522,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Battle of the Elements,60530944,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Battle-Scarred,94463200,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Battleguard Howling,78621186,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Battleguard Rage,42233477,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Battlewasp - Nest,25221249,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Beast King Unleashed,50675040,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Beast Rising,84962466,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Beast Soul Swap,35149085,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Beckoning Light,16255442,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Beetrooper Fly & Sting,01712616,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,
Beetrooper Squad,40633084,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,
Beginning of Heaven and Earth,32360466,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
"Begone, Knave!",20374520,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Bending Destiny,94662235,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Berserking,56535497,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Big Burn,95472621,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Birthright,35539880,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Black Cat-astrophe,67381587,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Black Feather Beacon,40279770,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Black Horn of Heaven,50323155,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Black Illusion,32754886,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Black Return,72278479,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Black Shadow Squall,,Trap Card,Counter Trap Card,,,,,,,,,,,Not yet released
Black Sonic,72930878,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Black Thunder,52833089,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Black Wing Revenge,09925982,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blackback,44028461,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blackbird Close,80254726,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Blackboost,53519297,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blackwing - Backlash,89040386,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blackwing - Bombardment,25435080,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blackwing - Boobytrap,43906884,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blackwing - Twin Shadow,,Trap Card,Normal Trap Card,,,,,,,,,,,Not yet released
Blast Held by Fate,51208877,Trap Card,Normal Trap Card,,,,,,,,,,,Unlimited
Blast Held by a Tribute,89041555,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blast with Chain,98239899,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blasting Fuse,99788587,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blasting the Ruins,21466326,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blaze Accelerator Reload,52198054,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Blazing Mirror Force,75249652,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blessed Winds,15177750,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Blessings for Gusto,82422049,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blind Destruction,32015116,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Blind Obliteration,22802010,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blooming of the Darkest Rose,99092624,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Blossom Bombardment,13438207,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bonding - DHO,06890729,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bone Temple Block,47778083,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Boo-Boo Game,27923575,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Booby Trap E,24425055,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Boompoline!!,14839621,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Boot-Up Order - Gear Force,09715126,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Born from Draconis,96699830,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Borrel Cooling,62753201,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bottomless Shifting Sand,76532077,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Bottomless Trap Hole,29401950,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bounzer Guard,48582558,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Brain Hazard,39531794,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Brainwashing Beam,59258334,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Branded Banishment,06763530,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Branded Retribution,17751597,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Branded Sword,81767888,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Break Away,09852718,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Break Off Trap Hole,56526564,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Break the Destiny,04008212,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Breaking Branded,01041278,Trap Card,Normal Trap Card,,,,,,,,,,,Unlimited
Breakthrough Skill,78474168,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Breakthrough!,96218085,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Breath of Resurrection,64018647,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bridge of Salvation,05611760,Trap Card,Normal Trap Card,,,,,,,,,,,Unlimited
Bright Future,24707869,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Brilliant Spark,03105404,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Broken Blocker,60930169,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Broken Line,88086137,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Brutal Beast Battle,36809777,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Brutal Potion,30155789,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bubble Bringer,58531587,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Bubble Crash,61622107,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bug Emergency,10971759,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bujin Regalia - The Jewel,63049052,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bujin Regalia - The Sword,30338466,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bujincident,11221418,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Bujinfidel,66727115,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Burgeoning Whirlflame,86690572,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Burnout,25669282,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Burst Breath,80163754,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Burst Rebirth,50243722,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Butterflyoke,75987257,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Butterspy Protection,63630268,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
By Order of the Emperor,35011819,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Bye Bye Damage,20735371,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Byroad Sacrifice,36935434,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Calendar Rotation of the Vernalizer Fairy,37313338,Trap Card,Normal Trap Card,,,,,,,,,,,Unlimited
Call of Darkness,78637313,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Call of the Archfiend,97803170,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Call of the Earthbound,65743242,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Call of the Grave,16970158,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Call of the Haunted,97077563,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Call of the Reaper,45133463,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Card of Last Will,,Trap Card,Normal Trap Card,,,,,,,,,,Illegal,Illegal
Card of Sacrifice,88513608,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cash Back,59957503,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Castle Walls,44209392,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Castle of Dragon Souls,13513663,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Ceasefire,36468556,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cell Explosion Virus,84491298,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cemetary Bomb,51394546,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chain Burst,48276469,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Chain Destruction,01248895,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chain Detonation,51449743,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chain Disappearance,57139487,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chain Dispel,03171055,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chain Healing,25050038,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chain Hole,09581215,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chain Ignition,85893201,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Chain Material,39980304,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chain Whirlwind,22205600,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Champion's Vigilance,82382815,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Change of Hero - Reflector Ray,74095602,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Changing Destiny,24673894,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chaos Burst,04923662,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chaos Infinity,04081825,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chaos Trap Hole,11593137,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Chivalry,56532632,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Chosen of Zefra,98076754,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Chronomaly Esperanza Glyph,50797682,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chthonian Blast,18271561,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Chthonian Polymer,72287557,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cipher Bit,99397762,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cipher Spectrum,00098905,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Clay Charge,22479888,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cloak and Dagger,08323633,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Cloning,86871614,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cocoon Veil,56641453,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Coffin Seller,65830223,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Collected Power,07565547,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Command Performance,78184733,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Commander of Swords,12197543,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Common Charity,40465719,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Compulsory Escape Device,48216773,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Compulsory Evacuation Device,94192409,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Confusion Chaff,67630339,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Conquistador of the Golden Land,20590515,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Conscription,31000575,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Consolation Prize,63413494,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Constellar Meteor,63545861,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Contract Laundering,46259438,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Converging Wishes,20007374,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Copy Knight,21843307,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Core Blast,18517177,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Core Reinforcement,08057630,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Corrosive Scales,13235258,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Corrupted Keys,67949763,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Counter Counter,42309337,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Counter Gate,94561645,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Counter Gem,11136371,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Counterforce,30488793,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Court of Cards,28340377,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Covering Fire,74458486,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Crackdown,36975314,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Crevice Into the Different Dimension,49600724,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Crimson Fire,24566654,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Crop Circles,24082387,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cross Counter,37083210,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cross-Dimensional Duel,00056889,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Crusadia Krawler,55838342,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Crusadia Vanguard,55312487,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Crush Card Virus,57728570,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Crusher Run,88667504,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Cry Havoc!,39712330,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Crystal Brilliance,,Trap Card,Continuous Trap Card,,,,,,,,,,,Not yet released
Crystal Conclave,87259933,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Crystal Grace,,Trap Card,Normal Trap Card,,,,,,,,,,,Not yet released
Crystal Miracle,,Trap Card,Counter Trap Card,,,,,,,,,,,Not yet released
Crystal Pair,47121070,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Crystal Raigeki,96331676,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Crystron Entry,52176579,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Crystron Impact,99274184,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cubic Ascension,02434862,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cubic Causality,38606913,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cubic Mandala,08837932,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Cubic Rebirth,71442223,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Curse of Aging,41398771,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Curse of Anubis,66742250,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Curse of Darkness,84970821,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Curse of Royal,02926176,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Curse of the Circle,12863633,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cursed Seal of the Forbidden Spell,58851034,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Cyber Network,12670770,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Cyber Shadow Gardna,90440725,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Cyber Summon Blaster,63477921,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Cyberdark Invasion,01157683,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Cybernetic Hidden Technology,92773018,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Cybernetic Overflow,82428674,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cybernetic Revolution,18597560,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cyberse Beacon,91269402,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cynet Cascade,04433488,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cynet Conflict,07403341,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Cynet Refresh,36368606,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Cynet Regression,19943114,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D - Chain,43405287,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D - Counter,08698851,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D - Fortune,09201964,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D - Shield,62868900,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D - Tactics,48032131,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
D - Time,99075257,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D-Fusion,26841274,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D. Tribe,02833249,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D.D. Dynamite,08628798,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D.D. Trap Hole,05606466,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D.D.D. - Different Dimension Derby,76552147,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,
D/D Recruits,08643186,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D/D Reroll,71069715,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
D/D/D Contract Change,00811734,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D/D/D Headhunt,91781484,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D/D/D Human Resources,72648577,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
D2 Shield,71249758,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
DNA Checkup,27340877,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
DNA Surgery,74701381,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
DNA Transplant,56769674,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Dai Dance,50696588,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Damage = Reptile,44584775,Trap Card,Continuous Trap Card,,,,,,,,,,Unlimited,Unlimited
Damage Condenser,28378427,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Damage Diet,95448692,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Damage Gate,87106146,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Damage Polarizer,46031686,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Damage Translation,35268887,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Damage Vaccine Ω MAX,98535702,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Dances with Beasts,33298291,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Danger! Zone,15083304,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Dark Advance,97001138,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
Dark Bribe,77538567,Trap Card,Counter Trap Card,,,,,,,,,,Unlimited,Unlimited
Dark Coffin,01804528,Trap Card,Normal Trap Card,,,,,,,,,,Unlimited,Unlimited
